,PseudoTime1,PseudoTime2
E2845_416,0.83333,NA
E4650_179,0.35743,NA
E1887_229,0.45783,NA
E178_489,NA,0.97992
E2793_401,NA,0.80321
E2960_239,NA,0.47791
E3037_204,NA,0.40763
E669_428,NA,0.85743
E3279_139,NA,0.27711
E3649_468,0.93775,NA
E3570_499,NA,1.0
E2662_306,NA,0.61245
E1678_111,NA,0.22088
E424_17,0.03213,NA
E2119_284,NA,0.56827
E1741_58,0.11446,NA
E3690_113,NA,0.2249
E1676_265,NA,0.53012
E475_93,0.18474,NA
E50_482,0.96586,NA
E1761_97,0.19277,NA
E3801_463,NA,0.92771
E3343_266,NA,0.53213
E3935_418,NA,0.83735
E4921_203,NA,0.40562
E1202_358,0.71687,NA
E4498_205,NA,0.40964
E3860_155,0.30924,NA
E4495_250,NA,0.5
E1185_354,NA,0.70884
E1528_269,0.53815,NA
E2265_245,NA,0.48996
E78_160,0.31928,NA
E710_380,0.76104,NA
E4612_178,NA,0.35542
E1480_207,NA,0.41365
E2739_418,NA,0.83735
E4408_109,0.21687,NA
E4964_284,NA,0.56827
E4255_274,0.54819,NA
E1205_247,0.49398,NA
E3315_274,0.54819,NA
E1346_393,NA,0.78715
E3537_409,NA,0.81928
E4600_259,NA,0.51807
E789_267,0.53414,NA
E4105_269,NA,0.53815
E2841_317,NA,0.63454
E1030_459,NA,0.91968
E4714_482,NA,0.96586
E3829_15,0.02811,NA
E3973_321,0.64257,NA
E3442_174,0.34739,NA
E673_444,NA,0.88956
E951_350,NA,0.7008
E2624_228,NA,0.45582
E2750_490,0.98193,NA
E4379_275,0.5502,NA
E2179_485,NA,0.97189
E3966_180,0.35944,NA
E1212_62,NA,0.12249
E812_332,0.66466,NA
E820_493,NA,0.98795
E3340_386,NA,0.77309
E4293_141,0.28112,NA
E2945_60,NA,0.11847
E2625_314,NA,0.62851
E4280_69,NA,0.13655
E1232_164,NA,0.32731
E1783_310,0.62048,NA
E88_378,NA,0.75703
E1240_265,NA,0.53012
E4947_356,NA,0.71285
E450_43,0.08434,NA
E1916_244,NA,0.48795
E3063_383,NA,0.76707
E4375_148,NA,0.29518
E166_349,NA,0.6988
E2446_52,0.10241,NA
E3555_110,NA,0.21888
E11_150,0.2992,NA
E2488_295,NA,0.59036
E3217_5,0.00803,NA
E4803_460,0.92169,NA
E1666_88,NA,0.1747
E1669_170,NA,0.33936
E3807_176,NA,0.35141
E3938_173,NA,0.34538
E200_426,0.85341,NA
E3010_282,NA,0.56426
E3302_133,0.26506,NA
E3698_264,NA,0.52811
E2928_338,NA,0.67671
E1921_77,NA,0.15261
E1711_25,NA,0.04819
E1178_35,0.06827,NA
E1718_408,NA,0.81727
E3236_389,NA,0.77912
E871_108,NA,0.21486
E3636_403,0.80723,NA
E1169_412,0.8253,NA
E2881_213,NA,0.4257
E638_34,0.06627,NA
E3105_213,NA,0.4257
E1063_411,NA,0.82329
E2999_120,0.23896,NA
