,PseudoTime1,PseudoTime2
E2673_736,NA,0.92105
E1518_608,0.76065,NA
E3403_113,NA,0.14035
E3477_30,NA,0.03634
E4844_171,NA,0.21303
E732_273,0.34085,NA
E3054_361,NA,0.45113
E3074_2,0.00125,NA
E4997_744,NA,0.93108
E2207_415,NA,0.5188
E144_163,0.20301,NA
E1368_116,NA,0.14411
E4818_785,0.98246,NA
E2718_452,NA,0.56516
E3811_12,NA,0.01378
E1080_63,0.07769,NA
E638_486,NA,0.60777
E532_587,0.73434,NA
E2494_638,0.79825,NA
E3855_235,NA,0.29323
E3286_107,NA,0.13283
E1372_209,0.26065,NA
E4101_219,NA,0.27318
E3071_301,NA,0.37594
E3648_172,0.21429,NA
E644_135,0.16792,NA
E203_440,0.55013,NA
E3825_241,NA,0.30075
E4141_410,NA,0.51253
E158_537,NA,0.67168
E3682_170,NA,0.21178
E3527_685,NA,0.85714
E4030_79,0.09774,NA
E4223_580,0.72556,NA
E3838_515,NA,0.64411
E1988_657,0.82206,NA
E3636_307,NA,0.38346
E2415_380,0.47494,NA
E2587_472,NA,0.59023
E3794_317,0.39599,NA
E3599_535,0.66917,NA
E3943_88,NA,0.10902
E2759_509,NA,0.63659
E4104_360,NA,0.44987
E2597_48,NA,0.0589
E2577_454,0.56767,NA
E2854_628,NA,0.78571
E4850_460,NA,0.57519
E85_380,NA,0.47494
E4694_661,0.82707,NA
E2941_322,0.40226,NA
E2186_313,0.39098,NA
E4303_162,0.20175,NA
E4203_499,NA,0.62406
E1763_762,0.95363,NA
E1786_752,0.9411,NA
E3518_34,0.04135,NA
E3778_702,NA,0.87845
E1227_119,0.14787,NA
E2961_148,0.18421,NA
E4518_595,NA,0.74436
E1264_703,0.8797,NA
E4966_89,NA,0.11028
E673_369,NA,0.46115
E4742_611,0.76441,NA
E3432_1,0.0,NA
E740_557,NA,0.69674
E2988_102,0.12657,NA
E2686_763,0.95489,NA
E2731_588,NA,0.73559
E1948_681,0.85213,NA
E4412_27,NA,0.03258
E3158_725,NA,0.90727
E1349_498,NA,0.62281
E517_764,0.95614,NA
E2487_284,0.35464,NA
E1853_614,NA,0.76817
E4642_573,NA,0.71679
E455_391,NA,0.48872
E3107_47,0.05764,NA
E818_54,0.06642,NA
E4423_203,NA,0.25313
E1950_751,NA,0.93985
E3640_597,0.74687,NA
E3117_394,0.49248,NA
E4383_124,NA,0.15414
E4796_311,NA,0.38847
E3395_785,NA,0.98246
E815_82,NA,0.1015
E1598_781,0.97744,NA
E1702_65,0.0802,NA
E4182_203,NA,0.25313
E2833_773,0.96742,NA
E4280_504,NA,0.63033
E2449_493,0.61654,NA
E774_392,NA,0.48997
E749_238,NA,0.29699
E3571_7,0.00752,NA
E175_664,0.83083,NA
E1569_265,NA,0.33083
E4828_323,0.40351,NA
E4918_46,NA,0.05639
E4780_225,NA,0.2807
E2893_176,NA,0.2193
E3449_431,NA,0.53885
E3977_389,NA,0.48622
E4713_380,0.47494,NA
E2030_712,NA,0.89098
E177_251,0.31328,NA
E3544_80,NA,0.099
E180_791,0.98997,NA
E3007_576,0.72055,NA
E154_121,NA,0.15038
E1657_547,0.68421,NA
E1107_413,NA,0.51629
E2971_270,NA,0.33709
E2708_341,NA,0.42607
E1052_689,NA,0.86216
E643_480,NA,0.60025
E1291_465,NA,0.58145
E1519_573,0.71679,NA
E1582_58,NA,0.07143
E2745_7,0.00752,NA
E4677_417,NA,0.5213
E1937_753,0.94236,NA
E308_656,NA,0.8208
E1525_645,NA,0.80702
E4153_243,0.30326,NA
E4993_606,NA,0.75815
E2671_3,0.00251,NA
E2073_682,NA,0.85338
E1861_646,NA,0.80827
E1756_8,NA,0.00877
E2503_553,0.69173,NA
E3793_666,0.83333,NA
E316_182,0.22682,NA
E2776_733,0.91729,NA
E3615_91,0.11278,NA
E3962_528,NA,0.6604
E2944_182,NA,0.22682
E2986_252,NA,0.31454
E3144_143,0.17794,NA
E2428_709,0.88722,NA
E2283_176,0.2193,NA
E2527_189,NA,0.23559
E3213_206,NA,0.25689
E507_382,0.47744,NA
E2157_291,0.36341,NA
E1217_24,0.02882,NA
E1866_615,NA,0.76942
E2013_663,NA,0.82957
E1212_571,NA,0.71429
E4500_410,0.51253,NA
E908_650,0.81328,NA
E924_159,0.19799,NA
E70_218,0.27193,NA
E642_150,0.18672,NA
E3082_418,NA,0.52256
E689_121,0.15038,NA
E4800_6,NA,0.00627
E3630_470,NA,0.58772
E2175_62,0.07644,NA
E4680_353,0.4411,NA
E2118_561,0.70175,NA
E3514_149,0.18546,NA
E2717_288,NA,0.35965
E3782_75,0.09273,NA
E1991_608,0.76065,NA
E4269_702,NA,0.87845
E4731_279,0.34837,NA
E2491_66,NA,0.08145
E3603_634,0.79323,NA
E370_530,NA,0.66291
E4806_586,0.73308,NA
E4300_17,NA,0.02005
E3131_497,NA,0.62155
E3699_549,0.68672,NA
E1906_294,0.36717,NA
E790_693,NA,0.86717
E157_205,0.25564,NA
E4469_210,0.2619,NA
E442_580,0.72556,NA
E271_267,NA,0.33333
E294_340,NA,0.42481
E2760_683,0.85464,NA
E3168_725,0.90727,NA
E1887_41,NA,0.05013
E3824_765,NA,0.95739
E4039_212,NA,0.26441
E2320_363,NA,0.45363
E932_17,0.02005,NA
E3524_124,NA,0.15414
E443_603,0.75439,NA
E3066_104,NA,0.12907
E3963_74,NA,0.09148
E1478_522,0.65288,NA
E3842_36,0.04386,NA
E750_336,0.4198,NA
E736_474,0.59273,NA
E2688_523,0.65414,NA
E433_440,0.55013,NA
E4647_25,0.03008,NA
E398_573,0.71679,NA
E3748_460,NA,0.57519
E310_214,NA,0.26692
E1732_200,0.24937,NA
E247_155,NA,0.19298
E2942_665,0.83208,NA
E3788_735,NA,0.9198
E1101_637,NA,0.79699
E1890_428,NA,0.53509
E1508_724,0.90602,NA
E1860_25,0.03008,NA
E4673_496,0.6203,NA
E3923_360,NA,0.44987
E2523_273,0.34085,NA
E1329_647,NA,0.80952
E1540_738,0.92356,NA
E858_179,NA,0.22306
E3274_696,0.87093,NA
E2974_733,0.91729,NA
E379_559,NA,0.69925
E3318_480,NA,0.60025
E2580_349,0.43609,NA
E969_462,NA,0.57769
E2722_757,0.94737,NA
E966_181,NA,0.22556
E2181_525,0.65664,NA
E1759_490,NA,0.61278
E1872_33,NA,0.0401
E3948_687,NA,0.85965
E712_217,NA,0.27068
E2742_89,NA,0.11028
E2726_17,NA,0.02005
E1308_170,0.21178,NA
E1256_782,0.9787,NA
E3471_325,0.40602,NA
E1719_522,0.65288,NA
E1614_487,0.60902,NA
E479_643,NA,0.80451
E784_589,NA,0.73684
E439_480,NA,0.60025
E3567_238,NA,0.29699
E2730_103,NA,0.12782
E4847_318,NA,0.39724
E639_263,0.32832,NA
E2330_329,0.41103,NA
E714_101,0.12531,NA
E3627_729,0.91228,NA
E4910_180,0.22431,NA
E4356_116,NA,0.14411
E4345_66,NA,0.08145
E4155_533,NA,0.66667
E1005_62,NA,0.07644
E3800_701,0.87719,NA
E1092_752,0.9411,NA
