,PseudoTime1,PseudoTime2,PseudoTime3
E1062_519,0.64912,NA,NA
E1801_237,0.29574,NA,NA
E1486_25,NA,NA,0.03008
E2290_195,NA,0.24311,NA
E2368_285,NA,NA,0.35589
E3799_643,NA,NA,0.80451
E481_4,0.00376,NA,NA
E4723_458,0.57268,NA,NA
E4201_287,NA,NA,0.3584
E673_776,0.97118,NA,NA
E787_774,0.96867,NA,NA
E169_164,NA,NA,0.20426
E3290_720,NA,NA,0.901
E119_62,0.07644,NA,NA
E4635_348,NA,NA,0.43484
E3279_767,0.9599,NA,NA
E2603_253,NA,0.31579,NA
E1116_581,0.72682,NA,NA
E4167_208,0.2594,NA,NA
E4139_261,0.32581,NA,NA
E2887_390,0.48747,NA,NA
E1022_394,0.49248,NA,NA
E112_651,NA,NA,0.81454
E3125_84,NA,0.10401,NA
E2898_137,0.17043,NA,NA
E4604_386,NA,NA,0.48246
E2468_323,0.40351,NA,NA
E402_434,NA,NA,0.54261
E4027_711,NA,0.88972,NA
E4982_176,0.2193,NA,NA
E1503_797,NA,0.99749,NA
E2933_734,0.91855,NA,NA
E517_348,0.43484,NA,NA
E2953_676,0.84586,NA,NA
E1358_269,0.33584,NA,NA
E380_102,0.12657,NA,NA
E1019_524,0.65539,NA,NA
E2914_595,NA,0.74436,NA
E2824_388,0.48496,NA,NA
E3739_327,NA,0.40852,NA
E4088_121,NA,0.15038,NA
E4584_100,NA,NA,0.12406
E3370_352,0.43985,NA,NA
E4041_220,0.27444,NA,NA
E3705_144,NA,0.1792,NA
E1874_521,0.65163,NA,NA
E3516_328,0.40977,NA,NA
E3586_235,0.29323,NA,NA
E3312_116,0.14411,NA,NA
E4329_451,0.56391,NA,NA
E580_322,NA,NA,0.40226
E4701_485,NA,0.60652,NA
E3668_779,NA,NA,0.97494
E914_619,NA,NA,0.77444
E2413_504,0.63033,NA,NA
E2338_183,NA,NA,0.22807
E2248_555,0.69424,NA,NA
E1653_413,0.51629,NA,NA
E2900_551,0.68922,NA,NA
E3243_549,NA,NA,0.68672
E1725_762,NA,NA,0.95363
E2801_468,0.58521,NA,NA
E4705_408,NA,0.51003,NA
E2011_398,0.49749,NA,NA
E3795_223,0.2782,NA,NA
E1373_7,0.00752,NA,NA
E1905_385,NA,NA,0.4812
E680_62,0.07644,NA,NA
E2031_183,NA,0.22807,NA
E1157_1,0.0,NA,NA
E2078_505,NA,NA,0.63158
E538_84,NA,0.10401,NA
E1002_64,NA,NA,0.07895
E4556_321,0.401,NA,NA
E3431_575,NA,0.7193,NA
E4560_77,NA,NA,0.09524
E3481_793,NA,NA,0.99248
E1953_59,NA,NA,0.07268
E2096_381,NA,0.47619,NA
E2301_421,NA,NA,0.52632
E3354_29,NA,0.03509,NA
E1096_91,0.11278,NA,NA
E825_522,NA,0.65288,NA
E4577_527,NA,0.65915,NA
E1748_140,NA,0.17419,NA
E4435_226,0.28195,NA,NA
E4415_577,NA,0.7218,NA
E3419_589,NA,NA,0.73684
E2075_736,0.92105,NA,NA
E2986_680,0.85088,NA,NA
E1071_31,0.03759,NA,NA
E3915_477,NA,0.59649,NA
E3551_440,0.55013,NA,NA
E2579_295,0.36842,NA,NA
E3744_196,NA,0.24436,NA
E2719_185,0.23058,NA,NA
E1390_156,0.19424,NA,NA
E2143_211,0.26316,NA,NA
E1851_727,NA,0.90977,NA
E3252_359,0.44862,NA,NA
E4509_211,NA,0.26316,NA
E3017_392,0.48997,NA,NA
E1405_662,NA,0.82832,NA
E1733_101,0.12531,NA,NA
E250_760,0.95113,NA,NA
E4629_120,NA,NA,0.14912
E653_726,NA,NA,0.90852
E2324_127,NA,0.15789,NA
E3094_441,0.55138,NA,NA
E213_130,NA,0.16165,NA
E4332_708,0.88596,NA,NA
E1040_221,NA,NA,0.27569
E2110_1,0.0,NA,NA
E1869_204,NA,NA,0.25439
E3804_772,NA,NA,0.96617
E932_187,NA,0.23308,NA
E2700_58,NA,NA,0.07143
E1261_679,0.84962,NA,NA
E1716_332,0.41479,NA,NA
E282_125,NA,0.15539,NA
E3760_57,NA,0.07018,NA
E583_115,NA,0.14286,NA
E3743_253,0.31579,NA,NA
E3620_304,NA,0.3797,NA
E2584_397,NA,0.49624,NA
E857_243,NA,NA,0.30326
E259_446,0.55764,NA,NA
E4659_350,0.43734,NA,NA
E199_549,0.68672,NA,NA
E1619_773,0.96742,NA,NA
E984_576,NA,0.72055,NA
E2238_108,0.13409,NA,NA
E2244_215,NA,NA,0.26817
E2303_139,NA,0.17293,NA
E4573_643,0.80451,NA,NA
E4802_249,NA,0.31078,NA
E2863_4,NA,NA,0.00376
E1674_253,NA,0.31579,NA
E620_724,NA,NA,0.90602
E748_59,0.07268,NA,NA
E4987_699,0.87469,NA,NA
E2815_60,0.07393,NA,NA
E2517_81,NA,NA,0.10025
E4469_685,NA,0.85714,NA
E2533_681,NA,0.85213,NA
E1910_140,NA,NA,0.17419
E3045_174,NA,0.21679,NA
E1921_208,NA,NA,0.2594
E4619_251,0.31328,NA,NA
E3649_30,0.03634,NA,NA
E4597_312,0.38972,NA,NA
E3919_192,NA,0.23935,NA
E1225_667,0.83459,NA,NA
E4087_606,0.75815,NA,NA
E419_52,NA,NA,0.06391
E406_592,NA,NA,0.7406
E207_598,0.74812,NA,NA
E2635_256,NA,0.31955,NA
E3057_484,NA,0.60526,NA
E4678_124,NA,NA,0.15414
E2574_154,0.19173,NA,NA
E3700_209,NA,NA,0.26065
E3123_227,NA,0.28321,NA
E540_746,NA,0.93358,NA
E652_89,0.11028,NA,NA
E3819_147,0.18296,NA,NA
E2378_438,0.54762,NA,NA
E2313_717,NA,0.89724,NA
E4740_760,0.95113,NA,NA
E4888_488,0.61028,NA,NA
E678_348,0.43484,NA,NA
E940_317,0.39599,NA,NA
E3257_336,0.4198,NA,NA
E3724_418,0.52256,NA,NA
E2904_669,0.83709,NA,NA
E1830_7,0.00752,NA,NA
E1734_72,NA,0.08897,NA
E183_288,0.35965,NA,NA
E1912_364,0.45489,NA,NA
E2943_661,NA,NA,0.82707
E666_769,0.96241,NA,NA
E4503_123,0.15288,NA,NA
E4616_503,NA,NA,0.62907
E1163_17,0.02005,NA,NA
E1341_671,NA,NA,0.8396
E1937_638,0.79825,NA,NA
E258_613,NA,0.76692,NA
E1307_608,0.76065,NA,NA
E2620_726,0.90852,NA,NA
E194_629,0.78697,NA,NA
E3229_786,NA,NA,0.98371
E3653_664,NA,NA,0.83083
E549_149,NA,0.18546,NA
E539_521,0.65163,NA,NA
E3104_546,NA,0.68296,NA
E2315_475,0.59398,NA,NA
E281_776,NA,NA,0.97118
E3271_247,0.30827,NA,NA
E4328_44,0.05388,NA,NA
E3751_17,NA,NA,0.02005
E3570_190,NA,NA,0.23684
E2976_760,NA,NA,0.95113
E2984_426,NA,0.53258,NA
E2830_299,0.37343,NA,NA
E2144_147,0.18296,NA,NA
E4265_395,NA,0.49373,NA
E1728_398,NA,0.49749,NA
E3734_106,0.13158,NA,NA
E3606_361,NA,NA,0.45113
E210_265,NA,0.33083,NA
E3852_796,NA,0.99624,NA
E3676_391,NA,NA,0.48872
E72_407,NA,NA,0.50877
E1250_485,0.60652,NA,NA
E632_493,0.61654,NA,NA
E2961_734,0.91855,NA,NA
E4985_466,NA,NA,0.58271
E3212_700,0.87594,NA,NA
E3409_703,0.8797,NA,NA
E280_450,0.56266,NA,NA
E625_104,NA,NA,0.12907
E2661_152,NA,NA,0.18922
E2644_581,NA,NA,0.72682
E255_21,NA,NA,0.02506
E1662_270,NA,0.33709,NA
E2689_390,0.48747,NA,NA
E3679_225,NA,NA,0.2807
E323_741,0.92732,NA,NA
E2370_645,NA,NA,0.80702
E2515_672,NA,0.84085,NA
E3077_522,NA,NA,0.65288
E2089_342,NA,NA,0.42732
E1361_602,NA,NA,0.75313
E1538_438,NA,NA,0.54762
E3203_733,0.91729,NA,NA
E4135_526,0.65789,NA,NA
E3648_629,0.78697,NA,NA
E4385_207,0.25815,NA,NA
E985_597,NA,0.74687,NA
E139_368,0.4599,NA,NA
E3492_358,NA,0.44737,NA
