,PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4,PseudoTime5
E470_467,,,,0.93574,
E1543_357,0.71486,,,,
E1276_77,0.15261,,,,
E711_151,,0.3012,,,
E484_266,,,0.53213,,
E1772_384,0.76908,,,,
E1861_490,,,,,0.98193
E995_394,,,0.7891600000000001,,
E1467_2,,,0.00201,,
E1811_307,0.61446,,,,
E977_184,,,,0.36746999999999996,
E809_349,,0.6988,,,
E1247_255,,0.5100399999999999,,,
E775_497,0.99598,,,,
E1273_152,0.30321,,,,
E105_442,,0.88554,,,
E1681_164,,0.32731,,,
E1567_448,,,0.89759,,
E335_180,,,,,0.35944
E27_149,,,,,0.29719
E88_363,,,0.7269100000000001,,
E1195_387,,,0.7751,,
E785_293,0.58635,,,,
E1815_201,,,0.40160999999999997,,
E191_383,,,0.76707,,
E180_34,,0.06627000000000001,,,
E1657_336,,,0.67269,,
E272_189,0.37751,,,,
E610_390,,,0.78112,,
E1755_344,,0.68876,,,
E1025_215,,0.42972,,,
E1121_35,0.06827000000000001,,,,
E1971_131,,,0.26104,,
E1787_399,,0.7992,,,
E1707_375,0.7509999999999999,,,,
E1080_427,,,0.8554200000000001,,
E1749_59,,0.11647,,,
E1614_449,,,0.8996,,
E390_264,0.5281100000000001,,,,
E1499_1,0.0,,,,
E415_215,0.42972,,,,
E257_427,,,,0.8554200000000001,
E604_472,,0.94578,,,
E1252_21,,,0.04016,,
E1536_293,,,0.58635,,
E1109_424,,0.8494,,,
E1143_310,,0.62048,,,
E1710_164,0.32731,,,,
E339_92,0.18273,,,,
E1236_343,,,0.68675,,
E397_370,,,0.7409600000000001,,
E301_426,,,0.85341,,
E794_312,0.6245,,,,
E595_490,,,,,0.98193
E524_363,,,0.7269100000000001,,
E1763_362,,,0.7249,,
E1065_305,0.61044,,,,
E1745_255,0.5100399999999999,,,,
E1732_398,,0.79719,,,
E1808_77,,,0.15261,,
E813_354,0.7088399999999999,,,,
E394_95,,0.18875999999999998,,,
E502_12,,,0.022090000000000002,,
E161_348,,,0.6967899999999999,,
E532_38,,,,,0.0743
E1066_72,0.14257,,,,
E147_292,0.58434,,,,
E420_141,,,,,0.28112
E1941_105,0.20884,,,,
E207_240,0.47991999999999996,,,,
E946_162,0.32329,,,,
E63_456,0.91365,,,,
E202_302,0.60442,,,,
E278_213,0.4257,,,,
E658_361,,,0.7228899999999999,,
E1816_27,,0.05221,,,
E650_105,,0.20884,,,
E1217_204,,,0.40763,,
E1205_134,,0.26707,,,
E609_245,,0.48996000000000006,,,
E1552_401,,,0.8032100000000001,,
E784_47,,0.09237000000000001,,,
E802_268,,0.53614,,,
E1864_394,0.7891600000000001,,,,
E130_440,,,0.8815299999999999,,
E869_7,,0.01205,,,
E1748_106,,,0.21084,,
E439_70,,,0.13855,,
E826_150,0.2992,,,,
E1104_260,,,0.52008,,
E483_381,0.76305,,,,
E1537_58,,0.11445999999999999,,,
E769_454,0.90964,,,,
E879_289,0.57831,,,,
E1140_204,,,,0.40763,
E1929_276,,,0.5522100000000001,,
E1751_62,,,0.12249000000000002,,
E1319_469,0.93976,,,,
E654_239,0.47791000000000006,,,,
E116_239,,0.47791000000000006,,,
E1462_198,,,0.39558000000000004,,
E1769_390,,0.78112,,,
E1175_2,,0.00201,,,
E1847_343,,,0.68675,,
E1757_418,,,0.83735,,
E928_336,0.67269,,,,
E1573_497,,0.99598,,,
E1555_126,0.251,,,,
E449_61,,0.12047999999999999,,,
E1607_365,,,0.73092,,
E797_133,,,0.26506,,
E998_1,,,0.0,,
E1019_1,,,,0.0,
E559_45,,0.08835,,,
E787_442,,0.88554,,,
E1604_191,0.38153000000000004,,,,
E1859_80,0.15863,,,,
E1872_200,,,0.3996,,
E762_407,,,0.81526,,
E64_35,0.06827000000000001,,,,
E1108_99,0.19679000000000002,,,,
E1818_366,0.73293,,,,
E69_444,,,0.88956,,
E1879_288,,,0.57631,,
E1128_72,,0.14257,,,
E1301_452,,0.9056200000000001,,,
E833_275,,,0.5502,,
E844_407,,,,,0.81526
E1146_256,0.51205,,,,
E72_245,,,0.48996000000000006,,
E1259_202,,,0.40360999999999997,,
E282_73,0.14458,,,,
E1347_305,,,,0.61044,
E432_452,0.9056200000000001,,,,
E1975_407,0.81526,,,,
E937_114,0.22691,,,,
E850_96,0.19075999999999999,,,,
E1504_387,,,0.7751,,
