TF	target	importance
DMRT1	DKK1	0.3467068370491162
WT1pKTS	FOXL2	0.3330024182793443
DKK1	DMRT1	0.3278023072217087
FOXL2	WT1pKTS	0.3094984279850413
FGF9	PGD2	0.27382870978371043
FGF9	DHH	0.2650108855009821
CTNNB1	RSPO1	0.2561290270420465
FGF9	AMH	0.25513368559952626
PGD2	FGF9	0.2455019653891172
PGD2	DHH	0.2412728985824302
DHH	PGD2	0.23105234541968608
RSPO1	NR5A1	0.22682411736809602
RSPO1	WNT4	0.2252031638483953
UGR	CBX2	0.22175267553371483
AMH	FGF9	0.217485271154001
DMRT1	SRY	0.2124493786009616
PGD2	AMH	0.21210880076710448
FOXL2	CTNNB1	0.20957250772760583
RSPO1	CTNNB1	0.2033066357719388
DHH	FGF9	0.2025021466586054
DKK1	SRY	0.18575619649577732
NR5A1	RSPO1	0.18368539993962477
CBX2	UGR	0.1818045281319589
CTNNB1	FOXL2	0.1808721843059251
AMH	PGD2	0.17578580247454587
PGD2	SOX9	0.17287243348983347
SRY	UGR	0.17256544858981124
DHH	SOX9	0.1683141513083765
CTNNB1	WNT4	0.1682479096492349
CTNNB1	WT1pKTS	0.16662984986430007
DHH	AMH	0.16618186494930087
FGF9	SOX9	0.16034865978434015
AMH	DHH	0.15746863092476587
WNT4	RSPO1	0.15535595353847537
AMH	NR0B1	0.15447283333986578
SOX9	DKK1	0.15004425275169472
SOX9	DMRT1	0.14785236905133742
SRY	DMRT1	0.14739955497290924
WT1pKTS	CTNNB1	0.14726175744897094
SRY	DKK1	0.1386319887419764
NR5A1	CBX2	0.13738679290643244
NR0B1	UGR	0.1360595897596481
NR5A1	FOXL2	0.1353592694269381
CTNNB1	NR5A1	0.1288204759442814
NR5A1	WT1pKTS	0.12843837099254987
NR0B1	WNT4	0.11331385807727974
WNT4	UGR	0.11327030797479555
WNT4	NR0B1	0.10816032728898871
FOXL2	NR5A1	0.1074234743352588
SOX9	FGF9	0.10605321841743169
NR0B1	AMH	0.10540107619768375
AMH	SOX9	0.10377525039368335
SOX9	PGD2	0.10321941009956469
FGF9	NR0B1	0.10318717306478689
NR5A1	CTNNB1	0.10207193538040113
FOXL2	RSPO1	0.10197397227916312
SOX9	AMH	0.10093809221227065
