TF	target	importance
UGR	CBX2	163.83039972252962
FOXL2	WT1pKTS	157.22612932064177
DHH	PGD2	149.72049442258933
DHH	AMH	141.67555802499632
DMRT1	DKK1	135.56348730340972
DKK1	DMRT1	132.64207447179317
RSPO1	NR5A1	125.98715622021084
WT1pKTS	FOXL2	124.66584942705639
PGD2	AMH	123.0772636545526
PGD2	DHH	119.17658228945035
PGD2	FGF9	116.0525661388672
FGF9	PGD2	115.82289531344544
PGD2	SOX9	115.09844569500517
NR5A1	RSPO1	108.37382480407109
CTNNB1	WT1pKTS	106.15756694151526
WT1pKTS	CTNNB1	105.19692865368451
AMH	FGF9	104.71670308147489
CBX2	UGR	103.32328537615483
AMH	PGD2	102.30993105159195
WT1pKTS	NR5A1	101.18862239986707
DMRT1	SRY	98.58688823431952
FGF9	AMH	97.23152647252269
DHH	FGF9	96.11627039548482
NR0B1	UGR	95.84690155038122
CTNNB1	RSPO1	95.09107028444268
AMH	SOX9	94.59323389921765
SOX9	DHH	91.10341821387765
DHH	NR0B1	90.38019799528718
SRY	DMRT1	89.69782927101492
SOX9	NR5A1	89.42386530970421
WNT4	UGR	89.3855574866827
AMH	DHH	87.21992853137148
CTNNB1	NR5A1	86.98683816863027
SRY	FOXL2	86.75384615813253
DKK1	SRY	84.7633720732584
NR5A1	CTNNB1	83.11668813747588
WNT4	RSPO1	81.66834906460254
FOXL2	CTNNB1	81.5080088937759
SRY	WT1pKTS	79.6637103606569
WNT4	NR0B1	79.66171388067092
DHH	SOX9	79.63642952966417
SRY	UGR	79.25360107321855
DMRT1	CBX2	78.51700999543614
NR0B1	DHH	76.79290218982325
WNT4	CTNNB1	75.7502200200988
CTNNB1	WNT4	75.73056296422934
CTNNB1	SRY	75.5624551553934
AMH	NR0B1	75.14186539929995
NR5A1	FOXL2	74.38499558080652
NR0B1	AMH	72.99773109643374
RSPO1	WNT4	72.42988427196765
DMRT1	SOX9	71.56749890183386
SRY	DKK1	71.2252805057072
RSPO1	CTNNB1	71.09697843553195
PGD2	NR0B1	70.88551810375478
RSPO1	WT1pKTS	70.55742619630105
NR0B1	NR5A1	70.51490380741217
FOXL2	RSPO1	69.97710031072855
UGR	SRY	68.99980829913234
NR0B1	PGD2	68.57741933525003
FOXL2	NR5A1	67.83965652871102
NR5A1	SRY	67.30372295880827
FGF9	DHH	63.88539425015897
FGF9	SOX9	63.57033617085561
SOX9	SRY	62.81507559978831
SOX9	PGD2	62.78151853563555
CTNNB1	DKK1	62.55994149606493
CTNNB1	FOXL2	61.91107408058905
SOX9	DKK1	61.60363811929677
SOX9	AMH	61.56160113331286
CBX2	NR5A1	61.55774522343141
NR0B1	FGF9	61.37987335633201
RSPO1	SOX9	61.2998705158936
FOXL2	SRY	61.290637939331226
RSPO1	FOXL2	60.73352424291831
SOX9	NR0B1	60.50994190338397
CTNNB1	NR0B1	60.48394538176317
DKK1	PGD2	60.24661157990529
WNT4	SOX9	57.171408578787634
FGF9	NR0B1	57.063056954658045
DMRT1	PGD2	54.18067269767982
DKK1	WNT4	54.146963758864054
NR5A1	WT1pKTS	53.7625119822062
FGF9	DMRT1	53.762273417654086
SOX9	WNT4	53.319472872674
SRY	CTNNB1	53.06274263763081
NR5A1	CBX2	52.93664096384034
WNT4	DMRT1	52.687687349297214
NR0B1	WNT4	52.21136515970359
DMRT1	UGR	52.126633167139794
WNT4	PGD2	51.75299131560451
SOX9	FGF9	51.434635815948596
CBX2	DMRT1	50.88404139703969
RSPO1	NR0B1	50.5562648157846
CBX2	DKK1	50.248106396397475
WNT4	AMH	50.2277465260483
UGR	NR0B1	50.07108299640959
SOX9	DMRT1	49.16464147393905
CTNNB1	DMRT1	48.818803539070515
DKK1	UGR	48.81009308584993
NR0B1	RSPO1	48.43207367151528
RSPO1	UGR	48.16590724280471
UGR	NR5A1	47.67361652555126
RSPO1	SRY	47.105838555522766
WT1pKTS	SRY	47.097945688626524
PGD2	SRY	46.35756131462371
DKK1	SOX9	46.24709372882192
NR5A1	NR0B1	46.117399585091654
GATA4	WT1mKTS	45.240214324043365
DHH	DMRT1	45.178292410085554
RSPO1	CBX2	44.76363312881714
WNT4	DHH	44.43814983167329
WT1mKTS	GATA4	44.23448024084292
SRY	SOX9	44.200891362230315
DMRT1	RSPO1	44.063970086387165
DKK1	WT1pKTS	43.70728305737554
WNT4	DKK1	43.63157658842115
DMRT1	WT1pKTS	43.23270793012839
CTNNB1	CBX2	43.22846479026651
WT1pKTS	RSPO1	43.03439713411518
AMH	WNT4	42.74038341127691
DKK1	CBX2	42.666964740056386
CTNNB1	UGR	42.54939141587481
DKK1	AMH	42.371700691877315
WNT4	FGF9	42.237262331720274
WT1pKTS	WNT4	41.65424398567272
SRY	NR5A1	41.37885341263575
DMRT1	FGF9	41.33461127631413
FGF9	NR5A1	41.277456608233244
NR5A1	SOX9	41.03698650460942
DKK1	RSPO1	40.482985701580894
DMRT1	FOXL2	40.4722329784473
SRY	RSPO1	40.29377497941511
WNT4	FOXL2	40.080328603231386
SOX9	CBX2	40.01405887633966
SOX9	UGR	39.81784536934672
DMRT1	CTNNB1	39.80274961320178
SRY	CBX2	39.463217847868606
AMH	NR5A1	39.385089748721235
AMH	DKK1	39.323379803936156
AMH	DMRT1	38.866964816707466
DKK1	DHH	38.109978461132805
WNT4	NR5A1	37.70785847504289
DMRT1	WNT4	37.58264127110546
DMRT1	AMH	37.21346397261889
DKK1	FOXL2	36.929813528103715
DKK1	CTNNB1	36.47568767918665
DHH	SRY	35.94919384440394
PGD2	NR5A1	35.34049196217612
WNT4	WT1pKTS	35.08800847204231
FGF9	WNT4	35.0039924721477
FGF9	DKK1	34.90673873895455
UGR	RSPO1	34.826929978850046
NR0B1	CTNNB1	34.79677670172197
FOXL2	UGR	34.63216961469433
SOX9	RSPO1	34.297091466852855
DHH	NR5A1	34.199314384015175
WT1pKTS	DMRT1	33.88917662964244
DHH	CBX2	33.80153721707965
SRY	WNT4	33.23010596108989
UGR	DMRT1	32.93169521813896
NR5A1	UGR	32.81624436001731
NR5A1	WNT4	32.57282216323123
DMRT1	DHH	32.55610481053974
CBX2	RSPO1	32.49834148110906
NR0B1	CBX2	32.12762349684342
FOXL2	CBX2	32.02576021936493
UGR	WNT4	31.61015802522794
WNT4	SRY	31.390605253037172
DMRT1	NR5A1	30.75794690679303
DKK1	FGF9	30.286049996571602
PGD2	DMRT1	30.258530256715396
SOX9	CTNNB1	30.188661941489883
FOXL2	NR0B1	30.028040667284856
NR0B1	SRY	29.945161558194183
WT1pKTS	DKK1	29.88601446801081
FOXL2	WNT4	29.84954337623961
NR0B1	WT1pKTS	29.41380951721329
DHH	DKK1	29.23530050396368
CBX2	FOXL2	29.16445011528213
PGD2	UGR	29.063193444200813
UGR	DKK1	28.938654837402456
DKK1	NR5A1	28.700526354105875
WT1pKTS	CBX2	28.268947946247884
CBX2	WT1pKTS	27.907677922217577
NR0B1	FOXL2	27.15480986850639
FGF9	SRY	26.54486906898521
SRY	FGF9	26.1671825270927
RSPO1	PGD2	25.655044376423028
NR5A1	PGD2	25.131483024586647
NR5A1	FGF9	24.662330999565626
PGD2	WNT4	24.570792587235395
SRY	AMH	24.545932398131804
FGF9	CBX2	24.44120599443216
SOX9	WT1pKTS	24.391186315819752
CTNNB1	PGD2	23.761145113281
SRY	PGD2	23.50893982221396
SRY	NR0B1	23.23427785236351
CBX2	SRY	23.1516581519809
NR5A1	DHH	23.10375306105377
AMH	SRY	23.01602215618341
CBX2	NR0B1	22.508094071075295
SRY	DHH	22.451243048913284
DHH	WNT4	21.697740470468563
WT1pKTS	NR0B1	21.034523373628016
PGD2	RSPO1	20.9544042991045
NR5A1	DMRT1	20.69595925587217
AMH	CBX2	20.62982805388106
PGD2	DKK1	20.57698466706632
NR5A1	DKK1	20.262977932682563
CBX2	SOX9	20.184110426822095
NR5A1	AMH	20.16922560765548
FOXL2	DKK1	20.09940538657966
WNT4	CBX2	20.091991035093635
RSPO1	DKK1	19.97639340585592
GATA4	UGR	19.888753274452323
DKK1	NR0B1	19.870372787227012
UGR	CTNNB1	19.621249405803617
