Gene1	Gene2	EdgeWeight
UGR	CBX2	163.83039972252962
FOXL2	WT1pKTS	157.22612932064175
DHH	PGD2	149.72049442258933
DHH	AMH	141.67555802499632
DMRT1	DKK1	135.56348730340972
DKK1	DMRT1	132.64207447179317
RSPO1	NR5A1	125.98715622021084
WT1pKTS	FOXL2	124.66584942705641
PGD2	AMH	123.0772636545526
PGD2	DHH	119.17658228945037
PGD2	FGF9	116.0525661388672
FGF9	PGD2	115.82289531344543
PGD2	SOX9	115.09844569500515
NR5A1	RSPO1	108.37382480407108
CTNNB1	WT1pKTS	106.15756694151527
WT1pKTS	CTNNB1	105.19692865368452
AMH	FGF9	104.71670308147488
CBX2	UGR	103.32328537615484
AMH	PGD2	102.30993105159195
WT1pKTS	NR5A1	101.18862239986707
DMRT1	SRY	98.58688823431952
FGF9	AMH	97.23152647252267
DHH	FGF9	96.1162703954848
NR0B1	UGR	95.84690155038122
CTNNB1	RSPO1	95.0910702844427
AMH	SOX9	94.59323389921764
SOX9	DHH	91.10341821387765
DHH	NR0B1	90.38019799528719
SRY	DMRT1	89.69782927101492
SOX9	NR5A1	89.42386530970421
WNT4	UGR	89.3855574866827
AMH	DHH	87.21992853137148
CTNNB1	NR5A1	86.98683816863026
SRY	FOXL2	86.75384615813253
DKK1	SRY	84.76337207325841
NR5A1	CTNNB1	83.11668813747588
WNT4	RSPO1	81.66834906460255
FOXL2	CTNNB1	81.50800889377591
SRY	WT1pKTS	79.6637103606569
WNT4	NR0B1	79.66171388067092
DHH	SOX9	79.63642952966417
SRY	UGR	79.25360107321855
DMRT1	CBX2	78.51700999543614
NR0B1	DHH	76.79290218982325
WNT4	CTNNB1	75.7502200200988
CTNNB1	WNT4	75.73056296422935
CTNNB1	SRY	75.56245515539341
AMH	NR0B1	75.14186539929996
NR5A1	FOXL2	74.38499558080652
NR0B1	AMH	72.99773109643374
RSPO1	WNT4	72.42988427196767
DMRT1	SOX9	71.56749890183386
SRY	DKK1	71.2252805057072
RSPO1	CTNNB1	71.09697843553195
PGD2	NR0B1	70.88551810375478
RSPO1	WT1pKTS	70.55742619630105
NR0B1	NR5A1	70.51490380741218
FOXL2	RSPO1	69.97710031072855
UGR	SRY	68.99980829913234
NR0B1	PGD2	68.57741933525003
FOXL2	NR5A1	67.83965652871102
NR5A1	SRY	67.30372295880827
FGF9	DHH	63.88539425015897
FGF9	SOX9	63.570336170855605
SOX9	SRY	62.815075599788315
SOX9	PGD2	62.78151853563555
CTNNB1	DKK1	62.55994149606493
CTNNB1	FOXL2	61.911074080589046
SOX9	DKK1	61.60363811929677
SOX9	AMH	61.561601133312855
CBX2	NR5A1	61.557745223431404
NR0B1	FGF9	61.379873356332006
RSPO1	SOX9	61.2998705158936
FOXL2	SRY	61.29063793933122
RSPO1	FOXL2	60.73352424291831
SOX9	NR0B1	60.50994190338397
CTNNB1	NR0B1	60.48394538176317
DKK1	PGD2	60.24661157990529
WNT4	SOX9	57.171408578787634
FGF9	NR0B1	57.06305695465805
DMRT1	PGD2	54.180672697679825
DKK1	WNT4	54.14696375886405
NR5A1	WT1pKTS	53.7625119822062
FGF9	DMRT1	53.76227341765409
SOX9	WNT4	53.319472872674
SRY	CTNNB1	53.06274263763081
NR5A1	CBX2	52.93664096384034
WNT4	DMRT1	52.68768734929722
NR0B1	WNT4	52.2113651597036
DMRT1	UGR	52.12663316713979
WNT4	PGD2	51.752991315604504
SOX9	FGF9	51.4346358159486
CBX2	DMRT1	50.88404139703969
RSPO1	NR0B1	50.556264815784594
CBX2	DKK1	50.248106396397475
WNT4	AMH	50.2277465260483
UGR	NR0B1	50.0710829964096
SOX9	DMRT1	49.16464147393905
CTNNB1	DMRT1	48.81880353907052
DKK1	UGR	48.810093085849935
NR0B1	RSPO1	48.43207367151528
RSPO1	UGR	48.16590724280471
UGR	NR5A1	47.67361652555126
RSPO1	SRY	47.10583855552277
WT1pKTS	SRY	47.09794568862653
PGD2	SRY	46.35756131462371
DKK1	SOX9	46.24709372882192
NR5A1	NR0B1	46.11739958509165
GATA4	WT1mKTS	45.24021432404337
DHH	DMRT1	45.17829241008555
RSPO1	CBX2	44.76363312881714
WNT4	DHH	44.438149831673286
WT1mKTS	GATA4	44.23448024084293
SRY	SOX9	44.20089136223032
DMRT1	RSPO1	44.06397008638718
DKK1	WT1pKTS	43.707283057375534
WNT4	DKK1	43.63157658842115
DMRT1	WT1pKTS	43.23270793012839
CTNNB1	CBX2	43.22846479026651
WT1pKTS	RSPO1	43.03439713411518
AMH	WNT4	42.74038341127691
DKK1	CBX2	42.66696474005639
CTNNB1	UGR	42.54939141587481
DKK1	AMH	42.37170069187732
WNT4	FGF9	42.237262331720274
WT1pKTS	WNT4	41.654243985672714
SRY	NR5A1	41.37885341263575
DMRT1	FGF9	41.334611276314135
FGF9	NR5A1	41.27745660823325
NR5A1	SOX9	41.03698650460942
DKK1	RSPO1	40.482985701580894
DMRT1	FOXL2	40.4722329784473
SRY	RSPO1	40.29377497941511
WNT4	FOXL2	40.08032860323138
SOX9	CBX2	40.014058876339654
SOX9	UGR	39.81784536934672
DMRT1	CTNNB1	39.80274961320178
SRY	CBX2	39.46321784786861
AMH	NR5A1	39.38508974872124
AMH	DKK1	39.323379803936156
AMH	DMRT1	38.866964816707466
DKK1	DHH	38.10997846113281
WNT4	NR5A1	37.70785847504289
DMRT1	WNT4	37.58264127110546
DMRT1	AMH	37.21346397261889
DKK1	FOXL2	36.92981352810372
DKK1	CTNNB1	36.47568767918665
DHH	SRY	35.949193844403936
PGD2	NR5A1	35.34049196217612
WNT4	WT1pKTS	35.08800847204231
FGF9	WNT4	35.0039924721477
FGF9	DKK1	34.90673873895455
UGR	RSPO1	34.82692997885005
NR0B1	CTNNB1	34.79677670172197
FOXL2	UGR	34.63216961469433
SOX9	RSPO1	34.29709146685285
DHH	NR5A1	34.199314384015175
WT1pKTS	DMRT1	33.88917662964244
DHH	CBX2	33.80153721707965
SRY	WNT4	33.23010596108989
UGR	DMRT1	32.93169521813896
NR5A1	UGR	32.81624436001731
NR5A1	WNT4	32.57282216323123
DMRT1	DHH	32.556104810539736
CBX2	RSPO1	32.49834148110906
NR0B1	CBX2	32.12762349684343
FOXL2	CBX2	32.025760219364926
UGR	WNT4	31.610158025227943
WNT4	SRY	31.390605253037172
DMRT1	NR5A1	30.75794690679303
DKK1	FGF9	30.286049996571602
PGD2	DMRT1	30.2585302567154
SOX9	CTNNB1	30.188661941489887
FOXL2	NR0B1	30.028040667284856
NR0B1	SRY	29.945161558194183
WT1pKTS	DKK1	29.886014468010806
FOXL2	WNT4	29.84954337623961
NR0B1	WT1pKTS	29.413809517213288
DHH	DKK1	29.235300503963682
CBX2	FOXL2	29.16445011528213
PGD2	UGR	29.063193444200806
UGR	DKK1	28.938654837402453
DKK1	NR5A1	28.70052635410587
WT1pKTS	CBX2	28.268947946247888
CBX2	WT1pKTS	27.907677922217573
NR0B1	FOXL2	27.154809868506387
FGF9	SRY	26.54486906898521
SRY	FGF9	26.1671825270927
RSPO1	PGD2	25.65504437642303
NR5A1	PGD2	25.13148302458665
NR5A1	FGF9	24.662330999565626
PGD2	WNT4	24.570792587235392
SRY	AMH	24.545932398131804
FGF9	CBX2	24.44120599443216
SOX9	WT1pKTS	24.39118631581975
CTNNB1	PGD2	23.761145113281003
SRY	PGD2	23.50893982221396
SRY	NR0B1	23.234277852363512
CBX2	SRY	23.1516581519809
NR5A1	DHH	23.103753061053766
AMH	SRY	23.01602215618341
CBX2	NR0B1	22.50809407107529
SRY	DHH	22.451243048913284
DHH	WNT4	21.697740470468563
WT1pKTS	NR0B1	21.034523373628016
PGD2	RSPO1	20.9544042991045
NR5A1	DMRT1	20.69595925587217
AMH	CBX2	20.62982805388106
PGD2	DKK1	20.57698466706632
NR5A1	DKK1	20.262977932682567
CBX2	SOX9	20.184110426822095
NR5A1	AMH	20.16922560765548
FOXL2	DKK1	20.099405386579658
WNT4	CBX2	20.091991035093635
RSPO1	DKK1	19.976393405855923
GATA4	UGR	19.888753274452323
DKK1	NR0B1	19.87037278722701
UGR	CTNNB1	19.621249405803614
WT1pKTS	WT1mKTS	19.386093725700256
CTNNB1	AMH	19.21494675126793
NR0B1	GATA4	18.95649013679012
FGF9	RSPO1	18.837804852573818
CBX2	PGD2	18.82168750170494
DMRT1	NR0B1	18.65335032814326
RSPO1	FGF9	18.64816784678334
CBX2	CTNNB1	18.559108736822697
FOXL2	DMRT1	18.28748966604677
NR0B1	WT1mKTS	18.205355490138324
FGF9	CTNNB1	18.196301507317745
RSPO1	DMRT1	17.794657571226068
CBX2	FGF9	17.742048727687465
AMH	UGR	17.642158085329573
FGF9	UGR	17.325897150706478
NR0B1	SOX9	17.29728167298582
FOXL2	SOX9	17.095226753627074
UGR	GATA4	16.86702087834896
WT1pKTS	UGR	16.595394186955644
DHH	UGR	16.462645036787826
CBX2	DHH	16.372272526185178
WT1mKTS	UGR	16.294329079402477
AMH	RSPO1	16.072893615437643
NR0B1	DKK1	15.912198915535905
CTNNB1	DHH	15.79659520903356
NR0B1	DMRT1	15.474769164237829
CTNNB1	FGF9	14.276534549872606
PGD2	CTNNB1	14.216829601128982
RSPO1	DHH	14.127682852598939
CBX2	GATA4	13.650851112393715
CBX2	AMH	13.424890782021885
WNT4	GATA4	13.397011821942096
CTNNB1	SOX9	13.355451231497742
FOXL2	PGD2	12.963919353316125
PGD2	CBX2	12.858575717804001
WT1pKTS	GATA4	12.731354468579823
UGR	WT1pKTS	12.69439570726618
UGR	SOX9	12.671714617578747
DHH	RSPO1	12.159056060510151
DHH	WT1pKTS	12.021987489864927
AMH	CTNNB1	12.012045824125428
UGR	PGD2	11.977572595057115
SOX9	FOXL2	11.841247026553607
UGR	FOXL2	11.822274094199491
AMH	WT1pKTS	11.310194586272955
WT1pKTS	DHH	11.126747235267013
DHH	FOXL2	11.111805603979533
WT1pKTS	SOX9	11.075399834232108
SRY	GATA4	11.041682303349907
CTNNB1	GATA4	10.98722557272095
DKK1	WT1mKTS	10.951412779355843
CBX2	WNT4	10.822238943287338
UGR	WT1mKTS	10.729969928929012
FOXL2	FGF9	10.515339356173248
NR5A1	GATA4	10.156274431373019
WT1pKTS	PGD2	9.978097842548564
FGF9	FOXL2	9.714638112721648
CBX2	WT1mKTS	9.40170663534437
SOX9	WT1mKTS	9.367716999123422
DMRT1	WT1mKTS	9.34207639132154
UGR	FGF9	9.147827532825396
WNT4	WT1mKTS	8.947407353921673
RSPO1	AMH	8.805674265524939
FOXL2	AMH	8.701058953716378
UGR	AMH	8.349684957416835
RSPO1	WT1mKTS	8.299286879080572
FGF9	WT1pKTS	8.237303839052695
SRY	WT1mKTS	8.189683531710756
DHH	GATA4	8.167607059180527
DHH	CTNNB1	8.164161517129973
DMRT1	GATA4	8.144280410313689
DKK1	GATA4	7.9250996764504995
FGF9	GATA4	7.897633386512207
PGD2	FOXL2	7.855592324116667
CTNNB1	WT1mKTS	7.844641879242157
WT1pKTS	FGF9	7.438962372812588
RSPO1	GATA4	7.390051543968897
PGD2	WT1pKTS	7.278381519774375
NR5A1	WT1mKTS	7.152579496224033
UGR	DHH	7.1430861693504655
SOX9	GATA4	7.094799767078401
GATA4	NR0B1	7.078864814735312
AMH	GATA4	6.904685392437337
WT1pKTS	AMH	6.6662454558232245
AMH	WT1mKTS	6.441716736763548
FOXL2	WT1mKTS	6.414662120918453
PGD2	WT1mKTS	6.340946464292758
FGF9	WT1mKTS	6.124151636100747
FOXL2	GATA4	6.070425078239403
WT1mKTS	NR0B1	5.721489089438896
GATA4	SRY	5.679762585545165
DHH	WT1mKTS	5.620377627789163
PGD2	GATA4	5.383026719477536
WT1mKTS	WT1pKTS	5.377355306612835
GATA4	NR5A1	4.861273159182011
AMH	FOXL2	4.702952233369909
WT1mKTS	SRY	4.439421562865516
WT1mKTS	NR5A1	4.218784805576431
GATA4	WNT4	4.020348283072793
FOXL2	DHH	4.001152512197821
GATA4	WT1pKTS	3.9723635350380126
WT1mKTS	CBX2	3.936122853453292
WT1mKTS	WNT4	3.806740022505832
GATA4	DMRT1	3.527559164541905
WT1mKTS	SOX9	3.483335769380377
GATA4	CBX2	3.398017400645581
WT1mKTS	RSPO1	3.16865562382806
GATA4	RSPO1	2.767276584875375
WT1mKTS	CTNNB1	2.6967087490352166
WT1mKTS	DMRT1	2.437554926976866
GATA4	SOX9	2.4152848069565755
GATA4	PGD2	2.131543565672142
GATA4	DKK1	2.0312554743329585
WT1mKTS	DKK1	2.0186654563818203
GATA4	FOXL2	1.9636767183755024
WT1mKTS	AMH	1.9613912200850512
WT1mKTS	DHH	1.9305500954456205
GATA4	AMH	1.8043580359936768
WT1mKTS	FOXL2	1.7368893036099267
WT1mKTS	PGD2	1.6780325534944982
GATA4	DHH	1.6644587119267715
GATA4	CTNNB1	1.5381519448382257
GATA4	FGF9	1.4600420130501557
WT1mKTS	FGF9	1.3835916814233014
