Parent	Type	Child	Weight	Probability	Score
AMH	-	AMH	-0.006011	0.446475	-0.004142
CBX2	+	AMH	0.001386	0.041568	0.000089
CTNNB1	+	AMH	0.008769	0.317402	0.004295
DHH	+	AMH	0.014568	0.491595	0.011051
DKK1	+	AMH	0.006778	0.159585	0.001669
DMRT1	+	AMH	0.003097	0.135605	0.000648
FGF9	+	AMH	0.001253	0.445848	0.000862
FOXL2	-	AMH	-0.001252	0.059905	-0.000116
GATA4	+	AMH	0.010326	0.605266	0.009644
NR0B1	+	AMH	0.001156	0.080851	0.000144
NR5A1	-	AMH	-0.001079	0.045018	-0.000075
PGD2	-	AMH	-0.004434	0.447479	-0.003062
RSPO1	+	AMH	0.000863	0.083163	0.000111
SOX9	+	AMH	0.003991	0.329512	0.002030
SRY	+	AMH	0.001953	0.029883	0.000090
UGR	+	AMH	0.004580	0.063974	0.000452
WNT4	-	AMH	-0.002554	0.087480	-0.000345
WT1mKTS	+	AMH	0.003523	0.108678	0.000591
WT1pKTS	+	AMH	0.001810	0.048434	0.000135
AMH	-	CBX2	-0.016971	0.437017	-0.011445
CBX2	+	CBX2	0.376036	1.000000	0.580270
CTNNB1	-	CBX2	-0.119960	0.860972	-0.159377
DHH	-	CBX2	-0.132707	0.530566	-0.108651
DKK1	-	CBX2	-0.214556	0.951320	-0.314970
DMRT1	-	CBX2	-0.064440	0.269321	-0.026781
FGF9	+	CBX2	0.112581	0.516637	0.089753
FOXL2	+	CBX2	0.069697	0.232253	0.024979
GATA4	+	CBX2	0.015721	0.092661	0.002248
NR0B1	-	CBX2	-0.031651	0.106886	-0.005220
NR5A1	+	CBX2	0.327912	1.000000	0.506009
PGD2	+	CBX2	0.317311	0.805857	0.394588
RSPO1	-	CBX2	-0.084711	0.403799	-0.052784
SOX9	-	CBX2	-0.400725	0.974383	-0.602527
SRY	+	CBX2	0.033359	0.076752	0.003951
UGR	+	CBX2	0.328641	1.000000	0.507134
WNT4	+	CBX2	0.005462	0.081259	0.000685
WT1mKTS	+	CBX2	0.139258	0.977050	0.209960
WT1pKTS	+	CBX2	0.121583	0.837331	0.157098
AMH	-	CTNNB1	-0.017798	0.436689	-0.011993
CBX2	-	CTNNB1	-0.321579	0.999998	-0.496235
CTNNB1	+	CTNNB1	0.221955	0.864028	0.295932
DHH	+	CTNNB1	0.193085	0.530334	0.158015
DKK1	+	CTNNB1	0.254572	0.766927	0.301277
DMRT1	+	CTNNB1	0.281082	0.845474	0.366719
FGF9	+	CTNNB1	0.425225	0.769616	0.505003
FOXL2	+	CTNNB1	0.240037	0.988019	0.365969
GATA4	+	CTNNB1	0.276935	0.996165	0.425706
NR0B1	+	CTNNB1	0.260766	0.991353	0.398915
NR5A1	-	CTNNB1	-0.284028	0.999610	-0.438120
PGD2	+	CTNNB1	0.131841	0.489981	0.099685
RSPO1	+	CTNNB1	0.292486	0.999469	0.451103
SOX9	+	CTNNB1	0.012837	0.331438	0.006566
SRY	-	CTNNB1	-0.126995	0.263696	-0.051676
UGR	-	CTNNB1	-0.074067	0.114472	-0.013084
WNT4	+	CTNNB1	0.133587	0.153265	0.031594
WT1mKTS	+	CTNNB1	0.321475	0.999971	0.496061
WT1pKTS	+	CTNNB1	0.104834	0.179877	0.029099
AMH	-	DHH	-0.000102	0.435057	-0.000069
CBX2	-	DHH	-0.001606	0.050382	-0.000125
CTNNB1	-	DHH	-0.004524	0.129430	-0.000904
DHH	+	DHH	0.006635	0.441325	0.004519
DKK1	-	DHH	-0.000764	0.104676	-0.000123
DMRT1	-	DHH	-0.000725	0.112225	-0.000126
FGF9	+	DHH	0.014065	0.498277	0.010815
FOXL2	+	DHH	0.003801	0.078748	0.000462
GATA4	-	DHH	-0.001447	0.097887	-0.000219
NR0B1	+	DHH	0.008389	0.134152	0.001737
NR5A1	+	DHH	0.007452	0.145968	0.001679
PGD2	+	DHH	0.014668	0.499078	0.011296
RSPO1	+	DHH	0.002512	0.078778	0.000305
SOX9	-	DHH	-0.002156	0.324103	-0.001078
SRY	+	DHH	0.002522	0.038120	0.000148
UGR	+	DHH	0.008665	0.140379	0.001877
WNT4	+	DHH	0.004455	0.090896	0.000625
WT1mKTS	+	DHH	0.009822	0.166656	0.002526
WT1pKTS	+	DHH	0.000918	0.045854	0.000065
AMH	-	DKK1	-0.009589	0.436302	-0.006456
CBX2	-	DKK1	-0.026734	0.094346	-0.003892
CTNNB1	+	DKK1	0.049088	0.292224	0.022136
DHH	-	DKK1	-0.003437	0.427664	-0.002268
DKK1	+	DKK1	0.032220	0.233987	0.011634
DMRT1	+	DKK1	0.158144	0.983027	0.239893
FGF9	-	DKK1	-0.074330	0.514734	-0.059040
FOXL2	-	DKK1	-0.011662	0.079705	-0.001434
GATA4	+	DKK1	0.115290	0.000000	0.000000
NR0B1	+	DKK1	0.174116	0.000000	0.000000
NR5A1	-	DKK1	-0.040163	0.162865	-0.010094
PGD2	-	DKK1	-0.032680	0.455743	-0.022982
RSPO1	+	DKK1	0.047435	0.281173	0.020581
SOX9	+	DKK1	0.013912	0.332141	0.007130
SRY	+	DKK1	0.077557	0.521239	0.062381
UGR	-	DKK1	-0.004487	0.038288	-0.000265
WNT4	+	DKK1	0.086222	0.923783	0.122911
WT1mKTS	-	DKK1	-0.014652	0.094277	-0.002132
WT1pKTS	+	DKK1	0.097242	0.995237	0.149342
AMH	+	DMRT1	0.021737	0.442427	0.014840
CBX2	-	DMRT1	-0.020233	0.078256	-0.002443
CTNNB1	+	DMRT1	0.065989	0.716168	0.072926
DHH	-	DMRT1	-0.011217	0.429499	-0.007435
DKK1	+	DMRT1	0.013399	0.205772	0.004255
DMRT1	+	DMRT1	0.169435	0.997518	0.260810
FGF9	-	DMRT1	-0.084230	0.540072	-0.070197
FOXL2	-	DMRT1	-0.017063	0.091739	-0.002416
GATA4	-	DMRT1	-0.032934	0.170707	-0.008675
NR0B1	+	DMRT1	0.143420	0.000000	0.000000
