Gene1	Gene2	EdgeWeight
WT1pKTS	WT1pKTS	1.0
UGR	UGR	1.0
NR0B1	SRY	1.0
CBX2	RSPO1	1.0
CTNNB1	SRY	1.0
SOX9	SOX9	1.0
SRY	SRY	1.0
NR0B1	UGR	1.0
FOXL2	WNT4	1.0
WNT4	WNT4	1.0
NR0B1	WNT4	1.0
UGR	WT1mKTS	1.0
WT1pKTS	WT1mKTS	1.0
UGR	WNT4	1.0
WT1pKTS	WNT4	1.0
CBX2	WT1pKTS	1.0
SRY	SRY	1.0
UGR	SRY	1.0
GATA4	WT1mKTS	1.0
NR0B1	UGR	1.0
CBX2	WNT4	1.0
FOXL2	FOXL2	1.0
GATA4	GATA4	1.0
NR5A1	GATA4	1.0
FOXL2	NR0B1	1.0
NR0B1	NR0B1	1.0
UGR	NR0B1	1.0
WNT4	SRY	1.0
WT1mKTS	NR0B1	1.0
NR5A1	NR5A1	1.0
UGR	WNT4	1.0
SRY	NR5A1	1.0
UGR	NR5A1	1.0
CBX2	UGR	1.0
WT1mKTS	UGR	1.0
FOXL2	WT1mKTS	1.0
NR5A1	CBX2	1.0
UGR	CBX2	1.0
NR0B1	NR0B1	1.0
WT1mKTS	WT1pKTS	1.0
UGR	WT1pKTS	1.0
WT1pKTS	GATA4	1.0
CBX2	GATA4	1.0
CBX2	NR5A1	1.0
RSPO1	NR5A1	1.0
CBX2	CBX2	1.0
DMRT1	DMRT1	1.0
DKK1	DMRT1	1.0
WT1pKTS	WT1mKTS	1.0
CBX2	DMRT1	1.0
DMRT1	DKK1	1.0
UGR	UGR	1.0
DKK1	DKK1	1.0
DKK1	CBX2	1.0
NR5A1	WT1pKTS	1.0
WT1pKTS	WT1pKTS	1.0
WNT4	RSPO1	1.0
RSPO1	RSPO1	1.0
CBX2	CBX2	1.0
NR5A1	CBX2	1.0
SOX9	CBX2	1.0
UGR	CBX2	1.0
WNT4	CTNNB1	1.0
DMRT1	CBX2	0.999999
WT1pKTS	NR0B1	0.999999
UGR	GATA4	0.999999
WT1mKTS	GATA4	0.999999
SRY	WT1pKTS	0.999999
RSPO1	UGR	0.999999
FOXL2	GATA4	0.999999
CTNNB1	CTNNB1	0.999999
GATA4	WT1pKTS	0.9999979999999999
