Gene1	Gene2	corVal	pValue
AMH	AMH	1	0
CBX2	CBX2	1	0
CTNNB1	CTNNB1	1	0
DHH	DHH	1	0
DKK1	DKK1	1	0
DMRT1	DMRT1	1	0
FGF9	FGF9	1	0
FOXL2	FOXL2	1	0
GATA4	GATA4	1	0
NR0B1	NR0B1	1	0
NR5A1	NR5A1	1	0
PGD2	PGD2	1	0
RSPO1	RSPO1	1	0
SOX9	SOX9	1	0
SRY	SRY	1	0
UGR	UGR	1	0
WNT4	WNT4	1	0
WT1mKTS	WT1mKTS	1	0
WT1pKTS	WT1pKTS	1	0
DMRT1	DKK1	0.385532747915482	2.78981792088514e-71
DKK1	DMRT1	0.385532747915482	2.78981792088514e-71
WNT4	RSPO1	0.306964139946649	1.55585709042048e-44
RSPO1	WNT4	0.306964139946649	1.55585709042048e-44
CTNNB1	RSPO1	0.286505040474487	8.90582038047638e-39
RSPO1	CTNNB1	0.286505040474487	8.90582038047715e-39
DKK1	SRY	0.258514447707924	1.21401049937312e-31
SRY	DKK1	0.258514447707923	1.21401049937322e-31
NR0B1	WNT4	0.250190588763338	1.11110933418279e-29
WNT4	NR0B1	0.250190588763338	1.1111093341829e-29
SRY	DMRT1	0.227905266979438	8.85715833836451e-25
DMRT1	SRY	0.227905266979438	8.8571583383647e-25
WNT4	CTNNB1	0.227264605014459	1.20444741151113e-24
CTNNB1	WNT4	0.227264605014458	1.20444741151123e-24
PGD2	FGF9	0.198708880981623	4.17172845078806e-19
FGF9	PGD2	0.198708880981622	4.17172845078824e-19
PGD2	AMH	0.189457932998828	1.76074783697441e-17
AMH	PGD2	0.189457932998828	1.76074783697446e-17
AMH	DHH	0.186127783551796	6.4699117099156e-17
DHH	AMH	0.186127783551796	6.46991170991574e-17
NR5A1	CBX2	0.179338873100294	8.52635833338482e-16
CBX2	NR5A1	0.179338873100294	8.52635833338513e-16
DHH	FGF9	0.175193857776833	3.91993921293463e-15
FGF9	DHH	0.175193857776833	3.91993921293472e-15
NR5A1	WT1pKTS	0.174576954616772	4.90356994054685e-15
WT1pKTS	NR5A1	0.174576954616771	4.90356994054703e-15
SOX9	DKK1	0.171222050659596	1.633444316311e-14
DKK1	SOX9	0.171222050659595	1.63344431631119e-14
SRY	WT1pKTS	0.162085355086576	3.83336207878157e-13
WT1pKTS	SRY	0.162085355086576	3.83336207878163e-13
SRY	NR0B1	0.157153998622204	1.95627033680746e-12
NR0B1	SRY	0.157153998622204	1.95627033680747e-12
DMRT1	SOX9	0.148927416038825	2.64867777923460e-11
SOX9	DMRT1	0.148927416038825	2.64867777923496e-11
SOX9	NR5A1	0.142349045170353	1.92281219360836e-10
NR5A1	SOX9	0.142349045170353	1.92281219360843e-10
PGD2	DHH	0.141017101336996	2.84131658129216e-10
DHH	PGD2	0.141017101336996	2.84131658129216e-10
CBX2	WT1pKTS	0.133853097020098	2.18012671200201e-09
WT1pKTS	CBX2	0.133853097020098	2.18012671200206e-09
SOX9	SRY	0.125100718680372	2.27982224267507e-08
SRY	SOX9	0.125100718680372	2.27982224267519e-08
CBX2	UGR	0.12433018035898	2.78237657539829e-08
UGR	CBX2	0.12433018035898	2.78237657539831e-08
FGF9	AMH	0.124234679241778	2.85169014508007e-08
AMH	FGF9	0.124234679241778	2.85169014508007e-08
CTNNB1	FOXL2	0.106460000255934	2.02136111289339e-06
FOXL2	CTNNB1	0.106460000255934	2.02136111289343e-06
WNT4	SRY	0.105018770639985	2.77788229830762e-06
SRY	WNT4	0.105018770639985	2.77788229830775e-06
NR5A1	SRY	0.100448526036066	7.40923661580073e-06
SRY	NR5A1	0.100448526036066	7.40923661580079e-06
SOX9	PGD2	0.0994821111052495	9.06946050055673e-06
PGD2	SOX9	0.0994821111052494	9.06946050055686e-06
DMRT1	WT1pKTS	0.0977380483496694	1.30026802869629e-05
WT1pKTS	DMRT1	0.0977380483496694	1.3002680286963e-05
AMH	SOX9	0.0960187349651259	1.84388128010906e-05
SOX9	AMH	0.0960187349651258	1.84388128010908e-05
DHH	SOX9	0.0928072492208796	3.48642139581963e-05
