Gene1	Gene2	EdgeWeight
AMH	AMH	1.0
NR5A1	NR5A1	1.0
WT1pKTS	WT1pKTS	1.0
WT1mKTS	WT1mKTS	1.0
WNT4	WNT4	1.0
UGR	UGR	1.0
SRY	SRY	1.0
SOX9	SOX9	1.0
CBX2	CBX2	1.0
PGD2	PGD2	1.0
RSPO1	RSPO1	1.0
NR0B1	NR0B1	1.0
GATA4	GATA4	1.0
FOXL2	FOXL2	1.0
FGF9	FGF9	1.0
DMRT1	DMRT1	1.0
DKK1	DKK1	1.0
DHH	DHH	1.0
CTNNB1	CTNNB1	1.0
DMRT1	DKK1	0.3855327479154821
DKK1	DMRT1	0.3855327479154821
WNT4	RSPO1	0.306964139946649
RSPO1	WNT4	0.306964139946649
NR5A1	RSPO1	-0.291518102493791
RSPO1	NR5A1	-0.291518102493791
CTNNB1	RSPO1	0.286505040474487
RSPO1	CTNNB1	0.286505040474487
DKK1	SRY	0.258514447707924
SRY	DKK1	0.25851444770792303
NR0B1	WNT4	0.25019058876333805
WNT4	NR0B1	0.25019058876333805
SRY	DMRT1	0.22790526697943803
DMRT1	SRY	0.22790526697943803
WNT4	CTNNB1	0.22726460501445897
CTNNB1	WNT4	0.227264605014458
WT1pKTS	FOXL2	-0.208600068841202
FOXL2	WT1pKTS	-0.20860006884120103
PGD2	FGF9	0.198708880981623
FGF9	PGD2	0.19870888098162195
AMH	PGD2	0.189457932998828
PGD2	AMH	0.189457932998828
NR0B1	AMH	-0.186614968128143
AMH	NR0B1	-0.186614968128143
AMH	DHH	0.18612778355179602
DHH	AMH	0.18612778355179602
FOXL2	SRY	-0.180330509620356
SRY	FOXL2	-0.180330509620355
NR5A1	CBX2	0.17933887310029398
CBX2	NR5A1	0.17933887310029398
DHH	FGF9	0.175193857776833
FGF9	DHH	0.175193857776833
NR5A1	WT1pKTS	0.174576954616772
WT1pKTS	NR5A1	0.174576954616771
SOX9	DKK1	0.17122205065959603
DKK1	SOX9	0.17122205065959498
WT1pKTS	SRY	0.16208535508657598
SRY	WT1pKTS	0.16208535508657598
NR0B1	SRY	0.157153998622204
SRY	NR0B1	0.157153998622204
DMRT1	CBX2	-0.155742224807926
CBX2	DMRT1	-0.155742224807926
SOX9	DMRT1	0.148927416038825
DMRT1	SOX9	0.148927416038825
SOX9	NR5A1	0.142349045170353
NR5A1	SOX9	0.142349045170353
NR0B1	FGF9	-0.141911065780311
FGF9	NR0B1	-0.141911065780311
DHH	PGD2	0.141017101336996
PGD2	DHH	0.141017101336996
NR0B1	NR5A1	-0.13960925129136198
NR5A1	NR0B1	-0.13960925129136198
WT1pKTS	CBX2	0.133853097020098
CBX2	WT1pKTS	0.133853097020098
DHH	NR0B1	-0.131296735410843
NR0B1	DHH	-0.131296735410843
SRY	SOX9	0.125100718680372
SOX9	SRY	0.125100718680372
CBX2	UGR	0.12433018035898
UGR	CBX2	0.12433018035898
AMH	FGF9	0.12423467924177801
FGF9	AMH	0.12423467924177801
NR5A1	CTNNB1	-0.122351505123809
CTNNB1	NR5A1	-0.122351505123808
CTNNB1	UGR	-0.122140136521693
UGR	CTNNB1	-0.122140136521693
DMRT1	CTNNB1	-0.11916781977676699
CTNNB1	DMRT1	-0.11916781977676699
FOXL2	NR5A1	-0.11569185343356
NR5A1	FOXL2	-0.11569185343356
DMRT1	WNT4	-0.108371755791695
WNT4	DMRT1	-0.108371755791695
PGD2	NR0B1	-0.106798953841893
NR0B1	PGD2	-0.106798953841893
CTNNB1	FOXL2	0.106460000255934
FOXL2	CTNNB1	0.106460000255934
SRY	WNT4	0.10501877063998499
WNT4	SRY	0.10501877063998499
UGR	NR0B1	-0.10415638994019
NR0B1	UGR	-0.10415638994019
NR5A1	SRY	0.10044852603606601
SRY	NR5A1	0.10044852603606601
SOX9	PGD2	0.0994821111052495
PGD2	SOX9	0.0994821111052494
DMRT1	WT1pKTS	0.0977380483496694
WT1pKTS	DMRT1	0.0977380483496694
SOX9	CBX2	-0.0975157680140259
CBX2	SOX9	-0.0975157680140258
AMH	SOX9	0.0960187349651259
SOX9	AMH	0.0960187349651258
SOX9	UGR	-0.0959977937553508
UGR	SOX9	-0.0959977937553507
NR5A1	DKK1	-0.0950563856965544
DKK1	NR5A1	-0.0950563856965543
