SourceGENES,TargetGENES,Interaction,Edges
DMRT1,GATA4,1,activation
DKK1,GATA4,0.925030316615269,repression
CBX2,GATA4,0.905103494356069,activation
CBX2,WT1mKTS,0.788466430578019,repression
CTNNB1,GATA4,0.737332936449614,activation
DMRT1,WT1mKTS,0.716593702405098,activation
DKK1,WT1mKTS,0.678295640742225,repression
UGR,GATA4,0.674514426929476,activation
RSPO1,GATA4,0.628514508752976,repression
NR5A1,GATA4,0.598975858525602,activation
UGR,WT1pKTS,0.576100064945261,repression
DMRT1,WT1pKTS,0.558234810687604,activation
CBX2,WT1pKTS,0.515938963925198,activation
DKK1,WT1pKTS,0.506641197822396,activation
WNT4,WT1mKTS,0.422356454261977,repression
CTNNB1,WT1mKTS,0.391236862997684,activation
WNT4,GATA4,0.352395004596094,activation
SRY,GATA4,0.301021007298674,activation
DMRT1,UGR,0.278989825623356,repression
DMRT1,SRY,0.275098654026244,activation
RSPO1,WT1pKTS,0.268854260601475,activation
NR5A1,CTNNB1,0.258090755278629,repression
CBX2,UGR,0.25668259657902,activation
DKK1,UGR,0.254251686211879,repression
DKK1,SRY,0.253324523240544,activation
WNT4,CTNNB1,0.252040415217872,activation
CBX2,SRY,0.247541422730294,repression
DMRT1,NR0B1,0.240740434595568,activation
NR5A1,WNT4,0.240045123161304,activation
CTNNB1,WT1pKTS,0.239623396093389,activation
CBX2,NR0B1,0.221292027304122,repression
CTNNB1,CTNNB1,0.219517549205136,activation
SRY,WT1pKTS,0.218380118787653,activation
DKK1,NR0B1,0.218371944916574,activation
RSPO1,WNT4,0.203887092198466,activation
FGF9,SOX9,0.203296193801102,activation
FOXL2,WT1pKTS,0.202394343665232,repression
WT1mKTS,WT1pKTS,0.197453055191017,activation
WNT4,DKK1,0.196197793650969,repression
WT1mKTS,GATA4,0.188952071246419,activation
CBX2,CTNNB1,0.18752734722898,repression
WNT4,CBX2,0.186050452047826,activation
CTNNB1,SRY,0.184784485875591,activation
FGF9,DHH,0.183366415328459,activation
CTNNB1,WNT4,0.181375069058411,activation
DKK1,WNT4,0.17478644761124,repression
CTNNB1,UGR,0.174180950137416,repression
WNT4,DMRT1,0.17324969653816,repression
FGF9,FGF9,0.172160828410588,activation
FGF9,PGD2,0.172055642569749,activation
DMRT1,WNT4,0.170684018885085,repression
DKK1,CTNNB1,0.169893920292403,repression
FGF9,NR5A1,0.166511511648231,activation
RSPO1,CTNNB1,0.16621899423237,activation
UGR,NR0B1,0.163102770002774,repression
DMRT1,CTNNB1,0.162068023667496,repression
FOXL2,GATA4,0.161453849572839,activation
UGR,SRY,0.161397489214859,repression
WNT4,NR5A1,0.159544271818869,activation
