Gene1	Gene2	EdgeWeight
GATA4	CTNNB1	1.04204891811495
WT1mKTS	CTNNB1	1.0
GATA4	DMRT1	1.0
GATA4	DKK1	0.925030316615269
GATA4	CBX2	0.9051034943560691
WT1mKTS	CBX2	0.788466430578019
WT1mKTS	DMRT1	0.7165937024050981
WT1mKTS	DKK1	0.6782956407422249
GATA4	UGR	0.6745144269294762
GATA4	RSPO1	0.6285145087529761
GATA4	NR5A1	0.5989758585256021
WT1pKTS	UGR	0.576100064945261
WT1pKTS	DMRT1	0.558234810687604
WT1pKTS	CBX2	0.515938963925198
WT1pKTS	DKK1	0.506641197822396
DMRT1	WT1pKTS	0.435360230311563
WT1mKTS	WNT4	0.4223564542619771
DKK1	WT1pKTS	0.420854117269155
DKK1	FOXL2	0.41999246084652203
DMRT1	FOXL2	0.3934458267219099
GATA4	WNT4	0.35239500459609396
SOX9	WT1pKTS	0.33626373905555396
AMH	FOXL2	0.307828979708516
GATA4	SRY	0.30102100729867404
AMH	SRY	0.289503077265518
UGR	DMRT1	0.278989825623356
SRY	DMRT1	0.27509865402624395
WT1pKTS	RSPO1	0.268854260601475
CTNNB1	NR5A1	0.258090755278629
UGR	CBX2	0.25668259657902
UGR	DKK1	0.254251686211879
SRY	DKK1	0.253324523240544
CTNNB1	WNT4	0.25204041521787196
SRY	CBX2	0.24754142273029398
NR0B1	NR5A1	0.24554302209208304
NR0B1	CTNNB1	0.243003749552904
NR0B1	DMRT1	0.240740434595568
WNT4	NR5A1	0.240045123161304
PGD2	WT1pKTS	0.240012198155411
WT1pKTS	CTNNB1	0.23962339609338898
AMH	NR5A1	0.235013221155255
UGR	NR5A1	0.22756422820386604
CBX2	FOXL2	0.22543161494934
WNT4	CTNNB1	0.22463827717017398
NR0B1	CBX2	0.22155753406148396
CTNNB1	CTNNB1	0.219517549205136
WT1pKTS	SRY	0.218380118787653
NR0B1	DKK1	0.218371944916574
SRY	NR5A1	0.211436956618839
AMH	WT1pKTS	0.21075643534366
WT1mKTS	RSPO1	0.20771569870570802
PGD2	FGF9	0.20693190357310395
FOXL2	WT1pKTS	0.204129108096415
WNT4	RSPO1	0.20388709219846599
SOX9	FGF9	0.203296193801102
WT1pKTS	FOXL2	0.20239434366523198
WT1pKTS	WT1mKTS	0.19745305519101702
DKK1	WNT4	0.196197793650969
UGR	CTNNB1	0.19537819645554896
CTNNB1	FOXL2	0.193252467359035
DMRT1	SRY	0.189715607501766
SRY	CTNNB1	0.189412583954607
GATA4	WT1mKTS	0.188952071246419
CTNNB1	CBX2	0.18752734722898004
CBX2	WNT4	0.18605045204782603
WNT4	CBX2	0.186019277931998
DHH	FGF9	0.183366415328459
CBX2	WT1pKTS	0.180958215746614
DKK1	NR5A1	0.17509662894895098
WNT4	DKK1	0.17478644761124
DMRT1	WNT4	0.17324969653816
FGF9	FGF9	0.17216082841058802
NR5A1	FOXL2	0.17077085577799697
WNT4	DMRT1	0.170684018885085
CTNNB1	DKK1	0.16989392029240302
NR5A1	FGF9	0.16651151164823097
CTNNB1	RSPO1	0.16621899423237
NR0B1	UGR	0.163102770002774
CTNNB1	DMRT1	0.162068023667496
AMH	CBX2	0.161708518533483
GATA4	FOXL2	0.16145384957283898
SRY	UGR	0.161397489214859
NR5A1	WT1pKTS	0.161312216322784
DKK1	SRY	0.160330376606866
NR5A1	WNT4	0.15954427181886902
SOX9	FOXL2	0.155886447303259
RSPO1	NR5A1	0.150838360766664
AMH	DKK1	0.150372603299615
WT1mKTS	NR5A1	0.149744848163084
FGF9	WT1pKTS	0.148208476790892
RSPO1	FOXL2	0.14676456397133802
WT1pKTS	WT1pKTS	0.145932495833762
DKK1	CTNNB1	0.143399665769099
CTNNB1	WT1pKTS	0.14011875247345998
UGR	UGR	0.136454242514459
CTNNB1	SRY	0.136265978176039
SRY	RSPO1	0.135335602153921
CBX2	SRY	0.131535784877341
CBX2	NR5A1	0.129928665966045
NR5A1	NR5A1	0.129639125627508
WT1pKTS	NR5A1	0.129522482084208
FOXL2	FOXL2	0.129259237740172
WNT4	WNT4	0.123299371095738
AMH	FGF9	0.12294796150353698
DKK1	CBX2	0.12127056235084697
DMRT1	CTNNB1	0.11993572517815301
RSPO1	SRY	0.119849709277989
SRY	FOXL2	0.11662857661324
WNT4	UGR	0.11505525540783999
RSPO1	CBX2	0.111999469853649
CBX2	CTNNB1	0.110624841230751
RSPO1	WT1pKTS	0.109024024811453
UGR	SRY	0.10459595417247301
DKK1	DKK1	0.10451766349788999
