Gene1	Gene2	EdgeWeight
FGF9	CTNNB1	6.0
FOXL2	NR0B1	6.0
FGF9	CBX2	1.5
FOXL2	DHH	1.5
FGF9	WT1pKTS	0.66666
FOXL2	AMH	0.66666
FOXL2	FGF9	0.375
FGF9	UGR	0.375
FOXL2	DMRT1	0.24
FGF9	RSPO1	0.24
FOXL2	PGD2	0.16666
DHH	NR5A1	0.16666
FOXL2	SRY	0.12244000000000001
DHH	WT1pKTS	0.12244000000000001
FOXL2	SOX9	0.09375
FGF9	NR5A1	0.09375
PGD2	WT1pKTS	0.07407000000000001
FOXL2	NR5A1	0.07407000000000001
FOXL2	WNT4	0.06
PGD2	CBX2	0.06
FOXL2	RSPO1	0.04958
FGF9	NR0B1	0.04958
DHH	CBX2	0.04166
CTNNB1	NR5A1	0.04166
FOXL2	CBX2	0.0355
PGD2	RSPO1	0.0355
WT1mKTS	SOX9	0.030610000000000002
FGF9	WNT4	0.030610000000000002
WT1mKTS	FGF9	0.026660000000000003
PGD2	GATA4	0.026660000000000003
UGR	FOXL2	0.02343
WT1mKTS	PGD2	0.02343
WT1mKTS	DHH	0.02076
UGR	WT1pKTS	0.02076
PGD2	NR0B1	0.01851
WT1mKTS	AMH	0.01851
CTNNB1	NR0B1	0.01662
SOX9	NR5A1	0.01662
GATA4	NR5A1	0.015
SOX9	CBX2	0.015
AMH	CBX2	0.0136
CTNNB1	CBX2	0.0136
SOX9	RSPO1	0.01239
WT1mKTS	NR0B1	0.01239
WT1pKTS	WNT4	0.011340000000000001
AMH	UGR	0.011340000000000001
CTNNB1	FGF9	0.010409999999999999
PGD2	FOXL2	0.010409999999999999
FOXL2	DKK1	0.0096
AMH	FOXL2	0.0096
WT1mKTS	WNT4	0.008870000000000001
DHH	CTNNB1	0.008870000000000001
FOXL2	CTNNB1	0.00823
PGD2	NR5A1	0.00823
PGD2	UGR	0.00765
CTNNB1	DMRT1	0.00765
UGR	CBX2	0.00713
SOX9	FOXL2	0.00713
PGD2	CTNNB1	0.006659999999999999
CTNNB1	DHH	0.006659999999999999
DHH	FOXL2	0.00624
WT1mKTS	RSPO1	0.00624
FGF9	FOXL2	0.00585
CTNNB1	AMH	0.00585
DHH	UGR	0.0055
WT1pKTS	DHH	0.0055
DHH	RSPO1	0.00519
WT1mKTS	DMRT1	0.00489
GATA4	FGF9	0.00462
AMH	WNT4	0.00462
DHH	NR0B1	0.004379999999999999
CTNNB1	PGD2	0.004379999999999999
SOX9	WT1pKTS	0.00415
GATA4	WNT4	0.00415
GATA4	DHH	0.00394
AMH	NR5A1	0.00394
AMH	SRY	0.00375
WT1pKTS	SOX9	0.00375
FOXL2	GATA4	0.0035600000000000002
UGR	NR0B1	0.0035600000000000002
UGR	DKK1	0.0034
SOX9	CTNNB1	0.0034
GATA4	UGR	0.00324
CBX2	NR5A1	0.00324
AMH	WT1pKTS	0.00309
WT1mKTS	NR5A1	0.00309
GATA4	PGD2	0.00296
SOX9	UGR	0.00296
UGR	CTNNB1	0.00283
UGR	PGD2	0.00271
DMRT1	NR5A1	0.00271
UGR	DMRT1	0.0026
CBX2	FOXL2	0.0026
NR0B1	FGF9	0.00249
SOX9	WNT4	0.00249
UGR	SRY	0.0024
DMRT1	CTNNB1	0.0024
NR5A1	DMRT1	0.0023
DMRT1	RSPO1	0.0023
NR5A1	DHH	0.00221
PGD2	SRY	0.00221
CBX2	RSPO1	0.00213
WT1pKTS	PGD2	0.00213
SOX9	NR0B1	0.00205
SOX9	AMH	0.00198
CBX2	WT1pKTS	0.00198
UGR	NR5A1	0.0019100000000000002
WT1mKTS	CBX2	0.0019100000000000002
