Gene1	Gene2	EdgeWeight
Gfi1	Cebpa	0.5055384849553637
Cebpa	Gfi1	0.5031173850140448
Fog1	Scl	0.3799564428318531
Scl	Fog1	0.3710166195228721
cJun	EgrNab	0.3663997530623728
EgrNab	cJun	0.3586911636932929
Gata1	Pu1	0.3488347987359052
Pu1	Gata1	0.3288477052019165
Fli1	Eklf	0.28508524530388324
Eklf	Fli1	0.2499018264179346
Scl	Gata1	0.2287929247402608
Gata1	Scl	0.21952246418935714
Fog1	Gata1	0.21348940294485008
Gata1	Fog1	0.2013366360941153
Fog1	Fli1	0.19521720739797546
Fog1	Eklf	0.187317036381381
Gfi1	EgrNab	0.1861914130758784
Pu1	Scl	0.1852748236887929
Scl	Fli1	0.18488822872920926
Fog1	Pu1	0.17990637559830608
Pu1	Gata2	0.17192462117324486
Pu1	Fog1	0.17121524257248336
Scl	Eklf	0.16808554715587762
Scl	Pu1	0.16267293392516555
Cebpa	EgrNab	0.16118405688202891
Gata1	Gata2	0.15891531925709454
Gfi1	cJun	0.14596715923194575
Cebpa	cJun	0.14344555218684876
Fog1	Gata2	0.13914351829775068
cJun	Cebpa	0.13000808040748102
cJun	Gfi1	0.12770121858478364
Gata1	Fli1	0.12179186003167003
EgrNab	Gfi1	0.121702763694719
Pu1	cJun	0.1209983207050087
Eklf	Gata2	0.12088869736466333
Fli1	Gata2	0.11032921647037852
EgrNab	Cebpa	0.1091804204577392
Gata1	Eklf	0.1008400932610296
Scl	Gata2	0.10040059160183247
Fli1	Fog1	0.09587014159906296
Gata1	cJun	0.09151961525291027
Pu1	Fli1	0.08932109210552412
Pu1	EgrNab	0.08794956632826065
Pu1	Gfi1	0.08710306868272716
Pu1	Cebpa	0.08637602787585953
Eklf	Fog1	0.08442613474455632
Pu1	Eklf	0.08345880133052871
Gata2	Eklf	0.08061829499081379
Gata2	Pu1	0.07928195110030185
Fli1	Scl	0.07894187753745954
Fli1	Gata1	0.07640592414360932
Fli1	Pu1	0.07329696423086307
Cebpa	Gata2	0.06934803544320581
Gata2	Fli1	0.06633341249595777
Eklf	Gata1	0.06358417503788337
Eklf	Scl	0.06163648065474514
Gata1	EgrNab	0.05954412437286055
Eklf	Pu1	0.058735867774365576
Gata1	Gfi1	0.05168596931718753
Gata1	Cebpa	0.050443193974229264
Gfi1	Gata2	0.05039418646915634
cJun	Gata2	0.04745443501905999
Scl	cJun	0.046921269653054064
Fog1	EgrNab	0.04070958653741725
Fog1	cJun	0.0392362153345543
Fog1	Cebpa	0.03891372001560827
Scl	EgrNab	0.03833617690610242
Gata2	Gata1	0.03780441239204813
Scl	Cebpa	0.03486752983237297
Scl	Gfi1	0.03392394587533761
Fog1	Gfi1	0.03185869757976747
EgrNab	Gata2	0.031201378903613658
cJun	Pu1	0.030968279630238564
Cebpa	Eklf	0.029147435649315937
cJun	Eklf	0.029090536268241218
Cebpa	Fli1	0.027967006862757986
cJun	Fli1	0.02683332139920165
Cebpa	Pu1	0.025065405514350908
cJun	Fog1	0.02493498638636772
cJun	Scl	0.0245055512970272
Gfi1	Pu1	0.02268515673977288
Gfi1	Fli1	0.021965074078395038
cJun	Gata1	0.02157208172300808
Eklf	EgrNab	0.021443773561774928
Gata2	cJun	0.02125158219716796
Gfi1	Eklf	0.020873535118967973
Fli1	EgrNab	0.019616411360693628
Gata2	Cebpa	0.01874195958271236
Gata2	EgrNab	0.01862513791261045
EgrNab	Pu1	0.018552266750730285
Gata2	Gfi1	0.018412902614971253
Cebpa	Scl	0.018133744738786768
Cebpa	Fog1	0.018091451844148215
Gata2	Fog1	0.017388205248303614
Gata2	Scl	0.017307105067230575
Fli1	cJun	0.017222038637533996
EgrNab	Fli1	0.015780970481374126
EgrNab	Eklf	0.01548347453996089
Eklf	cJun	0.014747083107683473
Eklf	Cebpa	0.0132150243075794
Fli1	Gfi1	0.013148622588347456
Cebpa	Gata1	0.013094105555086787
Fli1	Cebpa	0.012715558591054357
Eklf	Gfi1	0.011345426048114095
Gfi1	Fog1	0.01051475239296494
Gfi1	Gata1	0.0102828641360223
Gfi1	Scl	0.008558692733105666
EgrNab	Scl	0.006162817261642037
EgrNab	Gata1	0.006126404125314548
EgrNab	Fog1	0.0052058295951253565
