Gene1	Gene2	EdgeWeight
Cebpa	Gfi1	303.5327558843806
Gfi1	Cebpa	268.2204471034405
Eklf	Fli1	232.06786012603249
EgrNab	cJun	193.94815082910625
Fog1	Fli1	188.92012482669858
Fli1	Eklf	177.0833506846698
cJun	EgrNab	166.52743046121358
Pu1	Fli1	150.74798020704353
Scl	Eklf	137.85636057064264
Scl	Fli1	133.04685327186334
Cebpa	cJun	132.35140960288632
EgrNab	Cebpa	130.83326218435943
cJun	Gfi1	125.25885698620328
Fog1	Scl	116.95276825360929
Gfi1	EgrNab	116.91301101528492
Pu1	Gata2	116.41908178618387
Gata1	Pu1	115.70797148596142
Fog1	Eklf	114.670880624611
Pu1	Scl	112.36200932807941
Cebpa	EgrNab	110.91945269278182
Gata1	Fli1	109.04319384404242
EgrNab	Gfi1	108.55089053089551
Pu1	Gata1	108.44411994092556
Pu1	Fog1	106.15858808691587
Scl	Fog1	105.12596150113094
cJun	Cebpa	101.48015138835724
Gata1	Gata2	101.05968734834516
Fog1	Gata2	99.66482455373941
Pu1	Eklf	93.62430125451328
Fog1	Gata1	88.44719415470448
Gata1	Eklf	87.42690966976505
Fli1	Gata2	78.92090760047775
Scl	Gata1	76.75847623711498
Gfi1	cJun	75.71700159642542
Gata1	Scl	75.40188756810672
Scl	Gata2	72.96905407933085
Gata1	Fog1	72.3036504213139
Eklf	Gata2	71.98227337382937
Fli1	Fog1	70.10633440800531
Fog1	Pu1	66.48903331540248
Scl	Pu1	62.46621076178407
Gata2	Fli1	57.256388597429066
cJun	Fli1	57.0273664847393
Eklf	Pu1	56.98137396331333
Eklf	Scl	54.424290724823415
Gata2	Eklf	54.349105726036704
Eklf	Fog1	53.09039068794511
Fli1	Scl	50.01213245606291
Fli1	Pu1	47.2510920724018
Eklf	Gata1	44.10837246387725
Fli1	Gata1	43.92233531801755
cJun	Fog1	43.65247401820128
Scl	cJun	43.022618403770494
Gata2	Pu1	41.966968035234025
Gfi1	Gata2	40.759458338966716
Cebpa	Gata2	40.424064561505595
Pu1	cJun	39.355734071417714
Cebpa	Eklf	38.37185716827255
Pu1	Gfi1	37.46115419892841
Pu1	Cebpa	37.144759157386034
Cebpa	Fli1	36.48411783063153
Cebpa	Scl	34.723523470115715
Gata1	EgrNab	34.60492769044018
Gata1	cJun	33.420509644155906
Gfi1	Pu1	32.3965137468574
EgrNab	Pu1	32.347107157559535
cJun	Pu1	32.24419791971545
Fog1	cJun	32.20679732060845
Cebpa	Pu1	32.149531541770486
Pu1	EgrNab	32.12038551990882
cJun	Eklf	31.77836393196205
EgrNab	Eklf	31.633308003284306
Scl	Gfi1	31.464351300515837
Scl	Cebpa	31.35181952311702
Fog1	Gfi1	31.178695772836235
Gata1	Gfi1	30.584286342968053
cJun	Gata1	30.505854607498488
EgrNab	Fli1	30.14104677746787
Gfi1	Fli1	28.265068034051875
Cebpa	Fog1	27.103694373853827
Cebpa	Gata1	27.078417443662467
EgrNab	Gata1	26.954784265814126
cJun	Scl	25.937856468644718
cJun	Gata2	25.769982479310087
Fog1	Cebpa	24.78856664643196
Scl	EgrNab	24.284385985308553
Gfi1	Fog1	24.040366966616173
EgrNab	Gata2	24.030665878311282
Gata1	Cebpa	23.776784506926273
Gfi1	Eklf	23.2055623662425
Eklf	Cebpa	22.05729463120589
Gfi1	Scl	20.63384105402061
Gfi1	Gata1	20.020637720235847
Gata2	Gata1	19.7598078481492
Fog1	EgrNab	19.412757273120143
Fli1	Cebpa	18.754114860531896
Eklf	cJun	17.091169208277034
EgrNab	Scl	14.666430327913787
Fli1	Gfi1	14.166796430103346
EgrNab	Fog1	13.22196798129502
Gata2	cJun	12.594965881190099
Fli1	EgrNab	12.57008465306919
Gata2	Gfi1	11.378961712502203
Fli1	cJun	11.29164344216235
Gata2	Fog1	11.196571554722588
Gata2	EgrNab	10.51939352010259
Eklf	EgrNab	9.12817118877014
Gata2	Scl	8.88526034862335
Gata2	Cebpa	8.592799998243734
Eklf	Gfi1	8.423250840666457
