Parent	Type	Child	Weight	Probability	Score
Cebpa	-	Cebpa	-0.155258	0.506926	-0.107908
EgrNab	+	Cebpa	0.091545	0.518762	0.065111
Eklf	+	Cebpa	0.003440	0.087228	0.000411
Fli1	+	Cebpa	0.085387	0.187172	0.021912
Fog1	-	Cebpa	-0.092161	0.277835	-0.035107
Gata1	+	Cebpa	0.162060	0.794515	0.176536
Gata2	+	Cebpa	0.200482	0.986997	0.271297
Gfi1	-	Cebpa	-0.085557	0.209737	-0.024603
Pu1	+	Cebpa	0.636692	0.999996	0.872936
Scl	-	Cebpa	-0.092048	0.276586	-0.034906
cJun	+	Cebpa	0.424539	0.971396	0.565416
Cebpa	+	EgrNab	0.008025	0.124993	0.001375
EgrNab	+	EgrNab	0.008830	0.495600	0.006000
Eklf	-	EgrNab	-0.000549	0.083995	-0.000063
Fli1	-	EgrNab	-0.006999	0.072800	-0.000699
Fog1	+	EgrNab	0.002580	0.092374	0.000327
Gata1	+	EgrNab	0.010762	0.195857	0.002890
Gata2	+	EgrNab	0.006834	0.052167	0.000489
Gfi1	+	EgrNab	0.001242	0.069368	0.000118
Pu1	+	EgrNab	0.026584	0.423342	0.015430
Scl	+	EgrNab	0.003648	0.102068	0.000511
cJun	+	EgrNab	0.035047	0.527861	0.025364
Cebpa	+	Eklf	0.137898	0.307898	0.058213
EgrNab	+	Eklf	0.039414	0.491906	0.026582
Eklf	+	Eklf	0.384795	1.000000	0.527574
Fli1	-	Eklf	-0.237684	0.789310	-0.257219
Fog1	+	Eklf	0.235087	0.968397	0.312131
Gata1	+	Eklf	0.235088	0.989094	0.318803
Gata2	+	Eklf	0.055766	0.080268	0.006137
Gfi1	-	Eklf	-0.087017	0.164456	-0.019620
Pu1	+	Eklf	0.018898	0.258147	0.006689
Scl	+	Eklf	0.497688	1.000000	0.682357
cJun	-	Eklf	-0.184129	0.448241	-0.113159
Cebpa	-	Fli1	-0.105468	0.253968	-0.036724
EgrNab	-	Fli1	-0.028040	0.490307	-0.018850
Eklf	+	Fli1	0.038849	0.108466	0.005777
Fli1	+	Fli1	0.419627	0.999998	0.575331
Fog1	-	Fli1	-0.126678	0.372076	-0.064623
Gata1	+	Fli1	0.045965	0.110446	0.006960
Gata2	+	Fli1	0.279017	0.999816	0.382477
Gfi1	+	Fli1	0.115685	0.252110	0.039987
Pu1	-	Fli1	-0.078967	0.303243	-0.032831
Scl	+	Fli1	0.145495	0.595701	0.118832
cJun	-	Fli1	-0.157578	0.430223	-0.092949
Cebpa	+	Fog1	0.130687	0.294438	0.052757
EgrNab	+	Fog1	0.008194	0.487985	0.005483
Eklf	+	Fog1	0.269029	0.996312	0.367493
Fli1	-	Fog1	-0.085933	0.154620	-0.018217
Fog1	+	Fog1	0.217926	0.948973	0.283542
Gata1	+	Fog1	0.350653	1.000000	0.480764
Gata2	-	Fog1	-0.171553	0.634389	-0.149214
Gfi1	-	Fog1	-0.021254	0.091146	-0.002656
Pu1	-	Fog1	-0.026278	0.257324	-0.009271
Scl	+	Fog1	0.526390	1.000000	0.721709
cJun	-	Fog1	-0.138386	0.379780	-0.072058
Cebpa	+	Gata1	0.046238	0.178288	0.011302
EgrNab	+	Gata1	0.108557	0.515932	0.076790
Eklf	+	Gata1	0.390132	0.999999	0.534892
Fli1	+	Gata1	0.491330	0.000000	0.000000
Fog1	+	Gata1	0.274403	0.994517	0.374158
Gata1	+	Gata1	0.478778	1.000000	0.656430
Gata2	+	Gata1	0.328026	0.998904	0.449248
Gfi1	+	Gata1	0.244892	0.799348	0.268389
Pu1	+	Gata1	0.389805	0.869519	0.464709
Scl	+	Gata1	0.251464	0.977297	0.336944
cJun	+	Gata1	0.476152	0.945331	0.617140
Cebpa	-	Gata2	-0.289084	0.769366	-0.304938
EgrNab	-	Gata2	-0.028042	0.490230	-0.018848
Eklf	+	Gata2	0.016578	0.098313	0.002235
Fli1	+	Gata2	0.252648	0.717856	0.248661
Fog1	-	Gata2	-0.186071	0.671801	-0.171385
Gata1	+	Gata2	0.315784	0.997649	0.431939
Gata2	+	Gata2	0.660176	1.000000	0.905137
Gfi1	+	Gata2	0.175223	0.369003	0.088649
Pu1	+	Gata2	0.729418	0.999928	1.000000
Scl	-	Gata2	-0.176258	0.590720	-0.142753
cJun	+	Gata2	0.260394	0.578135	0.206402
Cebpa	-	Gfi1	-0.104771	0.226572	-0.032546
EgrNab	+	Gfi1	0.194897	0.571215	0.152637
Eklf	-	Gfi1	-0.094304	0.198147	-0.025620
Fli1	+	Gfi1	0.063656	0.118463	0.010339
Fog1	-	Gfi1	-0.090056	0.191600	-0.023657
Gata1	+	Gfi1	0.190076	0.775459	0.202088
Gata2	+	Gfi1	0.263464	0.997968	0.360489
Gfi1	-	Gfi1	-0.060777	0.120387	-0.010032
Pu1	+	Gfi1	0.455970	0.957787	0.598769
Scl	-	Gfi1	-0.009290	0.093421	-0.001190
cJun	+	Gfi1	0.483128	0.957998	0.634572
Cebpa	+	Pu1	0.009997	0.148780	0.002039
EgrNab	+	Pu1	0.022837	0.500887	0.015683
Eklf	-	Pu1	-0.004820	0.074365	-0.000491
Fli1	-	Pu1	-0.080485	0.780504	-0.086129
Fog1	-	Pu1	-0.013836	0.101399	-0.001924
Gata1	+	Pu1	0.031687	0.237609	0.010323
Gata2	+	Pu1	0.084755	0.989813	0.115020
Gfi1	-	Pu1	-0.038033	0.225492	-0.011758
Pu1	+	Pu1	0.348481	1.000000	0.477786
Scl	-	Pu1	-0.012539	0.099366	-0.001708
cJun	+	Pu1	0.083188	0.604694	0.068968
Cebpa	+	Scl	0.066769	0.169535	0.015520
EgrNab	-	Scl	-0.017133	0.488646	-0.011478
Eklf	+	Scl	0.363186	1.000000	0.497947
Fli1	-	Scl	-0.110783	0.223157	-0.033895
Fog1	+	Scl	0.339787	0.999997	0.465864
Gata1	+	Scl	0.290694	0.999968	0.398545
Gata2	-	Scl	-0.106553	0.227049	-0.033169
Gfi1	+	Scl	0.084022	0.169287	0.019502
Pu1	-	Scl	-0.012850	0.250289	-0.004410
Scl	+	Scl	0.366795	1.000000	0.502896
cJun	-	Scl	-0.130638	0.377155	-0.067553
Cebpa	+	cJun	0.093632	0.927002	0.119004
EgrNab	+	cJun	0.043021	0.530967	0.031319
Eklf	-	cJun	-0.004788	0.068026	-0.000447
Fli1	-	cJun	-0.089257	0.891449	-0.109093
Fog1	+	cJun	0.000370	0.065703	0.000033
Gata1	+	cJun	0.013917	0.102728	0.001960
Gata2	+	cJun	0.070671	0.862963	0.083615
Gfi1	+	cJun	0.010958	0.123832	0.001860
Pu1	+	cJun	0.179471	0.992467	0.244210
Scl	+	cJun	0.000113	0.068924	0.000011
cJun	+	cJun	0.219185	0.999392	0.300332
