Gene1	Gene2	EdgeWeight
cJun	cJun	1.0
Eklf	Scl	1.0
Fog1	Fli1	1.0
Gata2	Eklf	1.0
Cebpa	Cebpa	1.0
Eklf	Eklf	1.0
Gata2	Cebpa	1.0
Gfi1	Cebpa	1.0
Pu1	Cebpa	1.0
cJun	cJun	1.0
Pu1	cJun	1.0
cJun	Pu1	1.0
Pu1	Pu1	1.0
Gata2	Gata1	1.0
cJun	Gata1	1.0
EgrNab	Gfi1	1.0
Gata2	Gata2	1.0
Gata2	Gata2	1.0
cJun	Gata2	1.0
Cebpa	Gfi1	1.0
Gata2	Gata1	1.0
Gfi1	Gfi1	1.0
Pu1	Gfi1	1.0
Cebpa	Pu1	1.0
Eklf	Eklf	1.0
Gfi1	Pu1	1.0
Pu1	Pu1	1.0
Gata1	Gata1	1.0
cJun	cJun	1.0
Scl	Scl	1.0
EgrNab	EgrNab	1.0
Scl	Fli1	1.0
Fog1	Gata1	1.0
Scl	Scl	1.0
Scl	Eklf	1.0
Fog1	Scl	1.0
cJun	Pu1	1.0
Gata1	Fog1	1.0
Scl	Fog1	1.0
Fli1	Fog1	1.0
Gata2	Gata2	1.0
Gata1	Gata1	1.0
Gata1	Gata1	1.0
Gata1	Fog1	1.0
Pu1	Pu1	1.0
Fog1	Fog1	1.0
Gata2	Gata2	1.0
Eklf	Gata1	0.999999
Fli1	Fli1	0.9999979999999999
Gata2	Gfi1	0.9999979999999999
EgrNab	Gata1	0.999991
Pu1	EgrNab	0.9999899999999999
Gata1	Scl	0.9999899999999999
EgrNab	Cebpa	0.99998
Pu1	Gata2	0.999928
Gfi1	cJun	0.999921
EgrNab	cJun	0.999886
cJun	Gfi1	0.9998739999999999
cJun	Cebpa	0.9998309999999999
Gata2	Fli1	0.999816
Gata2	cJun	0.9994379999999999
Pu1	Scl	0.998078
Gata1	Gata2	0.997649
Pu1	Eklf	0.9971899999999999
Eklf	Fog1	0.9963120000000001
Gata1	Fli1	0.9945959999999999
cJun	EgrNab	0.993605
Gata2	Pu1	0.9898129999999999
EgrNab	Gata2	0.9896860000000001
Gata1	Eklf	0.989094
Gata1	Gfi1	0.9882049999999999
Fog1	Cebpa	0.9830450000000001
Fli1	Scl	0.9797239999999999
EgrNab	Pu1	0.9778100000000001
Scl	Gata1	0.977297
Fog1	Eklf	0.968397
Gata1	cJun	0.96486
Gata1	Pu1	0.954627
Gata2	Fog1	0.9402969999999999
Cebpa	cJun	0.927002
Pu1	Fog1	0.922199
Fog1	Pu1	0.913968
Fli1	cJun	0.8914489999999999
Pu1	Gata1	0.869519
cJun	Fog1	0.8666879999999999
Fli1	Pu1	0.8596870000000001
Gata1	Cebpa	0.829407
Scl	Pu1	0.800465
Gfi1	Gata1	0.799348
Fli1	Eklf	0.7893100000000001
Gata1	EgrNab	0.7832600000000001
Scl	Gata2	0.771633
Cebpa	Gata2	0.769366
cJun	Eklf	0.760519
Fli1	Gata2	0.717856
Fog1	Gata2	0.671801
Scl	EgrNab	0.652724
Gata2	EgrNab	0.650594
Scl	Cebpa	0.624796
Scl	cJun	0.618101
Fli1	EgrNab	0.578055
Fli1	Gata1	0.576557
Scl	Gfi1	0.570507
Fli1	Gfi1	0.547593
Eklf	Gfi1	0.545028
Eklf	Pu1	0.541975
Cebpa	Gata1	0.541519
Fog1	Gfi1	0.528126
Eklf	Fli1	0.510568
Cebpa	EgrNab	0.507143
EgrNab	Fli1	0.501801
EgrNab	Eklf	0.493141
EgrNab	Scl	0.488646
EgrNab	Fog1	0.48798500000000006
Gata2	Scl	0.482412
Eklf	cJun	0.480199
Eklf	Cebpa	0.47676999999999997
Fog1	EgrNab	0.47086400000000006
Eklf	Gata2	0.469871
Fli1	Cebpa	0.46441800000000005
Eklf	EgrNab	0.44451999999999997
Fog1	cJun	0.439141
cJun	Fli1	0.43022299999999997
cJun	Scl	0.377155
Gfi1	Gata2	0.369003
Pu1	Fli1	0.365834
Cebpa	Eklf	0.307898
Cebpa	Fli1	0.299979
Cebpa	Fog1	0.29443800000000003
Gfi1	Fli1	0.25211
Gfi1	Scl	0.189063
Gfi1	EgrNab	0.186275
Gfi1	Eklf	0.17138499999999998
Cebpa	Scl	0.169535
Gfi1	Fog1	0.09687
