Gene1	Gene2	corVal	pValue
Cebpa	Cebpa	1	0
EgrNab	EgrNab	1	0
Eklf	Eklf	1	0
Fli1	Fli1	1	0
Fog1	Fog1	1	0
Gata1	Gata1	1	0
Gata2	Gata2	1	0
Gfi1	Gfi1	1	0
Pu1	Pu1	1	0
Scl	Scl	1	0
cJun	cJun	1	0
Gfi1	Cebpa	0.596997675251472	1.38252402519172e-192
Cebpa	Gfi1	0.596997675251472	1.38252402519172e-192
EgrNab	cJun	0.374764150226624	2.04672233134515e-67
cJun	EgrNab	0.374764150226624	2.0467223313455e-67
Pu1	EgrNab	0.171249813917226	1.43306943514916e-14
EgrNab	Pu1	0.171249813917226	1.43306943514925e-14
Scl	Fog1	0.166020160727269	8.98252148988361e-14
Fog1	Scl	0.166020160727269	8.98252148988381e-14
Gata2	Gata1	0.161178252369932	4.66534841388531e-13
Gata1	Gata2	0.161178252369932	4.66534841388531e-13
Scl	Gata1	0.137522733980228	7.19255087498437e-10
Gata1	Scl	0.137522733980228	7.19255087498456e-10
Scl	Eklf	0.130970465756896	4.4752408636105e-09
Eklf	Scl	0.130970465756896	4.47524086361059e-09
Gfi1	Pu1	0.126758687645555	1.38360038487693e-08
Pu1	Gfi1	0.126758687645555	1.38360038487695e-08
Fog1	Fli1	0.119469297366135	8.96190770069003e-08
Fli1	Fog1	0.119469297366135	8.96190770069003e-08
Scl	Fli1	0.0983786332186193	1.09439217981558e-05
Fli1	Scl	0.0983786332186192	1.09439217981559e-05
Pu1	Cebpa	0.0829111191377179	0.0002125609981012
Cebpa	Pu1	0.0829111191377178	0.000212560998101204
Fog1	Eklf	0.0825481571802174	0.000226618161559068
Eklf	Fog1	0.0825481571802174	0.000226618161559068
Gata2	cJun	0.0809161993163262	0.000301286560931879
cJun	Gata2	0.0809161993163262	0.00030128656093188
Pu1	cJun	0.0734702990317926	0.00103562277018859
cJun	Pu1	0.0734702990317925	0.0010356227701886
Fli1	Gata1	0.0714699841379983	0.00141725463360671
Gata1	Fli1	0.0714699841379983	0.00141725463360671
Eklf	Gata1	0.0636388576911346	0.00450143746997835
Gata1	Eklf	0.0636388576911346	0.00450143746997836
Gata2	Fli1	0.0547198595732682	0.0146089593408272
Fli1	Gata2	0.0547198595732682	0.0146089593408273
Gata2	Gfi1	0.0443998458486816	0.047604568296244
Gfi1	Gata2	0.0443998458486816	0.047604568296244
Gata1	Fog1	0.0414685037128701	0.0643158272386371
Fog1	Gata1	0.0414685037128701	0.0643158272386372
Gata2	Eklf	0.0270148007630692	0.228249585187867
Eklf	Gata2	0.0270148007630692	0.228249585187867
Gata2	Cebpa	0.00989859885718716	0.658912525088328
Cebpa	Gata2	0.00989859885718714	0.658912525088328
Eklf	EgrNab	-0.000568795729128156	0.979764559463663
EgrNab	Eklf	-0.00056879572912817	0.979764559463663
Eklf	Fli1	-0.00615119799241301	0.783853690689875
Fli1	Eklf	-0.00615119799241303	0.783853690689874
EgrNab	Fli1	-0.00721865613140367	0.747526296846648
Fli1	EgrNab	-0.00721865613140372	0.747526296846647
Fli1	Cebpa	-0.0371727618762404	0.0972764540319734
Cebpa	Fli1	-0.0371727618762405	0.0972764540319727
Gfi1	Eklf	-0.0444030077650244	0.0475887312871132
Eklf	Gfi1	-0.0444030077650245	0.047588731287113
Scl	Gata2	-0.0451343307276298	0.0440427864178495
Gata2	Scl	-0.0451343307276298	0.0440427864178495
Fog1	EgrNab	-0.0461495139455316	0.0394919485648031
EgrNab	Fog1	-0.0461495139455317	0.0394919485648028
Eklf	Cebpa	-0.0516383627338464	0.021209947382707
Cebpa	Eklf	-0.0516383627338464	0.0212099473827068
Eklf	Pu1	-0.0556837503333739	0.0129547288833131
Pu1	Eklf	-0.0556837503333739	0.0129547288833131
Gata2	Fog1	-0.0575274865253239	0.0102456488764354
Fog1	Gata2	-0.0575274865253239	0.0102456488764353
Gfi1	Fli1	-0.0588290138124895	0.00864931331111898
Fli1	Gfi1	-0.0588290138124895	0.00864931331111897
Gfi1	Gata1	-0.0612705117327424	0.00624217816008314
Gata1	Gfi1	-0.0612705117327424	0.0062421781600831
Pu1	Fli1	-0.063346889172478	0.00468921095638149
Fli1	Pu1	-0.063346889172478	0.00468921095638146
Scl	Gfi1	-0.0658566505996297	0.00328306333699577
Gfi1	Scl	-0.0658566505996297	0.00328306333699575
Scl	EgrNab	-0.0688988401512502	0.00209773761269165
EgrNab	Scl	-0.0688988401512503	0.0020977376126916
Scl	Cebpa	-0.0726885326942256	0.00117176738177459
Cebpa	Scl	-0.0726885326942256	0.00117176738177459
Gata2	EgrNab	-0.0804258954767761	0.000327872841415071
EgrNab	Gata2	-0.0804258954767761	0.000327872841415071
Fog1	Cebpa	-0.0893698051494954	6.51808061247411e-05
Cebpa	Fog1	-0.0893698051494954	6.51808061247411e-05
Fli1	cJun	-0.0925687758584198	3.52233332541105e-05
cJun	Fli1	-0.0925687758584199	3.52233332541098e-05
Scl	Pu1	-0.10436400435693	3.06208938734301e-06
Pu1	Scl	-0.10436400435693	3.06208938734293e-06
Gfi1	Fog1	-0.104963464791163	2.68486113021488e-06
Fog1	Gfi1	-0.104963464791163	2.68486113021487e-06
Eklf	cJun	-0.115616702240307	2.30358525781758e-07
