Gene1	Gene2	EdgeWeight
Cebpa	Cebpa	1.0
EgrNab	EgrNab	1.0
Eklf	Eklf	1.0
Fli1	Fli1	1.0
Fog1	Fog1	1.0
Gata1	Gata1	1.0
Gata2	Gata2	1.0
Gfi1	Gfi1	1.0
Pu1	Pu1	1.0
Scl	Scl	1.0
cJun	cJun	1.0
Gfi1	Cebpa	0.5969976752514721
Cebpa	Gfi1	0.5969976752514721
EgrNab	cJun	0.37476415022662396
cJun	EgrNab	0.37476415022662396
Pu1	Gata1	-0.330311668549326
Gata1	Pu1	-0.330311668549326
Gfi1	cJun	-0.19699312950946699
cJun	Gfi1	-0.19699312950946699
EgrNab	Cebpa	-0.18967827356769099
Cebpa	EgrNab	-0.18967827356769099
cJun	Fog1	-0.17201494192288
Fog1	cJun	-0.17201494192288
Pu1	EgrNab	0.17124981391722596
EgrNab	Pu1	0.17124981391722596
Fog1	Scl	0.16602016072726902
Scl	Fog1	0.16602016072726902
EgrNab	Gfi1	-0.165001705205204
Gfi1	EgrNab	-0.165001705205204
Gata2	Gata1	0.16117825236993202
Gata1	Gata2	0.16117825236993202
cJun	Scl	-0.153533219049893
Scl	cJun	-0.153533219049893
cJun	Cebpa	-0.148487074192287
Cebpa	cJun	-0.148487074192287
Gata1	cJun	-0.144458637661821
cJun	Gata1	-0.144458637661821
Gata1	Scl	0.137522733980228
Scl	Gata1	0.137522733980228
Pu1	Gata2	-0.13717723856609199
Gata2	Pu1	-0.13717723856609199
Eklf	Scl	0.130970465756896
Scl	Eklf	0.130970465756896
Fog1	Pu1	-0.12752622624118698
Pu1	Fog1	-0.12752622624118698
Gfi1	Pu1	0.12675868764555498
Pu1	Gfi1	0.12675868764555498
Gata1	Cebpa	-0.125329215879029
Cebpa	Gata1	-0.125329215879029
EgrNab	Gata1	-0.12194630272744302
Gata1	EgrNab	-0.12194630272744302
Fog1	Fli1	0.11946929736613499
Fli1	Fog1	0.11946929736613499
cJun	Eklf	-0.115616702240307
Eklf	cJun	-0.115616702240307
Gfi1	Fog1	-0.104963464791163
Fog1	Gfi1	-0.104963464791163
Scl	Pu1	-0.10436400435693
Pu1	Scl	-0.10436400435693
Scl	Fli1	0.0983786332186193
Fli1	Scl	0.0983786332186192
cJun	Fli1	-0.0925687758584199
Fli1	cJun	-0.0925687758584198
Cebpa	Fog1	-0.0893698051494954
Fog1	Cebpa	-0.0893698051494954
Pu1	Cebpa	0.0829111191377179
Cebpa	Pu1	0.0829111191377178
Fog1	Eklf	0.0825481571802174
Eklf	Fog1	0.0825481571802174
Gata2	cJun	0.0809161993163262
cJun	Gata2	0.0809161993163262
EgrNab	Gata2	-0.0804258954767761
Gata2	EgrNab	-0.0804258954767761
Pu1	cJun	0.0734702990317926
cJun	Pu1	0.0734702990317925
Cebpa	Scl	-0.0726885326942256
Scl	Cebpa	-0.0726885326942256
Gata1	Fli1	0.0714699841379983
Fli1	Gata1	0.0714699841379983
EgrNab	Scl	-0.0688988401512503
Scl	EgrNab	-0.0688988401512502
Gfi1	Scl	-0.0658566505996297
Scl	Gfi1	-0.0658566505996297
Gata1	Eklf	0.0636388576911346
Eklf	Gata1	0.0636388576911346
Fli1	Pu1	-0.063346889172478
Pu1	Fli1	-0.063346889172478
Gata1	Gfi1	-0.0612705117327424
Gfi1	Gata1	-0.0612705117327424
Fli1	Gfi1	-0.0588290138124895
Gfi1	Fli1	-0.0588290138124895
Gata2	Fli1	0
Fli1	Gata2	0
Gata2	Gfi1	0
Gfi1	Gata2	0
Gata1	Fog1	0
Fog1	Gata1	0
Gata2	Eklf	0
Eklf	Gata2	0
Gata2	Cebpa	0
Cebpa	Gata2	0
Eklf	EgrNab	0
EgrNab	Eklf	0
Eklf	Fli1	0
Fli1	Eklf	0
EgrNab	Fli1	0
Fli1	EgrNab	0
Fli1	Cebpa	0
Cebpa	Fli1	0
Gfi1	Eklf	0
Eklf	Gfi1	0
Scl	Gata2	0
Gata2	Scl	0
Fog1	EgrNab	0
EgrNab	Fog1	0
Eklf	Cebpa	0
Cebpa	Eklf	0
Eklf	Pu1	0
Pu1	Eklf	0
Gata2	Fog1	0
Fog1	Gata2	0
