Gene1	Gene2	EdgeWeight
Gfi1	Scl	1.24587041721626
Cebpa	Scl	1.1909753021020202
Cebpa	Eklf	1.10117867944643
Gata2	Eklf	1.09372727531081
Fog1	Pu1	1.0
Fog1	cJun	1.0
Cebpa	Fog1	1.0
Gata1	Scl	0.976745888848667
Cebpa	Fli1	0.9644008806074059
Gfi1	Fog1	0.924929632088248
Gfi1	Eklf	0.907387099902874
Gfi1	Fli1	0.886429653300807
Pu1	Scl	0.8420201854547049
cJun	Scl	0.841332731787373
Pu1	Eklf	0.8278005015491191
EgrNab	Fli1	0.809672827440646
cJun	Fli1	0.789480162441034
Gata1	Fog1	0.7875386021683749
Scl	Eklf	0.7836080661491128
EgrNab	Gata1	0.7819067612188859
cJun	Fog1	0.7496243994304208
Gata2	Fog1	0.7305677066743811
Fog1	Scl	0.715540270377491
Gata2	Scl	0.7048781767251059
Gata1	Eklf	0.6881487239597089
Pu1	Fog1	0.6854924768304661
Pu1	Fli1	0.675073142843363
EgrNab	Fog1	0.6749531172141651
Gata2	Fli1	0.652801389924909
Gata1	Fli1	0.647270365754977
Scl	Gata2	0.636174013264316
Eklf	cJun	0.629832039925438
cJun	Eklf	0.627728938035652
EgrNab	Eklf	0.619573846694224
Fli1	Fog1	0.5985270683785179
cJun	EgrNab	0.591972406919424
Gata2	EgrNab	0.587852337671843
Fli1	Eklf	0.5816000345276711
Fli1	Fli1	0.565700209257337
Fli1	Scl	0.5554779992114351
Cebpa	EgrNab	0.547157255045059
Fog1	Fog1	0.540336026344187
Fog1	Fli1	0.527384554001981
EgrNab	Scl	0.519915519969421
EgrNab	cJun	0.488981064344495
Eklf	Scl	0.48376118524552003
Pu1	EgrNab	0.48188735348517797
Gata1	EgrNab	0.47662889326563596
Fog1	Gata2	0.46981163353655897
Eklf	Fog1	0.462879098159982
Eklf	Gata2	0.45757260351433204
Gfi1	EgrNab	0.45418742369642295
Scl	Scl	0.4231441672803479
Gfi1	Gata1	0.416670291208503
Scl	Fli1	0.40948960227509995
Fog1	Eklf	0.40916208558551603
Scl	Fog1	0.3677223725481649
Eklf	Eklf	0.353858224849945
Eklf	Fli1	0.352708438189878
cJun	Gata1	0.342240757559046
Fli1	Gata2	0.340624443481283
EgrNab	EgrNab	0.339496536906184
Gfi1	cJun	0.31458103162668
Scl	EgrNab	0.28537576328299
EgrNab	Gata2	0.282281277807982
Gata1	Gata1	0.27588035655186305
Gfi1	Pu1	0.27351799526719195
Pu1	Gata1	0.273461960558741
Fli1	Cebpa	0.26852607507169696
Fog1	Gfi1	0.25219123701683
Gata2	Gata2	0.24371653336764001
Cebpa	Pu1	0.23814264306295999
EgrNab	Gfi1	0.23339346543768
Cebpa	Gata1	0.20127444842608103
Fog1	EgrNab	0.198276073566692
cJun	cJun	0.195105672622585
Gata1	cJun	0.194895409879871
Pu1	cJun	0.19260991238606895
Fli1	cJun	0.19209096731331
Cebpa	cJun	0.18764585780420803
Gata2	cJun	0.16680748534736098
Pu1	Pu1	0.15719195629093
cJun	Pu1	0.141307607999178
Scl	Cebpa	0.13339631318092698
Fli1	Gfi1	0.11936583046723499
Eklf	Pu1	0.117526049585499
Eklf	EgrNab	0.115748526488694
Scl	Gfi1	0.10054151783445599
Eklf	Gfi1	0.0918008066779613
Scl	Gata1	0.0848007893091906
Gata2	Cebpa	0.08340629946167799
Gata2	Pu1	0.0805674468264986
Gfi1	Gfi1	0.0749896277311121
Gata1	Pu1	0.0637305883599889
cJun	Gfi1	0.0541794764963995
Gata1	Cebpa	0.0448710179869331
Cebpa	Gfi1	0.0447902358514596
Gata1	Gfi1	0.0440709159562376
Pu1	Cebpa	0.0422982725812713
Gata2	Gfi1	0.0406104651808663
Cebpa	Cebpa	0.0399111752650482
Pu1	Gfi1	0.0368246715433437
EgrNab	Pu1	0.0320670582555216
cJun	Cebpa	0.0209293426560838
Fog1	Cebpa	0.0144706136601633
Gata2	Gata1	0.0143802808533718
EgrNab	Cebpa	0.0122609695273445
Fog1	Gata1	0.007908164102168729
Scl	cJun	0.00644084972066514
Eklf	Gata1	0.00269602881357832
Gfi1	Cebpa	0.0023738160492639397
Fli1	EgrNab	0.00216991383361227
Eklf	Cebpa	0.000475786218021926
Fli1	Gata1	0.000398762630631369
Gata1	Gata2	0.0
Gfi1	Gata2	0.0
Cebpa	Gata2	0.0
Fli1	Pu1	0.0
cJun	Gata2	0.0
Pu1	Gata2	0.0
Cebpa	Gata2	0.0
Scl	Pu1	0.0
Gfi1	Gata2	0.0
Cebpa	Gata2	0.0
Gata1	Gata2	0.0
Gfi1	Gata2	0.0
Pu1	Gata2	0.0
cJun	Gata2	0.0
Fli1	Pu1	0.0
Scl	Pu1	0.0
Gata1	Gata2	0.0
Pu1	Gata2	0.0
Fli1	Pu1	0.0
cJun	Gata2	0.0
Fli1	Pu1	0.0
Scl	Pu1	0.0
Cebpa	Gata2	0.0
Gata1	Gata2	0.0
Gfi1	Gata2	0.0
Pu1	Gata2	0.0
cJun	Gata2	0.0
Scl	Pu1	0.0
