Gene1	Gene2	EdgeWeight
cJun	Gata1	6.0
Fog1	Cebpa	6.0
Gata2	cJun	6.0
Eklf	cJun	1.5
Fog1	Gfi1	1.5
EgrNab	Eklf	1.5
Fog1	cJun	0.66666
EgrNab	Scl	0.66666
Eklf	EgrNab	0.66666
Eklf	Gfi1	0.375
Fog1	EgrNab	0.375
cJun	Gata2	0.375
Scl	cJun	0.24
EgrNab	Gfi1	0.24
Fli1	Cebpa	0.24
Scl	Gfi1	0.16666
EgrNab	Gata2	0.16666
Gfi1	Pu1	0.16666
Gata2	Pu1	0.12244000000000001
Pu1	Scl	0.12244000000000001
Gata1	Cebpa	0.12244000000000001
Eklf	Pu1	0.09375
cJun	Eklf	0.09375
Fog1	Pu1	0.07407000000000001
Pu1	Fog1	0.07407000000000001
Gata1	Gfi1	0.07407000000000001
EgrNab	Gata1	0.06
Gata1	EgrNab	0.06
Fli1	EgrNab	0.04958
Fli1	cJun	0.04958
Pu1	Fli1	0.04958
Gata2	EgrNab	0.04166
Pu1	Gata1	0.04166
Pu1	Gfi1	0.0355
Scl	Cebpa	0.0355
Fli1	Pu1	0.030610000000000002
cJun	Cebpa	0.030610000000000002
Eklf	Cebpa	0.026660000000000003
EgrNab	Fog1	0.026660000000000003
cJun	Pu1	0.02343
Cebpa	EgrNab	0.02343
Eklf	Gata2	0.02076
Gata1	cJun	0.02076
cJun	Scl	0.02076
cJun	Fli1	0.01851
Fli1	Gfi1	0.01851
Gata2	Cebpa	0.01662
Pu1	Eklf	0.01662
Pu1	Gata2	0.015
Scl	EgrNab	0.0136
Cebpa	Scl	0.0136
Gata2	Gfi1	0.01239
Cebpa	Eklf	0.01239
Scl	Pu1	0.010409999999999999
Gata1	Pu1	0.008870000000000001
Cebpa	Pu1	0.00823
Pu1	Cebpa	0.00823
Pu1	cJun	0.00765
Gfi1	EgrNab	0.00713
Gata1	Eklf	0.00713
Gfi1	cJun	0.006659999999999999
Cebpa	Gfi1	0.006659999999999999
Gfi1	Gata2	0.006659999999999999
Gfi1	Scl	0.00585
Scl	Fog1	0.0055
EgrNab	Cebpa	0.00519
Gata1	Scl	0.00519
Fli1	Gata2	0.00489
Gata2	Fog1	0.00489
EgrNab	cJun	0.00462
Scl	Eklf	0.00462
Cebpa	cJun	0.004379999999999999
Gfi1	Cebpa	0.00415
Gfi1	Fog1	0.00415
Cebpa	Gata1	0.00375
cJun	Fog1	0.0035600000000000002
cJun	Gfi1	0.0034
Gata1	Fog1	0.00324
Cebpa	Gata2	0.00309
EgrNab	Pu1	0.00309
Pu1	EgrNab	0.00296
Gata1	Gata2	0.00283
cJun	EgrNab	0.00283
Scl	Gata2	0.00271
Gfi1	Eklf	0.00249
Fog1	Gata2	0.00221
Gata2	Scl	0.00221
EgrNab	Fli1	0.00213
Fli1	Fog1	0.00198
Fog1	Fli1	0.0017800000000000001
Gfi1	Gata1	0.00172
Fli1	Scl	0.00156
Cebpa	Fog1	0.00151
Gata2	Eklf	0.0014199999999999998
Gfi1	Fli1	0.00137
Fog1	Eklf	0.00133
Fli1	Eklf	0.0012900000000000001
Scl	Fli1	0.00126
Eklf	Fli1	0.00109
Gata1	Fli1	0.00106
Cebpa	Fli1	0.00103
Fog1	Scl	0.00101
Fog1	Gata1	0.0008699999999999999
Eklf	Fog1	0.00081
Scl	Gata1	0.0007700000000000001
Gata2	Fli1	0.00075
Fli1	Gata1	0.00072
Eklf	Gata1	0.00067
Eklf	Scl	0.00062
