Gene1	Gene2	EdgeWeight
Pax6	Nkx22	0.5339685874385427
Nkx22	Pax6	0.4975166332953504
Irx3	Olig2	0.4284756790805925
Olig2	Irx3	0.4143586735461352
Nkx61	Dbx2	0.40140625232402577
Dbx2	Nkx61	0.3693792967747711
Dbx2	Nkx62	0.3205769098206592
Dbx2	Dbx1	0.3187190679482778
Dbx1	Nkx62	0.24180454068247256
Pax6	Olig2	0.2332161330440021
Nkx62	Dbx1	0.23044814360623445
Nkx61	Nkx62	0.2271854310453336
Nkx61	Dbx1	0.2193445843738363
Nkx62	Dbx2	0.20629369004384776
Olig2	Pax6	0.20135827740000303
Pax6	Irx3	0.20001882435929613
Dbx1	Dbx2	0.18795525592540552
Irx3	Pax6	0.1837381166660822
Olig2	Nkx22	0.17965617803657905
Nkx62	Nkx61	0.17934706077815432
Nkx22	Olig2	0.1779546034860587
Dbx1	Nkx61	0.1700659601213911
Nkx22	Irx3	0.16896135177441124
Irx3	Nkx22	0.16756359437469442
Irx3	Dbx2	0.10150282738551096
Dbx2	Irx3	0.0987943256272704
Irx3	Nkx61	0.08703081440295543
Irx3	Dbx1	0.07782828233241015
Nkx22	Nkx61	0.07191567565070238
Irx3	Nkx62	0.06988748458516424
Olig2	Nkx61	0.06777728865934553
Dbx2	Olig2	0.0575101619474361
Pax6	Nkx61	0.0544839036126802
Olig2	Dbx1	0.05370512221235868
Nkx22	Dbx1	0.05026937233834772
Pax6	Dbx1	0.049685427188534886
Nkx61	Irx3	0.049189387101772036
Nkx22	Nkx62	0.04822829806021217
Olig2	Nkx62	0.04717050734788511
Pax6	Nkx62	0.04514682845827304
Olig2	Dbx2	0.04165903860569984
Dbx2	Pax6	0.04119013084664728
Dbx2	Nkx22	0.03959645615537703
Nkx61	Olig2	0.036900719681669185
Nkx62	Irx3	0.03516905756747946
Nkx22	Dbx2	0.03441030693797153
Dbx1	Irx3	0.03350838002363553
Nkx62	Olig2	0.03329334767151111
Dbx1	Olig2	0.032649355088730216
Nkx61	Nkx22	0.027603270269379344
Pax6	Dbx2	0.0267726287775386
Nkx61	Pax6	0.026477222672514355
Dbx1	Nkx22	0.026306742838943988
Nkx62	Nkx22	0.02530517088648338
Dbx1	Pax6	0.02509477777060786
Nkx62	Pax6	0.024624841348794814
