Gene1	Gene2	EdgeWeight
Olig2	Irx3	423.8769359415454
Irx3	Olig2	410.3056881764524
Nkx22	Pax6	369.3635276621768
Pax6	Nkx22	284.65661731729665
Pax6	Olig2	265.9174608643148
Nkx22	Irx3	227.20232946145126
Dbx2	Nkx62	226.41827379006733
Nkx61	Dbx2	222.2708625881572
Dbx2	Dbx1	215.80038219631552
Nkx22	Olig2	200.7768703830238
Pax6	Irx3	194.52885155510378
Dbx2	Nkx61	183.67690035750732
Dbx1	Nkx62	173.909811427113
Nkx61	Nkx62	164.3557724162874
Nkx62	Dbx1	160.379453796098
Nkx61	Dbx1	159.82343955744508
Olig2	Nkx22	128.78850687935773
Olig2	Pax6	124.67866270248408
Irx3	Nkx22	118.80243481009472
Irx3	Pax6	111.03552927176618
Dbx1	Dbx2	109.70507126677431
Nkx62	Dbx2	108.23715573479548
Nkx62	Nkx61	84.12721591096215
Dbx2	Irx3	79.73853000184447
Nkx61	Irx3	73.50168944400373
Dbx1	Nkx61	66.76782658432884
Irx3	Dbx2	48.854380309491894
Irx3	Dbx1	45.10609414646843
Irx3	Nkx62	43.630990793376725
Dbx2	Olig2	36.69180636512403
Nkx62	Irx3	35.05021830113542
Pax6	Dbx1	29.24720499577075
Irx3	Nkx61	28.345874986152182
Nkx61	Olig2	27.987347615441518
Dbx1	Irx3	27.101445294915766
Nkx22	Dbx1	26.266104185452342
Pax6	Nkx62	25.101301834334922
Olig2	Dbx1	24.37732112244986
Olig2	Dbx2	22.543549484028038
Nkx22	Dbx2	22.014617822799988
Olig2	Nkx62	21.34605116165615
Olig2	Nkx61	21.01048925204492
Nkx62	Olig2	20.448437863336338
Dbx2	Pax6	20.320766809828235
Nkx22	Nkx62	20.23779857716446
Dbx1	Olig2	19.872388732307147
Pax6	Dbx2	19.374362793953107
Nkx22	Nkx61	17.479268626758238
Pax6	Nkx61	15.592424282246402
Nkx61	Pax6	13.224946830058016
Dbx2	Nkx22	11.598787769965194
Nkx61	Nkx22	11.457251697648111
Dbx1	Nkx22	10.280637286193194
Dbx1	Pax6	9.693070981849713
Nkx62	Pax6	9.683495741837175
Nkx62	Nkx22	9.415764239444394
