Parent	Type	Child	Weight	Probability	Score
Dbx1	+	Dbx1	0.252203	0.938291	0.411574
Dbx2	+	Dbx1	0.416556	0.999977	0.724475
Irx3	+	Dbx1	0.307900	0.993381	0.531968
Nkx22	+	Dbx1	0.110683	0.378332	0.072830
Nkx61	+	Dbx1	0.239436	0.643100	0.267810
Nkx62	-	Dbx1	-0.085431	0.230750	-0.034286
Olig2	+	Dbx1	0.191562	0.494623	0.164795
Pax6	+	Dbx1	0.397836	0.999957	0.691903
Dbx1	+	Dbx2	0.202206	0.701942	0.246862
Dbx2	+	Dbx2	0.157112	0.471025	0.128711
Irx3	+	Dbx2	0.419904	0.999976	0.730296
Nkx22	-	Dbx2	-0.047824	0.301542	-0.025082
Nkx61	-	Dbx2	-0.117730	0.260753	-0.053392
Nkx62	-	Dbx2	-0.019126	0.172096	-0.005725
Olig2	-	Dbx2	-0.011560	0.273632	-0.005501
Pax6	+	Dbx2	0.525119	1.000000	0.913308
Dbx1	+	Irx3	0.239985	0.756534	0.315771
Dbx2	+	Irx3	0.392030	0.996133	0.679198
Irx3	+	Irx3	0.402591	0.998609	0.699229
Nkx22	-	Irx3	-0.057165	0.316646	-0.031482
Nkx61	+	Irx3	0.054238	0.191277	0.018044
Nkx62	-	Irx3	-0.077009	0.201332	-0.026966
Olig2	+	Irx3	0.372053	0.751972	0.486594
Pax6	+	Irx3	0.455324	0.999898	0.791837
Dbx1	-	Nkx22	-0.009432	0.094229	-0.001546
Dbx2	+	Nkx22	0.005464	0.089090	0.000847
Irx3	+	Nkx22	0.006146	0.084226	0.000900
Nkx22	+	Nkx22	0.341291	0.999718	0.593420
Nkx61	+	Nkx22	0.176691	0.951019	0.292257
Nkx62	+	Nkx22	0.045942	0.239550	0.019141
Olig2	+	Nkx22	0.107698	0.563265	0.105507
Pax6	-	Nkx22	-0.003031	0.087243	-0.000460
Dbx1	-	Nkx61	-0.011619	0.125926	-0.002545
Dbx2	-	Nkx61	-0.093063	0.395061	-0.063944
Irx3	-	Nkx61	-0.014027	0.116167	-0.002834
Nkx22	+	Nkx61	0.334439	0.968185	0.563164
Nkx61	+	Nkx61	0.316400	0.997280	0.548799
Nkx62	+	Nkx61	0.209341	0.843539	0.307128
Olig2	+	Nkx61	0.449830	0.999691	0.782120
Pax6	+	Nkx61	0.139123	0.807788	0.195459
Dbx1	-	Nkx62	-0.018696	0.144460	-0.004697
Dbx2	-	Nkx62	-0.173849	0.749870	-0.226734
Irx3	+	Nkx62	0.123408	0.512733	0.110051
Nkx22	-	Nkx62	-0.205481	0.649729	-0.232201
Nkx61	-	Nkx62	-0.059088	0.249601	-0.025651
Nkx62	+	Nkx62	0.146459	0.454397	0.115747
Olig2	+	Nkx62	0.574965	0.999998	1.000000
Pax6	+	Nkx62	0.176520	0.883689	0.271302
Dbx1	+	Olig2	0.037520	0.223078	0.014557
Dbx2	+	Olig2	0.003017	0.103856	0.000545
Irx3	-	Olig2	-0.022408	0.136559	-0.005322
Nkx22	+	Olig2	0.091592	0.515678	0.082148
Nkx61	+	Olig2	0.361887	1.000000	0.629409
Nkx62	+	Olig2	0.003136	0.176627	0.000963
Olig2	+	Olig2	0.009852	0.308565	0.005287
Pax6	+	Olig2	0.009995	0.110829	0.001927
Dbx1	+	Pax6	0.187298	0.803140	0.261627
Dbx2	+	Pax6	0.353463	0.999869	0.614677
Irx3	+	Pax6	0.314633	0.999229	0.546801
Nkx22	-	Pax6	-0.013533	0.325553	-0.007663
Nkx61	+	Pax6	0.257422	0.800120	0.358228
Nkx62	+	Pax6	0.009133	0.179338	0.002849
Olig2	+	Pax6	0.324788	0.859268	0.485387
Pax6	+	Pax6	0.450435	1.000000	0.783415
