Gene1	Gene2	EdgeWeight
Nkx22	Dbx1	1.0
Olig2	Irx3	1.0
Irx3	Nkx61	1.0
Nkx61	Nkx61	1.0
Pax6	Nkx61	1.0
Olig2	Olig2	1.0
Irx3	Pax6	1.0
Dbx1	Dbx2	1.0
Pax6	Pax6	1.0
Dbx1	Dbx1	1.0
Irx3	Dbx1	1.0
Dbx1	Dbx2	1.0
Dbx2	Dbx2	1.0
Dbx1	Irx3	1.0
Nkx22	Nkx22	1.0
Dbx1	Nkx22	1.0
Nkx61	Nkx22	1.0
Nkx22	Nkx61	1.0
Nkx61	Nkx61	1.0
Dbx1	Nkx62	1.0
Dbx1	Olig2	1.0
Dbx1	Pax6	1.0
Nkx62	Pax6	1.0
Pax6	Dbx2	1.0
Nkx61	Olig2	1.0
Pax6	Pax6	1.0
Pax6	Dbx2	1.0
Nkx22	Nkx22	1.0
Nkx22	Nkx22	1.0
Nkx61	Pax6	1.0
Pax6	Irx3	1.0
Nkx61	Pax6	1.0
Nkx22	Dbx2	1.0
Dbx1	Irx3	1.0
Nkx22	Irx3	1.0
Nkx22	Nkx22	1.0
Olig2	Nkx61	1.0
Pax6	Nkx61	1.0
Dbx1	Nkx62	1.0
Nkx22	Nkx62	1.0
Nkx61	Olig2	1.0
Olig2	Olig2	1.0
Pax6	Olig2	1.0
Nkx61	Nkx61	1.0
Irx3	Pax6	1.0
Pax6	Pax6	1.0
Nkx61	Irx3	1.0
Irx3	Irx3	1.0
Olig2	Pax6	1.0
Irx3	Nkx62	0.999999
Olig2	Nkx62	0.9999979999999999
Nkx62	Dbx2	0.9999959999999999
Dbx2	Dbx1	0.999994
Olig2	Nkx22	0.999991
Irx3	Dbx2	0.999976
Nkx62	Nkx62	0.999967
Dbx2	Nkx22	0.9999600000000001
Pax6	Dbx1	0.999957
Olig2	Dbx1	0.9999370000000001
Nkx62	Irx3	0.9999110000000001
Dbx2	Nkx62	0.999872
Dbx2	Pax6	0.999869
Dbx2	Olig2	0.999864
Nkx62	Dbx1	0.999749
Irx3	Nkx22	0.999712
Olig2	Dbx2	0.9996440000000001
Nkx62	Nkx22	0.999582
Dbx2	Irx3	0.9995639999999999
Nkx22	Olig2	0.9994770000000001
Pax6	Nkx62	0.9985370000000001
Dbx1	Nkx61	0.996792
Nkx22	Pax6	0.9928549999999999
Nkx61	Dbx2	0.980806
Nkx61	Dbx1	0.929575
Nkx62	Olig2	0.926745
Irx3	Olig2	0.902919
Nkx62	Nkx61	0.8435389999999999
Nkx61	Nkx62	0.795048
Dbx2	Nkx61	0.664797
Pax6	Nkx22	0.123879
