SourceGENES,TargetGENES,Interaction,Edges
Dbx1,Olig2,1,activation
Dbx1,Irx3,0.950337278910724,activation
Dbx1,Nkx62,0.869290414148808,activation
Dbx1,Nkx61,0.850151989176532,repression
Dbx1,Nkx22,0.822673163595206,repression
Pax6,Dbx1,0.793693431728313,activation
Dbx1,Dbx1,0.754202838133459,activation
Dbx1,Pax6,0.741993454991871,activation
Dbx1,Dbx2,0.739248583701648,activation
Nkx62,Irx3,0.715015001344986,activation
Nkx62,Olig2,0.695122332572962,activation
Nkx62,Nkx22,0.666698330191595,repression
Nkx62,Nkx61,0.650714490080187,repression
Pax6,Nkx62,0.631297216073236,activation
Pax6,Nkx22,0.6260304607867,repression
Nkx62,Nkx62,0.605662061862392,activation
Nkx62,Dbx2,0.602221474468955,activation
Nkx62,Pax6,0.596205042912537,activation
Olig2,Dbx1,0.571354410393592,activation
Pax6,Nkx61,0.544624241937777,repression
Pax6,Olig2,0.539741463687405,activation
Nkx62,Dbx1,0.503735645875777,activation
Pax6,Dbx2,0.503656954596414,activation
Olig2,Nkx62,0.491437405318308,activation
Pax6,Irx3,0.462326512932981,activation
Pax6,Pax6,0.458748392611179,activation
Nkx22,Irx3,0.451657244913176,repression
Olig2,Nkx22,0.446404636273357,repression
Nkx22,Olig2,0.427638499539385,repression
Nkx22,Pax6,0.394400746775169,repression
Olig2,Olig2,0.383447893652634,activation
Olig2,Pax6,0.35634101228811,activation
Irx3,Dbx1,0.355508216110063,activation
Olig2,Irx3,0.352259072358367,activation
Nkx22,Nkx61,0.350853756926965,activation
Olig2,Nkx61,0.328890413509864,repression
Olig2,Dbx2,0.327414793344309,activation
Dbx2,Irx3,0.307670938504502,activation
Nkx22,Dbx2,0.30483002228275,repression
Irx3,Nkx62,0.298256291992875,activation
Nkx22,Nkx22,0.296061396795497,activation
Dbx2,Olig2,0.269026158509574,activation
Irx3,Nkx22,0.267891987664814,repression
Dbx2,Pax6,0.253274602939839,activation
Dbx2,Nkx61,0.244904487180949,repression
Irx3,Olig2,0.231255468188772,activation
Irx3,Pax6,0.215627604480676,activation
Nkx22,Nkx62,0.212675682790102,repression
Irx3,Dbx2,0.205977967997784,activation
Irx3,Nkx61,0.203458688319061,repression
Irx3,Irx3,0.199838933865144,activation
Nkx22,Dbx1,0.192645895131119,repression
Dbx2,Dbx2,0.172329893866659,activation
Dbx2,Nkx22,0.165608304286682,repression
Dbx2,Dbx1,0.0972510774777958,activation
Dbx2,Nkx62,0.0499445624021169,activation
Nkx61,Nkx62,0.0346487173310912,repression
Nkx61,Olig2,0.0342146476330479,repression
Nkx61,Nkx61,0.0288199906493471,activation
Nkx61,Dbx1,0.0239881448647264,repression
Nkx61,Irx3,0.019202391578943,repression
Nkx61,Dbx2,0.0115227176014331,repression
Nkx61,Nkx22,0.00702185333410854,activation
Nkx61,Pax6,0.00274026090418754,repression
