Gene1	Gene2	EdgeWeight
Nkx22	Dbx2	1.38032000704613
Olig2	Pax6	1.0082706713206
Nkx62	Irx3	1.0
Nkx61	Olig2	1.0
Olig2	Nkx22	1.0
Nkx61	Olig2	1.0
Olig2	Dbx1	1.0
Nkx61	Irx3	0.984934926071173
Nkx61	Dbx2	0.955976330982607
Irx3	Dbx1	0.9503372789107241
Nkx62	Dbx1	0.8692904141488079
Nkx61	Dbx1	0.850151989176532
Nkx22	Dbx1	0.822673163595206
Pax6	Nkx22	0.8157836058357779
Dbx1	Pax6	0.793693431728313
Dbx1	Dbx1	0.7542028381334591
Nkx61	Pax6	0.7469027628908008
Pax6	Dbx1	0.741993454991871
Dbx2	Dbx1	0.7392485837016479
Nkx22	Irx3	0.7380205397263059
Pax6	Olig2	0.720572326435864
Pax6	Nkx61	0.7160312239592891
Irx3	Nkx62	0.715015001344986
Dbx1	Irx3	0.6977827503743019
Olig2	Nkx62	0.6951223325729621
Irx3	Dbx2	0.690756095097218
Nkx22	Nkx62	0.666698330191595
Pax6	Irx3	0.6633688057088111
Dbx1	Dbx2	0.6536803068839611
Nkx61	Nkx62	0.650714490080187
Nkx62	Dbx2	0.6401868381857261
Nkx62	Pax6	0.631297216073236
Nkx22	Pax6	0.6310041096259971
Nkx61	Nkx22	0.628403027546871
Nkx62	Nkx22	0.6213195316730981
Irx3	Nkx22	0.6122380982823089
Nkx62	Nkx62	0.605662061862392
Irx3	Irx3	0.604014191271046
Dbx2	Nkx62	0.6022214744689549
Pax6	Nkx62	0.596205042912537
Dbx1	Nkx61	0.5795203750846
Dbx2	Nkx61	0.5776465375635129
Olig2	Irx3	0.574252255501708
Dbx2	Irx3	0.571440340067301
Dbx1	Olig2	0.571354410393592
Nkx62	Olig2	0.56593636270128
Pax6	Dbx2	0.565467058423927
Nkx22	Nkx61	0.559441904738423
Dbx2	Pax6	0.541038512194111
Nkx62	Nkx61	0.5403255344787089
Dbx2	Olig2	0.536437957173923
Nkx22	Nkx22	0.531067332020519
Dbx1	Nkx62	0.511207979668816
Olig2	Dbx2	0.5033032757999579
Irx3	Pax6	0.49448935444670294
Irx3	Olig2	0.459157115231831
Pax6	Pax6	0.458748392611179
Nkx61	Nkx61	0.45672460511200896
Olig2	Nkx61	0.4542276989930129
Nkx22	Olig2	0.446404636273357
Irx3	Nkx61	0.4388921346812079
Dbx1	Nkx22	0.43648102128423794
Dbx2	Nkx22	0.388783150114719
Dbx2	Dbx2	0.385185104931752
Olig2	Olig2	0.38344789365263393
