Regulator	Target	SINGE_Score
Nkx22	Dbx2	6
Nkx22	Irx3	0.66666
Nkx61	Dbx2	0.375
Nkx22	Pax6	0.24
Nkx61	Nkx62	0.12244
Nkx22	Nkx61	0.07407
Nkx22	Nkx62	0.04958
Olig2	Nkx61	0.04166
Olig2	Irx3	0.0355
Dbx2	Nkx61	0.03061
Nkx22	Dbx1	0.02666
Nkx61	Irx3	0.02076
Dbx1	Pax6	0.01851
Irx3	Dbx2	0.01662
Nkx62	Irx3	0.015
Nkx61	Dbx1	0.0136
Dbx2	Irx3	0.01239
Pax6	Dbx2	0.01134
Pax6	Nkx62	0.01041
Irx3	Nkx61	0.0096
Nkx61	Pax6	0.00823
Nkx62	Pax6	0.00765
Irx3	Pax6	0.00713
Pax6	Dbx1	0.00666
Dbx1	Irx3	0.00624
Pax6	Irx3	0.00585
Nkx62	Olig2	0.0055
Nkx62	Nkx61	0.00519
Nkx22	Olig2	0.00462
Irx3	Olig2	0.00438
Dbx1	Dbx2	0.00394
Irx3	Nkx62	0.00375
Pax6	Olig2	0.00356
Dbx2	Dbx1	0.0034
Olig2	Dbx1	0.00324
Dbx2	Olig2	0.00309
Dbx1	Nkx61	0.00296
Dbx2	Pax6	0.00283
Dbx2	Nkx22	0.00271
Dbx2	Nkx62	0.0026
Nkx62	Dbx2	0.00249
Irx3	Dbx1	0.0024
Nkx61	Nkx22	0.0023
Dbx1	Nkx62	0.00221
Pax6	Nkx22	0.00213
Irx3	Nkx22	0.00205
Pax6	Nkx61	0.00198
