Gene1	Gene2	EdgeWeight
Nkx22	Dbx2	6.0
Dbx2	Nkx61	6.0
Dbx1	Irx3	6.0
Nkx22	Dbx2	6.0
Pax6	Nkx61	1.5
Nkx22	Irx3	1.5
Dbx2	Pax6	1.5
Nkx22	Nkx62	0.66666
Pax6	Irx3	0.66666
Dbx1	Olig2	0.66666
Nkx22	Nkx61	0.375
Nkx61	Dbx2	0.375
Nkx61	Olig2	0.375
Dbx2	Olig2	0.375
Olig2	Pax6	0.24
Irx3	Nkx61	0.24
Olig2	Irx3	0.24
Nkx22	Pax6	0.24
Nkx62	Olig2	0.16666
Dbx2	Dbx1	0.16666
Nkx62	Nkx22	0.12244000000000001
Nkx61	Nkx62	0.12244000000000001
Dbx2	Irx3	0.12244000000000001
Dbx2	Nkx62	0.07407000000000001
Nkx61	Irx3	0.07407000000000001
Nkx61	Pax6	0.07407000000000001
Dbx1	Nkx22	0.06
Dbx1	Nkx61	0.04958
Dbx1	Nkx61	0.04958
Olig2	Nkx61	0.04166
Dbx2	Nkx22	0.04166
Nkx62	Dbx1	0.04166
Nkx62	Irx3	0.0355
Pax6	Dbx1	0.0355
Olig2	Dbx1	0.030610000000000002
Olig2	Dbx1	0.030610000000000002
Dbx1	Pax6	0.026660000000000003
Nkx22	Dbx1	0.026660000000000003
Nkx22	Olig2	0.02343
Nkx62	Pax6	0.02076
Nkx61	Nkx22	0.01851
Irx3	Dbx2	0.01662
Pax6	Olig2	0.01662
Olig2	Nkx22	0.015
Nkx62	Nkx61	0.015
Pax6	Nkx62	0.0136
Nkx61	Dbx1	0.0136
Pax6	Dbx2	0.011340000000000001
Olig2	Nkx62	0.011340000000000001
Dbx1	Dbx2	0.010409999999999999
Olig2	Dbx2	0.010409999999999999
Dbx1	Nkx62	0.0096
Irx3	Pax6	0.00713
Irx3	Dbx1	0.00624
Irx3	Nkx62	0.00585
Irx3	Nkx22	0.0055
Pax6	Nkx22	0.00519
Irx3	Olig2	0.004379999999999999
Nkx62	Dbx2	0.00394
