Gene1	Gene2	EdgeWeight
Fgf8	Pax6	0.6053467064611676
Pax6	Fgf8	0.5868275424825412
Coup	Sp8	0.5367721515996227
Sp8	Coup	0.5040644282889797
Coup	Emx2	0.4525219361720319
Sp8	Emx2	0.3256681237628646
Emx2	Coup	0.32393474653111204
Coup	Fgf8	0.24438416814034106
Emx2	Sp8	0.2372130288975563
Coup	Pax6	0.2004437703433264
Fgf8	Sp8	0.16525757512038114
Sp8	Pax6	0.1643714094040462
Sp8	Fgf8	0.14523410607440712
Fgf8	Coup	0.1407405906310071
Fgf8	Emx2	0.12831748465066878
Pax6	Emx2	0.09349245541443484
Pax6	Sp8	0.060757244382440075
Pax6	Coup	0.03126023454890115
Emx2	Pax6	0.029838113791459807
Emx2	Fgf8	0.02355418330271061
