Gene1	Gene2	EdgeWeight
Fgf8	Pax6	329.61614370252505
Pax6	Fgf8	295.3958356685052
Sp8	Coup	216.6691731881077
Coup	Sp8	167.07077371625428
Emx2	Coup	148.422691788809
Sp8	Fgf8	145.57593998007954
Emx2	Sp8	143.08587248274284
Coup	Fgf8	131.7654347878547
Fgf8	Sp8	129.22371058222362
Sp8	Pax6	127.92188391369959
Coup	Pax6	122.43090000080153
Pax6	Sp8	116.61964321877927
Sp8	Emx2	109.72398924370256
Coup	Emx2	107.43120542102112
Pax6	Emx2	81.91213250860831
Emx2	Pax6	80.03107238297393
Pax6	Coup	71.5452405269567
Emx2	Fgf8	69.26278956356062
Fgf8	Coup	66.3628944961266
Fgf8	Emx2	48.93267282666797
