Parent	Type	Child	Weight	Probability	Score
Coup	+	Coup	0.011650	0.305990	0.003557
Emx2	+	Coup	0.010188	0.312828	0.003180
Fgf8	+	Coup	0.000724	0.059018	0.000043
Pax6	+	Coup	0.001616	0.058627	0.000095
Sp8	+	Coup	0.022956	0.999988	0.022904
Coup	+	Emx2	0.018759	0.363774	0.006809
Emx2	+	Emx2	0.017552	0.365997	0.006410
Fgf8	+	Emx2	0.010721	0.123165	0.001317
Pax6	+	Emx2	0.002520	0.073637	0.000185
Sp8	+	Emx2	0.012233	0.130475	0.001592
Coup	+	Fgf8	0.721306	0.999802	0.719533
Emx2	+	Fgf8	0.262648	0.591757	0.155072
Fgf8	+	Fgf8	0.629899	1.000000	0.628475
Pax6	+	Fgf8	0.517977	1.000000	0.516806
Sp8	+	Fgf8	0.277654	0.938923	0.260107
Coup	+	Pax6	0.773522	0.999982	0.771761
Emx2	+	Pax6	0.072178	0.348737	0.025114
Fgf8	+	Pax6	0.491405	1.000000	0.490294
Pax6	+	Pax6	0.680132	1.000000	0.678595
Sp8	+	Pax6	0.249412	0.053409	0.013291
Coup	+	Sp8	1.002265	1.000000	1.000000
Emx2	+	Sp8	0.307183	0.675760	0.207113
Fgf8	+	Sp8	0.133208	0.091673	0.012184
Pax6	+	Sp8	0.222511	0.940738	0.208851
Sp8	+	Sp8	0.828210	1.000000	0.826338
