Gene1	Gene2	corVal	pValue
Coup	Coup	1	0
Emx2	Emx2	1	0
Fgf8	Fgf8	1	0
Pax6	Pax6	1	0
Sp8	Sp8	1	0
Pax6	Fgf8	0.586710974593345	4.93055775419903e-185
Fgf8	Pax6	0.586710974593345	4.93055775419903e-185
Coup	Emx2	0.268694568825728	2.27585132055749e-34
Emx2	Coup	0.268694568825728	2.27585132055759e-34
Sp8	Fgf8	0.233436781842542	4.03422259544078e-26
Fgf8	Sp8	0.233436781842542	4.03422259544087e-26
Pax6	Sp8	0.131234535652557	3.947325913738e-09
Sp8	Pax6	0.131234535652557	3.94732591373806e-09
Coup	Pax6	0.00192665253561484	0.931431402637487
Pax6	Coup	0.00192665253561475	0.93143140263749
Emx2	Fgf8	-0.0356803109789951	0.110939616239858
Fgf8	Emx2	-0.0356803109789951	0.110939616239857
Pax6	Emx2	-0.0840273460844885	0.000170391895883799
Emx2	Pax6	-0.0840273460844887	0.000170391895883796
Emx2	Sp8	-0.186804914493001	3.86680762250598e-17
Sp8	Emx2	-0.186804914493001	3.86680762250593e-17
Fgf8	Coup	-0.280250647324648	2.32781694953315e-37
Coup	Fgf8	-0.280250647324648	2.32781694953285e-37
Sp8	Coup	-0.337580587498633	2.02412723842089e-54
Coup	Sp8	-0.337580587498633	2.0241272384208e-54
