Gene1	Gene2	EdgeWeight
Coup	Coup	1.0
Emx2	Emx2	1.0
Fgf8	Fgf8	1.0
Pax6	Pax6	1.0
Sp8	Sp8	1.0
Pax6	Fgf8	0.586710974593345
Fgf8	Pax6	0.586710974593345
Sp8	Coup	-0.33758058749863296
Coup	Sp8	-0.33758058749863296
Fgf8	Coup	-0.280250647324648
Coup	Fgf8	-0.280250647324648
Emx2	Coup	0.268694568825728
Coup	Emx2	0.268694568825728
Sp8	Fgf8	0.233436781842542
Fgf8	Sp8	0.233436781842542
Emx2	Sp8	-0.186804914493001
Sp8	Emx2	-0.186804914493001
Pax6	Sp8	0.131234535652557
Sp8	Pax6	0.131234535652557
Emx2	Pax6	-0.0840273460844887
Pax6	Emx2	-0.0840273460844885
Coup	Pax6	0
Pax6	Coup	0
Emx2	Fgf8	0
Fgf8	Emx2	0
