Gene1	Gene2	EdgeWeight
Sp8	Coup	1.0667388601588599
Sp8	Fgf8	1.0
Sp8	Sp8	1.0
Sp8	Pax6	0.8911867617081339
Fgf8	Pax6	0.8541778880806451
Fgf8	Emx2	0.759067956453135
Coup	Sp8	0.742997203460267
Pax6	Sp8	0.666279474817728
Pax6	Coup	0.538865132371067
Coup	Coup	0.460764410578305
Pax6	Fgf8	0.453246346156879
Pax6	Pax6	0.42396489769848206
Sp8	Emx2	0.42292647782525206
Fgf8	Fgf8	0.40329313732448296
Coup	Pax6	0.393513155386997
Emx2	Pax6	0.259666189432489
Emx2	Emx2	0.18313907575961602
Coup	Fgf8	0.135601746548105
Pax6	Emx2	0.0900150614939742
Coup	Emx2	0.0426855981459794
Fgf8	Coup	0.000188877211283318
Emx2	Sp8	0.0
Emx2	Fgf8	0.0
Emx2	Coup	0.0
Fgf8	Sp8	0.0
Emx2	Sp8	0.0
Emx2	Coup	0.0
Emx2	Fgf8	0.0
Fgf8	Sp8	0.0
