TF	target	importance
g8	g7	0.44311538227240616
g7	g8	0.4201784763981388
g1	g2	0.40478441876463683
g2	g1	0.30394240934049327
g7	g4	0.3023882252732601
g2	g3	0.2736759278114475
g1	g6	0.26876098899850387
g8	g4	0.23611805090796714
g4	g7	0.22526328618500183
g4	g6	0.22407624279179628
g4	g3	0.22256525088724738
g6	g3	0.21447797524926768
g6	g1	0.20855674580634262
g4	g8	0.20327851931346566
g6	g4	0.20017366964702396
g7	g1	0.19460952797116707
g3	g2	0.16663063457578492
g8	g6	0.1517310858541141
g7	g6	0.15164129864208442
g1	g7	0.15148987845893153
g1	g8	0.14550458284797912
g8	g2	0.14415333216910375
g6	g8	0.1406431988456405
g8	g1	0.13514817906123897
g1	g4	0.13277301913849343
g2	g6	0.123467085642916
g6	g7	0.12263569308679585
g4	g1	0.12187237178903909
g1	g3	0.11031784030826258
g6	g2	0.10370208173949827
g7	g2	0.09819772468015771
g7	g3	0.09139808092655129
g8	g3	0.08756492481722354
g4	g2	0.0825318080708184
g3	g6	0.08032329807058534
g3	g4	0.07409591804707569
g2	g8	0.06230144096563206
g2	g4	0.05445111698617966
g2	g7	0.04455677014353607
g3	g1	0.03587076603171888
g3	g8	0.028093781629143867
g3	g7	0.0129389898533286
