Gene1	Gene2	EdgeWeight
g7	g4	259.34023917811817
g1	g6	257.4889226522208
g4	g6	233.83188811798905
g2	g1	229.3421645140893
g7	g6	188.602886334414
g8	g4	187.21872284832597
g7	g8	185.4209115254145
g1	g2	178.48744061196072
g6	g1	175.35575633293075
g8	g7	170.30676690867315
g6	g4	163.07948442645696
g2	g3	158.64396052351853
g7	g1	143.5482606101487
g8	g6	131.2898792170767
g4	g7	128.69955746611905
g2	g6	118.19463796492296
g6	g3	116.47325881759843
g8	g1	116.32154340947788
g4	g3	116.22259318170288
g1	g4	111.71549749542463
g4	g1	108.36757760881666
g4	g8	99.11914336124508
g3	g2	85.62754588432733
g1	g7	72.69239049701444
g6	g8	69.69737772660609
g1	g8	69.66538897741265
g6	g2	66.59793257379268
g3	g6	63.59178571337642
g3	g4	62.49197036057512
g8	g2	56.577927499646776
g6	g7	56.399914763557426
g7	g2	53.421769466420365
g2	g7	52.32098708499799
g2	g4	50.15408569109898
g4	g2	41.28738396385212
g1	g3	39.26269790079471
g2	g8	38.087518287354605
g7	g3	33.20139010688398
g8	g3	24.1960994695014
g3	g1	21.06469752453653
g3	g8	6.009660121967052
g3	g7	4.580383279637983
