Parent	Type	Child	Weight	Probability	Score
g1	+	g1	0.646623	1.000000	0.885995
g2	+	g1	0.273216	0.998260	0.373706
g3	+	g1	0.028118	0.046664	0.001798
g4	-	g1	-0.154974	0.803303	-0.170576
g6	-	g1	-0.272225	0.999910	-0.372966
g7	+	g1	0.185571	0.854061	0.217160
g8	+	g1	0.466031	1.000000	0.638550
g1	+	g2	0.273061	0.972277	0.363773
g2	+	g2	0.612910	1.000000	0.839802
g3	+	g2	0.287899	0.999983	0.394469
g4	+	g2	0.405425	0.000000	0.000000
g6	+	g2	0.032897	0.041886	0.001888
g7	+	g2	0.252733	0.994034	0.344226
g8	+	g2	0.403924	1.000000	0.553451
g1	-	g3	-0.011415	0.064782	-0.001013
g2	+	g3	0.388242	0.999989	0.531959
g3	+	g3	0.729827	1.000000	1.000000
g4	+	g3	0.159941	0.083768	0.018358
g6	+	g3	0.367328	0.996462	0.501528
g7	+	g3	0.273014	0.922181	0.344970
g8	+	g3	0.061484	0.066082	0.005567
g1	+	g4	0.079903	0.150571	0.016485
g2	-	g4	-0.051601	0.114622	-0.008104
g3	+	g4	0.128984	0.098239	0.017362
g4	+	g4	0.527753	1.000000	0.723120
g6	+	g4	0.460502	1.000000	0.630973
g7	+	g4	0.688896	1.000000	0.943916
g8	+	g4	0.044300	0.092363	0.005606
g1	-	g6	-0.018908	0.072587	-0.001881
g2	+	g6	0.165097	0.975446	0.220659
g3	+	g6	0.162345	0.998991	0.222218
g4	-	g6	-0.001059	0.028529	-0.000041
g6	+	g6	0.506123	1.000000	0.693483
g7	+	g6	0.003818	0.019751	0.000103
g8	-	g6	-0.071881	0.167962	-0.016543
g1	-	g7	-0.024861	0.061778	-0.002104
g2	-	g7	-0.065271	0.174557	-0.015611
g3	-	g7	-0.019106	0.051356	-0.001344
g4	+	g7	0.497597	1.000000	0.681800
g6	-	g7	-0.153697	0.458678	-0.096594
g7	+	g7	0.698179	1.000000	0.956636
g8	+	g7	0.071725	0.113833	0.011187
g1	+	g8	0.584685	1.000000	0.801128
g2	+	g8	0.338743	1.000000	0.464141
g3	+	g8	0.024209	0.043036	0.001428
g4	-	g8	-0.101907	0.297382	-0.041524
g6	-	g8	-0.213299	0.977765	-0.285760
g7	+	g8	0.126121	0.313558	0.054186
g8	+	g8	0.489179	1.000000	0.670267
