Gene1	Gene2	EdgeWeight
g1	g1	1.0
g3	g2	1.0
g2	g8	1.0
g8	g8	1.0
g1	g1	1.0
g2	g1	1.0
g6	g1	1.0
g8	g1	1.0
g1	g2	1.0
g2	g2	1.0
g3	g3	1.0
g7	g7	1.0
g4	g4	1.0
g6	g6	1.0
g7	g6	1.0
g8	g6	1.0
g1	g8	1.0
g4	g8	1.0
g6	g8	1.0
g7	g8	1.0
g1	g8	1.0
g8	g8	1.0
g8	g2	1.0
g6	g6	1.0
g7	g4	1.0
g3	g3	1.0
g6	g4	1.0
g4	g4	1.0
g4	g7	1.0
g8	g1	1.0
g2	g2	1.0
g2	g3	0.9999889999999999
g3	g6	0.998991
g1	g7	0.9984700000000001
g1	g6	0.9973850000000001
g6	g3	0.9964620000000001
g7	g2	0.994034
g2	g7	0.97806
g2	g6	0.9754459999999999
g7	g3	0.9221809999999999
g6	g2	0.90404
g7	g1	0.8540610000000001
g4	g1	0.803303
g6	g7	0.783801
g8	g4	0.777
g3	g4	0.7535609999999999
g2	g4	0.657733
g4	g3	0.428785
g3	g7	0.394977
g1	g4	0.150571
g4	g2	0.125852
g8	g7	0.11383299999999999
g3	g1	0.094468
g8	g3	0.066082
g1	g3	0.064782
g4	g6	0.046748000000000005
g3	g8	0.046181
