Gene1	Gene2	corVal	pValue
g1	g1	1	0
g2	g2	1	0
g3	g3	1	0
g4	g4	1	0
g6	g6	1	0
g7	g7	1	0
g8	g8	1	0
g2	g1	0.543304284215774	1.33904492988475e-153
g1	g2	0.543304284215774	1.33904492988475e-153
g7	g4	0.45834898181245	3.38543118775529e-104
g4	g7	0.45834898181245	3.38543118775558e-104
g3	g2	0.427072133805009	2.96907804839125e-89
g2	g3	0.427072133805009	2.96907804839142e-89
g8	g6	0.406526259508399	2.92334519548181e-80
g6	g8	0.406526259508399	2.92334519548181e-80
g6	g3	0.34148647469902	1.1391841909465e-55
g3	g6	0.34148647469902	1.1391841909465e-55
g4	g3	0.297437562056674	4.88332146020866e-42
g3	g4	0.297437562056674	4.88332146020887e-42
g8	g1	0.273471094727447	1.48836769986504e-35
g1	g8	0.273471094727447	1.48836769986516e-35
g4	g6	0.152958669647221	6.50473899737082e-12
g6	g4	0.152958669647221	6.50473899737087e-12
g4	g1	0.120187764185268	7.26864123117452e-08
g1	g4	0.120187764185268	7.26864123117467e-08
g2	g8	0.0695594790674653	0.00187898306270188
g8	g2	0.0695594790674652	0.00187898306270191
g3	g7	0.0238607253931061	0.286770465517862
g7	g3	0.023860725393106	0.286770465517863
g7	g2	0.0206892455080167	0.355687540988299
g2	g7	0.0206892455080167	0.355687540988299
g8	g3	-0.012904691965777	0.564577157843106
g3	g8	-0.0129046919657771	0.564577157843105
g2	g4	-0.0141258627451178	0.528319329867219
g4	g2	-0.0141258627451179	0.528319329867217
g6	g2	-0.0506839272811528	0.0235830199025676
g2	g6	-0.0506839272811529	0.0235830199025674
g1	g3	-0.052127781580732	0.0198891106469828
g3	g1	-0.0521277815807321	0.0198891106469827
g7	g6	-0.173237676761365	6.60256509998496e-15
g6	g7	-0.173237676761365	6.60256509998482e-15
g8	g7	-0.244797289183436	1.30641571207687e-28
g7	g8	-0.244797289183436	1.3064157120768e-28
g7	g1	-0.283072896827927	4.47772715227464e-38
g1	g7	-0.283072896827928	4.47772715227432e-38
g4	g8	-0.295525127259491	1.69648457402054e-41
g8	g4	-0.295525127259491	1.69648457402044e-41
g6	g1	-0.41101762898407	3.57454929558462e-82
g1	g6	-0.41101762898407	3.57454929558462e-82
