Gene1	Gene2	EdgeWeight
g1	g1	1.0
g2	g2	1.0
g3	g3	1.0
g4	g4	1.0
g6	g6	1.0
g7	g7	1.0
g8	g8	1.0
g2	g1	0.543304284215774
g1	g2	0.543304284215774
g7	g4	0.45834898181245
g4	g7	0.45834898181245
g3	g2	0.42707213380500897
g2	g3	0.42707213380500897
g6	g1	-0.41101762898406996
g1	g6	-0.41101762898406996
g8	g6	0.406526259508399
g6	g8	0.406526259508399
g6	g3	0.34148647469902
g3	g6	0.34148647469902
g3	g4	0.29743756205667404
g4	g3	0.29743756205667404
g8	g4	-0.29552512725949104
g4	g8	-0.29552512725949104
g1	g7	-0.28307289682792797
g7	g1	-0.283072896827927
g1	g8	0.273471094727447
g8	g1	0.273471094727447
g8	g7	-0.244797289183436
g7	g8	-0.244797289183436
g6	g7	-0.17323767676136498
g7	g6	-0.17323767676136498
g4	g6	0.15295866964722102
g6	g4	0.15295866964722102
g1	g4	0.120187764185268
g4	g1	0.120187764185268
g2	g8	0.0695594790674653
g8	g2	0.0695594790674652
g3	g7	0
g7	g3	0
g7	g2	0
g2	g7	0
g8	g3	0
g3	g8	0
g2	g4	0
g4	g2	0
g6	g2	0
g2	g6	0
g1	g3	0
g3	g1	0
