Gene1	Gene2	EdgeWeight
g7	g1	1.27622698727972
g2	g3	1.0
g2	g3	1.0
g3	g3	0.65391409130123
g2	g2	0.506800468875172
g6	g1	0.489995047693
g3	g6	0.477119690674693
g8	g3	0.46442172692514
g8	g1	0.45513372189530105
g3	g4	0.454638007076311
g1	g2	0.44718958637479
g1	g1	0.4191253622175539
g4	g7	0.415743635296629
g1	g3	0.318905274373794
g4	g1	0.30550343348230896
g4	g6	0.301619304491638
g6	g7	0.287676886197636
g4	g4	0.279792178234802
g6	g6	0.279508573459781
g4	g2	0.262557483459984
g8	g2	0.253798997736891
g7	g7	0.239818660167701
g7	g2	0.221902852989522
g7	g3	0.159307242954982
g6	g4	0.0790746403931037
g7	g8	0.0515426146257214
g1	g8	0.0255436819613196
g6	g8	0.0249686842923683
g4	g8	0.0243477196454702
g1	g7	0.0193937759249839
g2	g7	0.0174528854390458
g7	g6	0.014709980374361
g8	g8	0.00230223214697168
g7	g4	2.85623561463213e-37
g8	g4	2.0364591890489496e-37
g1	g4	1.2367572131309699e-37
g3	g2	0.0
g6	g2	0.0
g4	g3	0.0
g6	g3	0.0
g2	g4	0.0
g2	g1	0.0
g2	g6	0.0
g8	g6	0.0
g3	g7	0.0
g8	g7	0.0
g2	g8	0.0
g3	g1	0.0
g1	g6	0.0
g3	g2	0.0
g6	g2	0.0
g2	g1	0.0
g3	g1	0.0
g3	g8	0.0
g2	g8	0.0
g8	g7	0.0
g3	g7	0.0
g8	g6	0.0
g2	g6	0.0
g1	g6	0.0
g2	g4	0.0
g6	g3	0.0
g4	g3	0.0
g3	g8	0.0
