Regulator	Target	SINGE_Score
g7	g1	6
g7	g2	1.5
g8	g2	0.66666
g8	g1	0.375
g7	g3	0.24
g8	g3	0.16666
g8	g6	0.09375
g7	g5	0.07407
g7	g6	0.06
g8	g4	0.04958
g6	g1	0.04166
g2	g5	0.0355
g7	g4	0.03061
g6	g3	0.02666
g8	g5	0.01851
g5	g2	0.01662
g4	g5	0.015
g1	g5	0.01041
g2	g1	0.0096
g6	g5	0.00765
g4	g1	0.00713
g5	g3	0.00666
g6	g8	0.00624
g2	g6	0.00585
g3	g1	0.0055
g2	g4	0.00519
g1	g8	0.00489
g6	g2	0.00462
g3	g4	0.00438
g4	g7	0.00415
g3	g6	0.00394
g5	g4	0.00375
g5	g1	0.00356
g4	g8	0.0034
g1	g6	0.00324
g8	g7	0.00309
g1	g4	0.00296
g3	g5	0.00283
g3	g2	0.00271
g7	g8	0.0026
g1	g7	0.00249
g1	g3	0.0024
