Gene1	Gene2	EdgeWeight
g7	g1	6.0
g7	g8	1.5
g8	g2	1.5
g7	g2	0.66666
g7	g4	0.66666
g7	g3	0.375
g8	g3	0.375
g3	g2	0.16666
g1	g2	0.09375
g2	g6	0.06
g2	g3	0.06
g4	g1	0.04958
g2	g7	0.04958
g8	g4	0.04166
g2	g1	0.04166
g8	g6	0.0355
g2	g4	0.030610000000000002
g2	g8	0.02343
g8	g1	0.02076
g7	g6	0.01851
g3	g1	0.01851
g3	g6	0.01662
g3	g8	0.015
g4	g7	0.01239
g6	g1	0.011340000000000001
g1	g3	0.0096
g6	g2	0.0096
g1	g7	0.008870000000000001
g1	g6	0.00823
g3	g7	0.00765
g3	g4	0.00765
g4	g2	0.00713
g6	g8	0.006659999999999999
g4	g8	0.00624
g8	g7	0.00585
g6	g3	0.0055
g4	g6	0.00519
g1	g8	0.00462
g4	g3	0.004379999999999999
g1	g4	0.00375
