Gene1	Gene2	EdgeWeight
g1	g10	0.4966179982599297
g10	g1	0.4591547688552691
g9	g8	0.4174163444015116
g1	g2	0.32886529172875056
g4	g6	0.3192295927030773
g10	g9	0.30005778074344586
g5	g7	0.29698885543597897
g6	g4	0.2955362216200668
g7	g5	0.28266325296042233
g8	g9	0.2815747762988049
g2	g3	0.2669254043778906
g4	g7	0.24602154125589334
g9	g10	0.22267141909437288
g5	g6	0.22209382104462952
g9	g1	0.206132657629732
g4	g5	0.19074869353566926
g3	g2	0.18303125297854275
g5	g4	0.17942362514355736
g1	g9	0.1726755643021901
g10	g2	0.17087810722248642
g10	g8	0.1533604187105161
g9	g4	0.1509850794524484
g6	g5	0.14476893759412215
g2	g1	0.13988265387534082
g9	g5	0.1394946158699935
g4	g3	0.1354112172957646
g7	g4	0.1308500156031464
g5	g3	0.130457949647591
g8	g7	0.1279722256472674
g8	g6	0.12545848022041012
g8	g3	0.12246449514875528
g2	g10	0.12033341937586844
g1	g8	0.11661886431867703
g6	g7	0.08950389286092843
g7	g6	0.0835053223169393
g8	g5	0.08121199847637305
g9	g2	0.0810569483280528
g3	g4	0.07844719836398871
g8	g4	0.07843596329578062
g3	g5	0.0779014116295902
g6	g8	0.07508624579240235
g4	g9	0.0748753379083359
g7	g3	0.07440574552217577
g6	g3	0.07433377576122847
g9	g3	0.07262739591445908
g8	g10	0.07149296513160727
g8	g1	0.07013509940878508
g1	g3	0.06616502081331327
g5	g9	0.06535254300650628
g7	g8	0.05994476306970928
g4	g2	0.05854278552063355
g9	g6	0.05760600280721974
g10	g3	0.05720899551882199
g1	g7	0.055137334089378674
g10	g6	0.053302628715307984
g10	g7	0.05327554822186659
g9	g7	0.053136329217233186
g5	g8	0.05192908758291823
g3	g6	0.05162587411871606
g3	g7	0.05030727651344832
g1	g6	0.04990024160169109
g4	g8	0.04988314311656845
g8	g2	0.04892693885296587
g6	g2	0.04608782276393339
g2	g9	0.045172245758348016
g5	g2	0.042111869256303086
g10	g4	0.04113581910354698
g7	g2	0.0404989833483316
g10	g5	0.040035111970286884
g2	g8	0.03854601453934569
g2	g6	0.0372780364720089
g3	g8	0.037215118468351335
g7	g1	0.02793818119512799
g2	g7	0.027656996758005054
g6	g1	0.02762656685523131
g4	g1	0.026355892942271454
g1	g4	0.02603385988898725
g5	g1	0.025148092867651
g6	g9	0.024662171186926544
g1	g5	0.024214407243749063
g7	g10	0.02284701026110749
g7	g9	0.021912003608251542
g6	g10	0.01992590543318417
g4	g10	0.019517359712060083
g2	g4	0.019152217528477587
g2	g5	0.01896157071979365
g3	g1	0.017626086370591328
g5	g10	0.01721131858309106
g3	g9	0.01371757718719085
g3	g10	0.009382604148778893
