TF	target	importance
g6	g4	430.1533584539676
g7	g5	393.1776561627785
g4	g6	347.1830010082004
g5	g7	313.1444334776088
g4	g5	279.9719737103126
g8	g9	266.6924143363876
g1	g10	246.67383857081654
g5	g4	225.73756478616983
g9	g8	223.1592600712119
g10	g9	193.23743530307644
g6	g5	191.7276953070657
g9	g4	182.1772104157326
g7	g4	181.5526259349061
g9	g5	174.31362786500824
g1	g9	174.2297996745313
g10	g1	171.99674484745654
g4	g7	169.2969635998233
g8	g6	158.4748914126553
g8	g5	154.19183050117414
g3	g4	152.15040754037346
g3	g5	148.00002372983835
g5	g6	143.69804460666478
g2	g3	139.38235654999633
g8	g7	132.3936058667116
g1	g2	129.04829934870295
g8	g4	108.45650069082564
g10	g8	100.01103049059252
g2	g9	97.111518384709
g9	g1	97.09109407182898
g7	g6	95.63939696743611
g10	g2	95.42069482622257
g9	g10	93.37366763701021
g4	g3	88.7005300449162
g3	g2	86.0392505547143
g1	g8	85.81339670973442
g5	g9	84.34367664232624
g8	g10	82.98220959306597
g1	g4	82.41489232749814
g2	g5	76.78465788022487
g2	g1	74.92767126273958
g3	g6	74.41625180608021
g10	g5	73.82771909310516
g4	g9	71.7894497893571
g6	g7	71.60021077507103
g5	g3	69.30428780284683
g2	g10	69.13730250325087
g10	g4	67.91736125951229
g9	g6	67.03036663086807
g2	g4	65.44007859101455
g1	g5	65.00481575049237
g8	g1	64.85956834666719
g10	g6	64.10382222773845
g1	g7	61.41381999185297
g9	g7	60.77264699283949
g3	g7	60.01014976772803
g10	g7	57.47140528119566
g8	g3	52.054455599124374
g2	g6	47.71336142188508
g9	g2	46.90217288045031
g1	g6	46.74086391847172
g2	g7	36.896764247169
g6	g8	35.150706674874705
g7	g3	35.134049546619025
g9	g3	33.45076863011595
g5	g8	29.79264032477174
g7	g8	28.71588459907259
g4	g8	28.340310691795963
g6	g3	27.64903427226613
g2	g8	27.48333063343664
g6	g2	26.402950147782388
g4	g10	24.878468716979928
g7	g2	24.722014404105717
g3	g8	24.53343980450958
g1	g3	23.781010076000317
g4	g2	23.011770559779958
g5	g10	22.30368568355642
g5	g2	21.963448789598903
g10	g3	21.543507478114844
g8	g2	21.48939848864301
g3	g9	20.780906060737657
g4	g1	20.488658082224944
g6	g10	20.274582738904176
g7	g1	20.21319126011572
g6	g9	19.74365637291678
g7	g10	19.36272889350134
g7	g9	18.07114343595782
g5	g1	17.00023723950207
g6	g1	15.619879460652468
g3	g10	8.013515662914518
g3	g1	6.8029554288125205
