Parent	Type	Child	Weight	Probability	Score
g1	+	g1	0.866985	1.000000	1.000000
g10	+	g1	0.234256	0.925365	0.250030
g2	+	g1	0.389942	0.999990	0.449763
g3	+	g1	0.062026	0.056203	0.004021
g4	-	g1	-0.071711	0.082756	-0.006845
g5	+	g1	0.129802	0.136930	0.020501
g6	-	g1	-0.052262	0.084329	-0.005083
g7	-	g1	-0.114246	0.308945	-0.040711
g8	-	g1	-0.073261	0.156955	-0.013263
g9	-	g1	-0.163197	0.609128	-0.114660
g1	+	g10	0.046312	0.085397	0.004562
g10	+	g10	0.606279	1.000000	0.699295
g2	-	g10	-0.060693	0.124766	-0.008734
g3	-	g10	-0.027119	0.067698	-0.002118
g4	+	g10	0.001292	0.018403	0.000027
g5	+	g10	0.075750	0.148161	0.012945
g6	+	g10	0.036654	0.077105	0.003260
g7	-	g10	-0.069899	0.122007	-0.009837
g8	+	g10	0.109849	0.333769	0.042290
g9	+	g10	0.354917	1.000000	0.409369
g1	+	g2	0.612948	1.000000	0.706988
g10	+	g2	0.186181	0.884253	0.189889
g2	+	g2	0.543877	1.000000	0.627319
g3	+	g2	0.300257	0.996522	0.345119
g4	-	g2	-0.006820	0.022708	-0.000179
g5	+	g2	0.130277	0.157965	0.023737
g6	+	g2	0.006605	0.065018	0.000495
g7	-	g2	-0.082081	0.149401	-0.014144
g8	+	g2	0.023125	0.050505	0.001347
g9	-	g2	-0.006282	0.054297	-0.000393
g1	+	g3	0.190848	0.127663	0.028102
g10	+	g3	0.215394	0.679972	0.168933
g2	+	g3	0.307300	0.903104	0.320102
g3	+	g3	0.662096	1.000000	0.763676
g4	+	g3	0.306190	0.964180	0.340515
g5	+	g3	0.281248	0.954838	0.309747
g6	+	g3	0.166776	0.205324	0.039497
g7	+	g3	0.162030	0.208186	0.038908
g8	+	g3	0.195219	0.350680	0.078962
g9	+	g3	0.165283	0.254118	0.048445
g1	+	g4	0.037968	0.079797	0.003495
g10	+	g4	0.113616	0.342595	0.044896
g2	+	g4	0.072157	0.127035	0.010573
g3	+	g4	0.157386	0.880779	0.159890
g4	+	g4	0.440990	1.000000	0.508648
g5	+	g4	0.154757	0.864706	0.154350
g6	-	g4	-0.073997	0.127911	-0.010917
g7	-	g4	-0.007954	0.049786	-0.000457
g8	-	g4	-0.201116	0.999994	-0.231971
g9	+	g4	0.033201	0.075183	0.002879
g1	-	g5	-0.044242	0.070516	-0.003598
g10	-	g5	-0.072048	0.092148	-0.007658
g2	+	g5	0.133825	0.362928	0.056020
g3	+	g5	0.207089	0.981325	0.234400
g4	+	g5	0.355602	0.999485	0.409948
g5	+	g5	0.498574	1.000000	0.575066
g6	+	g5	0.403838	0.949345	0.442201
g7	+	g5	0.399311	1.000000	0.460574
g8	-	g5	-0.196247	0.800719	-0.181247
g9	+	g5	0.133702	0.229183	0.035343
g1	+	g6	0.023244	0.146960	0.003940
g10	+	g6	0.058524	0.719340	0.048557
g2	+	g6	0.000593	0.057273	0.000039
g3	+	g6	0.021319	0.122754	0.003018
g4	+	g6	0.013312	0.048665	0.000747
g5	+	g6	0.059495	0.903413	0.061994
g6	+	g6	0.167163	0.999931	0.192796
g7	+	g6	0.055708	0.664998	0.042729
g8	-	g6	-0.063793	0.899611	-0.066194
g9	+	g6	0.013140	0.076362	0.001157
g1	-	g7	-0.040910	0.086652	-0.004089
g10	-	g7	-0.368872	1.000000	-0.425465
g2	+	g7	0.041727	0.053441	0.002572
g3	+	g7	0.154319	0.047771	0.008503
g4	-	g7	-0.251405	0.846592	-0.245492
g5	+	g7	0.445437	1.000000	0.513777
g6	+	g7	0.606188	0.999994	0.699186
g7	+	g7	0.508887	1.000000	0.586961
g8	+	g7	0.292454	0.964873	0.325474
g9	+	g7	0.238740	0.673554	0.185475
g1	+	g8	0.004708	0.031663	0.000172
g10	+	g8	0.298631	0.994879	0.342684
g2	+	g8	0.008405	0.041187	0.000399
g3	+	g8	0.054219	0.048706	0.003046
g4	-	g8	-0.303968	0.999888	-0.350564
g5	+	g8	0.311517	0.999999	0.359310
g6	+	g8	0.117078	0.178972	0.024169
g7	+	g8	0.172879	0.421721	0.084092
g8	+	g8	0.627077	1.000000	0.723284
g9	+	g8	0.536575	1.000000	0.618898
g1	+	g9	0.024764	0.046422	0.001326
g10	+	g9	0.470811	1.000000	0.543044
g2	-	g9	-0.037890	0.089711	-0.003921
g3	+	g9	0.052338	0.065271	0.003940
g4	-	g9	-0.126066	0.283043	-0.041157
g5	+	g9	0.085397	0.148770	0.014654
g6	-	g9	-0.027366	0.073852	-0.002331
g7	-	g9	-0.034856	0.067802	-0.002726
g8	+	g9	0.450651	1.000000	0.519790
g9	+	g9	0.474683	1.000000	0.547509
