Gene1	Gene2	EdgeWeight
g1	g1	1.0
g10	g10	1.0
g10	g7	1.0
g5	g7	1.0
g7	g7	1.0
g8	g8	1.0
g9	g8	1.0
g10	g9	1.0
g8	g9	1.0
g9	g9	1.0
g1	g1	1.0
g10	g1	1.0
g2	g1	1.0
g9	g10	1.0
g5	g5	1.0
g1	g2	1.0
g2	g2	1.0
g3	g3	1.0
g4	g4	1.0
g5	g5	1.0
g4	g6	1.0
g6	g6	1.0
g8	g8	1.0
g9	g8	1.0
g10	g9	1.0
g8	g9	1.0
g7	g5	1.0
g9	g9	1.0
g9	g10	1.0
g2	g2	1.0
g10	g10	1.0
g3	g3	1.0
g4	g4	1.0
g1	g2	1.0
g5	g8	0.999999
g8	g5	0.9999979999999999
g6	g4	0.9999959999999999
g8	g4	0.999994
g6	g7	0.999994
g10	g2	0.999993
g6	g8	0.9999819999999999
g4	g8	0.9998879999999999
g9	g1	0.999707
g10	g6	0.9995700000000001
g4	g5	0.9994850000000001
g5	g4	0.999398
g4	g3	0.9992280000000001
g10	g8	0.998877
g7	g6	0.9984270000000001
g3	g5	0.997815
g3	g2	0.9965219999999999
g3	g4	0.9956649999999999
g8	g6	0.9945700000000001
g7	g4	0.9863770000000001
g8	g7	0.964873
g7	g3	0.9575610000000001
g5	g3	0.954838
g9	g3	0.949758
g6	g5	0.9493450000000001
g4	g7	0.928371
g7	g10	0.9143700000000001
g5	g6	0.9034129999999999
g2	g3	0.9031040000000001
g7	g2	0.8104680000000001
g2	g10	0.796058
g8	g1	0.7467189999999999
g6	g10	0.701717
g10	g3	0.679972
g9	g7	0.673554
g10	g5	0.6095
g7	g9	0.44145200000000007
g1	g6	0.4275
g7	g8	0.421721
g4	g10	0.399971
g2	g9	0.380898
g2	g5	0.36292800000000003
g2	g7	0.353159
g8	g3	0.35068
g10	g4	0.342595
g8	g10	0.342334
g7	g1	0.30894499999999997
g4	g9	0.283043
g2	g4	0.259656
g9	g5	0.229183
g6	g3	0.20532399999999998
g6	g9	0.182803
g9	g2	0.163652
g5	g2	0.15796500000000002
g5	g9	0.14877
g5	g10	0.148161
g5	g1	0.13693
g1	g10	0.135095
g1	g3	0.127663
g3	g6	0.122754
g9	g6	0.103046
g1	g5	0.098798
g1	g9	0.09619
g6	g1	0.088817
g1	g7	0.08665199999999999
g3	g7	0.08569700000000001
g3	g10	0.08564400000000001
g4	g1	0.082756
g1	g4	0.079797
g9	g4	0.075183
g3	g9	0.06527100000000001
g6	g2	0.06501799999999999
g4	g2	0.064717
g2	g6	0.057273000000000004
g3	g1	0.056202999999999996
g3	g8	0.053391999999999995
g2	g8	0.052762
g8	g2	0.051580999999999995
g1	g8	0.031663
