Gene1	Gene2	corVal	pValue
g1	g1	1	0
g10	g10	1	0
g2	g2	1	0
g3	g3	1	0
g4	g4	1	0
g5	g5	1	0
g6	g6	1	0
g7	g7	1	0
g8	g8	1	0
g9	g9	1	0
g8	g9	0.517775877584684	4.69914309851754e-137
g9	g8	0.517775877584684	4.69914309851781e-137
g4	g6	0.402910304548121	1.25969896101038e-78
g6	g4	0.402910304548121	1.25969896101042e-78
g7	g5	0.399392172906844	3.61155389515022e-77
g5	g7	0.399392172906844	3.61155389515022e-77
g3	g2	0.297612378953054	5.00970893302147e-42
g2	g3	0.297612378953054	5.00970893302168e-42
g5	g4	0.297564218209249	5.16977865071745e-42
g4	g5	0.297564218209249	5.16977865071782e-42
g2	g1	0.28790600718797	2.51311367556422e-39
g1	g2	0.28790600718797	2.51311367556426e-39
g5	g3	0.254707870488449	7.21340560512301e-31
g3	g5	0.254707870488448	7.21340560512333e-31
g9	g10	0.226453120454121	1.39778329988721e-24
g10	g9	0.226453120454121	1.39778329988726e-24
g3	g4	0.214022403551326	4.53163560092544e-22
g4	g3	0.214022403551325	4.53163560092554e-22
g3	g8	0.165878722453596	9.29910013152418e-14
g8	g3	0.165878722453595	9.29910013152466e-14
g8	g10	0.157396371158258	1.61132584909644e-12
g10	g8	0.157396371158257	1.61132584909648e-12
g8	g6	0.142577914050741	1.63515279760626e-10
g6	g8	0.142577914050741	1.63515279760629e-10
g8	g7	0.11709233477541	1.59880814453071e-07
g7	g8	0.11709233477541	1.59880814453071e-07
g2	g6	0.0975742330357371	1.28528180552008e-05
g6	g2	0.0975742330357371	1.28528180552008e-05
g9	g3	0.0698959256741401	0.00179967233531929
g3	g9	0.0698959256741399	0.00179967233531932
g3	g10	0.0638844364982979	0.00433900084524235
g10	g3	0.0638844364982979	0.00433900084524235
g7	g2	0.0623582877317312	0.0053671997043046
g2	g7	0.0623582877317312	0.00536719970430462
g6	g1	0.0531906995456785	0.0175875584549141
g1	g6	0.0531906995456785	0.0175875584549142
g7	g3	0.0470871600606222	0.035603019993287
g3	g7	0.0470871600606222	0.035603019993287
g7	g6	0.0466743121446874	0.0372523661292258
g6	g7	0.0466743121446873	0.0372523661292259
g1	g7	0.0432194418606604	0.0537739497555712
g7	g1	0.0432194418606603	0.0537739497555714
g6	g3	0.0385711936067487	0.0852394463337938
g3	g6	0.0385711936067487	0.0852394463337939
g2	g4	0.0354737290777922	0.113475792813295
g4	g2	0.0354737290777922	0.113475792813295
g9	g7	0.0340951164358861	0.128206034646526
g7	g9	0.034095116435886	0.128206034646527
g4	g1	0.0293645440935266	0.190177872836648
g1	g4	0.0293645440935266	0.190177872836649
g5	g1	0.0157697520880104	0.481784826326224
g1	g5	0.0157697520880104	0.481784826326224
g6	g9	-0.00545790798256371	0.807660442593093
g9	g6	-0.00545790798256378	0.807660442593091
g5	g2	-0.0197548358825575	0.378194979823
g2	g5	-0.0197548358825575	0.378194979822999
g2	g8	-0.0217135861086016	0.332733368871484
g8	g2	-0.0217135861086016	0.332733368871484
g3	g1	-0.0234536809997891	0.295437549179443
g1	g3	-0.0234536809997892	0.295437549179443
g5	g10	-0.0334418579731963	0.135685600826901
g10	g5	-0.0334418579731963	0.135685600826901
g6	g10	-0.0380332724255868	0.0896885442792109
g10	g6	-0.0380332724255868	0.0896885442792108
g4	g8	-0.0415791578501897	0.063540369014754
g8	g4	-0.0415791578501897	0.063540369014754
g2	g9	-0.0446448530192902	0.0463355183408711
g9	g2	-0.0446448530192902	0.0463355183408711
g10	g4	-0.0521666269957004	0.0198900316647905
g4	g10	-0.0521666269957004	0.0198900316647905
g8	g1	-0.0534574518119087	0.017027549025968
g1	g8	-0.0534574518119088	0.0170275490259679
g8	g5	-0.0625083921523588	0.00525711320066764
g5	g8	-0.0625083921523589	0.00525711320066755
g9	g4	-0.0771141743076889	0.000571658925356266
g4	g9	-0.0771141743076889	0.000571658925356262
g10	g7	-0.0991936093195026	9.1920542953752e-06
g7	g10	-0.0991936093195026	9.19205429537513e-06
g5	g9	-0.118425392438512	1.15241393427034e-07
g9	g5	-0.118425392438512	1.15241393427029e-07
g6	g5	-0.140350520148841	3.14754277874622e-10
g5	g6	-0.140350520148841	3.14754277874615e-10
g10	g2	-0.144071712441999	1.04789086288425e-10
g2	g10	-0.144071712441999	1.04789086288423e-10
g9	g1	-0.170886766997674	1.6065094132368e-14
g1	g9	-0.170886766997674	1.60650941323674e-14
g4	g7	-0.178768652692971	9.08706087659829e-16
g7	g4	-0.178768652692971	9.08706087659809e-16
g10	g1	-0.324416779434478	4.83651638427192e-50
g1	g10	-0.324416779434478	4.83651638427192e-50
