Gene1	Gene2	EdgeWeight
g1	g1	1.0
g6	g6	1.0
g9	g9	1.0
g10	g10	1.0
g7	g7	1.0
g8	g8	1.0
g5	g5	1.0
g4	g4	1.0
g3	g3	1.0
g2	g2	1.0
g8	g9	0.517775877584684
g9	g8	0.517775877584684
g4	g6	0.40291030454812105
g6	g4	0.40291030454812105
g7	g5	0.39939217290684403
g5	g7	0.39939217290684403
g10	g1	-0.324416779434478
g1	g10	-0.324416779434478
g2	g3	0.2976123789530539
g3	g2	0.2976123789530539
g5	g4	0.29756421820924894
g4	g5	0.29756421820924894
g2	g1	0.28790600718797
g1	g2	0.28790600718797
g5	g3	0.25470787048844895
g3	g5	0.254707870488448
g9	g10	0.226453120454121
g10	g9	0.226453120454121
g3	g4	0.214022403551326
g4	g3	0.214022403551325
g7	g4	-0.17876865269297101
g4	g7	-0.17876865269297101
g1	g9	-0.170886766997674
g9	g1	-0.170886766997674
g3	g8	0.16587872245359603
g8	g3	0.165878722453595
g8	g10	0.157396371158258
g10	g8	0.157396371158257
g10	g2	-0.144071712441999
g2	g10	-0.144071712441999
g8	g6	0.142577914050741
g6	g8	0.142577914050741
g6	g5	-0.140350520148841
g5	g6	-0.140350520148841
g5	g9	-0.118425392438512
g9	g5	-0.118425392438512
g8	g7	0.11709233477540999
g7	g8	0.11709233477540999
g10	g7	-0.0991936093195026
g7	g10	-0.0991936093195026
g6	g2	0.0975742330357371
g2	g6	0.0975742330357371
g9	g4	-0.0771141743076889
g4	g9	-0.0771141743076889
g9	g3	0.0698959256741401
g3	g9	0.0698959256741399
g10	g3	0.0638844364982979
g3	g10	0.0638844364982979
g5	g8	-0.0625083921523589
g8	g5	-0.0625083921523588
g2	g7	0.0623582877317312
g7	g2	0.0623582877317312
g6	g1	0
g1	g6	0
g7	g3	0
g3	g7	0
g7	g6	0
g6	g7	0
g1	g7	0
g7	g1	0
g6	g3	0
g3	g6	0
g2	g4	0
g4	g2	0
g9	g7	0
g7	g9	0
g4	g1	0
g1	g4	0
g5	g1	0
g1	g5	0
g6	g9	0
g9	g6	0
g5	g2	0
g2	g5	0
g2	g8	0
g8	g2	0
g3	g1	0
g1	g3	0
g5	g10	0
g10	g5	0
g6	g10	0
g10	g6	0
g4	g8	0
g8	g4	0
g2	g9	0
g9	g2	0
g10	g4	0
g4	g10	0
g8	g1	0
g1	g8	0
