SourceGENES,TargetGENES,Interaction,Edges
g7,g6,1,activation
g7,g5,0.965951324783843,activation
g10,g9,0.942917392465163,activation
g9,g8,0.900301294133954,activation
g1,g9,0.829990667755353,repression
g3,g2,0.807564237005509,activation
g8,g6,0.740287238597664,repression
g2,g10,0.685118062306899,repression
g2,g1,0.629886072004116,activation
g6,g4,0.600242602970685,activation
g4,g6,0.5803741735194,activation
g4,g4,0.558122910662079,activation
g8,g7,0.539708873480993,activation
g8,g4,0.518836104496719,repression
g9,g9,0.473426718100023,activation
g8,g8,0.472713396717825,activation
g7,g4,0.471961681978719,repression
g3,g1,0.466152983091503,repression
g4,g3,0.447437028979168,activation
g1,g10,0.437119796264966,repression
g2,g9,0.400819262328192,repression
g3,g3,0.367794486510957,activation
g1,g5,0.359495312395106,activation
g10,g10,0.350770058108795,activation
g9,g6,0.317177531200192,repression
g3,g10,0.312462064001752,activation
g9,g4,0.278988791888562,activation
g7,g9,0.257554140988858,activation
g10,g5,0.240137740834039,repression
g2,g2,0.219816970738813,activation
g6,g8,0.209675645576058,repression
g10,g8,0.182690084849416,activation
g1,g1,0.182561565875211,activation
g2,g5,0.174747253605739,repression
g4,g2,0.161751632612733,activation
g10,g1,0.127600549178658,repression
g6,g6,0.124259102029154,activation
g2,g7,0.084841156170744,activation
g6,g3,0.0845002349281935,repression
g10,g6,0.0690952667669782,activation
g6,g5,0.0210791360056252,activation
g5,g4,5.02090814523077e-36,activation
g5,g6,4.76942380858979e-36,activation
g5,g3,3.71406718719069e-36,activation
g5,g9,3.47190051174603e-36,repression
g5,g8,3.11834708700209e-36,activation
g1,g2,0,no regulation
g1,g3,0,no regulation
g1,g4,0,no regulation
g1,g6,0,no regulation
g1,g7,0,no regulation
g1,g8,0,no regulation
g10,g2,0,no regulation
g10,g3,0,no regulation
g10,g4,0,no regulation
g10,g7,0,no regulation
g2,g3,0,no regulation
g2,g4,0,no regulation
g2,g6,0,no regulation
g2,g8,0,no regulation
g3,g4,0,no regulation
g3,g5,0,no regulation
g3,g6,0,no regulation
g3,g7,0,no regulation
g3,g8,0,no regulation
g3,g9,0,no regulation
g4,g1,0,no regulation
g4,g10,0,no regulation
g4,g5,0,no regulation
g4,g7,0,no regulation
g4,g8,0,no regulation
g4,g9,0,no regulation
g5,g1,0,no regulation
g5,g10,0,no regulation
g5,g2,0,no regulation
g5,g5,0,no regulation
g5,g7,0,no regulation
g6,g1,0,no regulation
g6,g10,0,no regulation
g6,g2,0,no regulation
g6,g7,0,no regulation
g6,g9,0,no regulation
g7,g1,0,no regulation
g7,g10,0,no regulation
g7,g2,0,no regulation
g7,g3,0,no regulation
g7,g7,0,no regulation
g7,g8,0,no regulation
g8,g1,0,no regulation
g8,g10,0,no regulation
g8,g2,0,no regulation
g8,g3,0,no regulation
g8,g5,0,no regulation
g8,g9,0,no regulation
g9,g1,0,no regulation
g9,g10,0,no regulation
g9,g2,0,no regulation
g9,g3,0,no regulation
g9,g5,0,no regulation
g9,g7,0,no regulation
