Gene1	Gene2	EdgeWeight
g7	g8	1.13372805115137
g6	g7	1.0
g2	g3	1.0
g5	g7	0.965951324783843
g9	g10	0.942917392465163
g8	g9	0.9003012941339541
g9	g1	0.8505717815403401
g6	g8	0.7558252845459509
g10	g2	0.75083533796463
g4	g6	0.7442426314756959
g1	g2	0.742406688201274
g10	g1	0.692116637322167
g6	g4	0.5803741735194
g4	g4	0.558122910662079
g4	g8	0.518836104496719
g1	g3	0.5033791172934579
g7	g6	0.487133692029592
g9	g9	0.47342671810002296
g8	g8	0.47271339671782503
g4	g7	0.471961681978719
g3	g4	0.44743702897916793
g10	g10	0.4033475696501911
g9	g2	0.400819262328192
g1	g1	0.37334639058148206
g3	g3	0.36779448651095703
g5	g1	0.359495312395106
g5	g6	0.33294335772107503
g8	g10	0.321214029645978
g6	g9	0.317177531200192
g10	g3	0.312462064001752
g5	g8	0.297677749784264
g4	g9	0.278988791888562
g2	g2	0.259223832829734
g9	g7	0.257554140988858
g5	g10	0.24013774083403897
g4	g1	0.21080979918835
g8	g6	0.20967564557605803
g5	g9	0.19013773696727695
g7	g9	0.176241868506471
g5	g2	0.17474725360573903
g8	g1	0.170471055958694
g2	g4	0.161751632612733
g6	g6	0.15315308379041298
g3	g7	0.129967697276635
g4	g10	0.12806687305566303
g1	g10	0.12760054917865798
g9	g6	0.10945826160496101
g7	g2	0.084841156170744
g3	g6	0.0845002349281935
g6	g10	0.0690952667669782
g8	g7	0.0570526294978465
g7	g5	0.0142947521020036
g6	g1	0.0070924029015569994
g3	g5	0.00666351126871606
g6	g2	0.00572375592966201
g2	g5	0.0050451401768349296
g5	g5	0.00211417919843178
g4	g5	5.02090814523077e-36
g6	g5	4.76942380858979e-36
g9	g5	3.471900511746029e-36
g8	g5	3.1183470870020896e-36
g9	g4	1.8814012432750202e-36
g5	g4	1.24518735565473e-36
g8	g4	3.81972662632522e-38
g8	g2	0.0
g1	g8	0.0
g2	g6	0.0
g2	g1	0.0
g1	g7	0.0
g10	g7	0.0
g2	g7	0.0
g7	g7	0.0
g10	g8	0.0
g1	g6	0.0
g2	g8	0.0
g3	g8	0.0
g9	g8	0.0
g1	g9	0.0
g10	g9	0.0
g2	g9	0.0
g10	g6	0.0
g10	g5	0.0
g4	g2	0.0
g5	g3	0.0
g3	g2	0.0
g7	g10	0.0
g2	g10	0.0
g7	g1	0.0
g3	g1	0.0
g4	g3	0.0
g6	g3	0.0
g1	g5	0.0
g7	g3	0.0
g8	g3	0.0
g9	g3	0.0
g1	g4	0.0
g10	g4	0.0
g7	g4	0.0
g3	g10	0.0
g7	g10	0.0
g3	g2	0.0
g2	g1	0.0
g10	g6	0.0
g1	g6	0.0
g10	g5	0.0
g1	g5	0.0
g7	g4	0.0
g10	g4	0.0
g1	g4	0.0
g9	g3	0.0
g8	g3	0.0
g7	g3	0.0
g6	g3	0.0
g5	g3	0.0
g4	g3	0.0
g8	g2	0.0
g4	g2	0.0
g2	g6	0.0
g1	g7	0.0
g10	g7	0.0
g10	g9	0.0
g3	g1	0.0
g7	g1	0.0
g2	g10	0.0
g3	g10	0.0
g3	g9	0.0
g2	g9	0.0
g1	g9	0.0
g2	g7	0.0
g9	g8	0.0
g3	g8	0.0
g2	g8	0.0
g10	g8	0.0
g1	g8	0.0
g7	g7	0.0
g3	g9	0.0
