Regulator	Target	SINGE_Score
g10	g9	1.5
g10	g7	0.66666
g9	g5	0.24
g10	g2	0.16666
g8	g5	0.12244
g6	g1	0.09375
g10	g8	0.06
g4	g8	0.04958
g9	g8	0.04166
g6	g8	0.0355
g4	g10	0.03061
g6	g10	0.02666
g8	g3	0.02343
g4	g1	0.02076
g10	g5	0.01662
g8	g7	0.015
g6	g2	0.0136
g7	g10	0.01239
g9	g10	0.01134
g6	g9	0.01041
g8	g9	0.0096
g10	g1	0.00887
g6	g4	0.00823
g6	g3	0.00765
g4	g9	0.00713
g9	g3	0.00666
g9	g1	0.00624
g7	g1	0.00585
g9	g4	0.0055
g6	g5	0.00519
g7	g9	0.00489
g7	g6	0.00438
g4	g2	0.00415
g10	g4	0.00394
g2	g3	0.00375
g2	g7	0.00356
g10	g3	0.0034
g3	g5	0.00324
g2	g5	0.00309
g8	g4	0.00296
g2	g9	0.00283
g3	g9	0.00271
g5	g10	0.0026
g5	g1	0.0024
g4	g5	0.0023
g8	g2	0.00205
g1	g8	0.00198
g3	g7	0.00191
g5	g8	0.00184
g2	g10	0.00172
g9	g7	0.00166
g1	g10	0.00161
g3	g8	0.00156
g2	g1	0.00151
g3	g4	0.00146
g1	g5	0.00142
g1	g2	0.00137
g8	g1	0.00133
g2	g8	0.00129
g2	g4	0.00126
g8	g10	0.00122
g1	g3	0.00119
g1	g9	0.00115
g5	g2	0.00112
g7	g5	0.00109
g3	g2	0.00106
g8	g6	0.00103
g3	g10	0.00101
g1	g7	0.00098
g1	g6	0.00096
g7	g8	0.00093
g2	g6	0.00089
