Gene1	Gene2	EdgeWeight
g10	g4	6.0
g10	g9	1.5
g10	g9	1.5
g10	g7	0.66666
g10	g1	0.375
g9	g5	0.24
g10	g6	0.24
g10	g5	0.16666
g10	g2	0.16666
g10	g3	0.12244000000000001
g8	g5	0.12244000000000001
g6	g1	0.09375
g7	g2	0.09375
g7	g8	0.07407000000000001
g7	g4	0.06
g10	g8	0.06
g1	g9	0.04958
g4	g8	0.04958
g9	g8	0.04166
g2	g10	0.04166
g7	g3	0.0355
g6	g8	0.0355
g7	g10	0.030610000000000002
g4	g10	0.030610000000000002
g6	g10	0.026660000000000003
g8	g3	0.02343
g3	g10	0.02343
g7	g9	0.02076
g4	g1	0.02076
g3	g4	0.01851
g2	g8	0.01662
g3	g8	0.015
g8	g7	0.015
g1	g6	0.0136
g6	g2	0.0136
g5	g4	0.01239
g1	g8	0.011340000000000001
g9	g10	0.011340000000000001
g6	g9	0.010409999999999999
g8	g9	0.0096
g5	g9	0.008870000000000001
g6	g4	0.00823
g2	g9	0.00765
g6	g3	0.00765
g2	g4	0.00713
g4	g9	0.00713
g9	g3	0.006659999999999999
g9	g1	0.00624
g2	g3	0.00624
g7	g1	0.00585
g3	g6	0.00585
g2	g6	0.0055
g9	g4	0.0055
g5	g8	0.00519
g6	g5	0.00519
g7	g5	0.00462
g7	g6	0.004379999999999999
g4	g2	0.00415
g4	g3	0.00415
g2	g7	0.0035600000000000002
g2	g1	0.0035600000000000002
g3	g5	0.00324
g3	g1	0.00324
g2	g5	0.00309
g1	g4	0.00309
g8	g4	0.00296
g5	g3	0.00296
g4	g6	0.00283
g3	g9	0.00271
g5	g2	0.00271
g5	g10	0.0026
g3	g2	0.0026
g5	g1	0.0024
g4	g5	0.0023
g8	g2	0.00205
g3	g7	0.0019100000000000002
g9	g6	0.0018399999999999998
g5	g6	0.0017800000000000001
g9	g7	0.0016600000000000002
g1	g10	0.0016600000000000002
g1	g3	0.00161
g1	g5	0.0014199999999999998
g1	g2	0.0014199999999999998
g8	g1	0.00133
g9	g2	0.00126
g8	g10	0.00122
g1	g7	0.00109
g8	g6	0.00103
