TF	target	importance
g2	g6	0.6221040059300574
g6	g2	0.5878414333574314
g3	g4	0.3949041633333764
g1	g5	0.377398496559003
g4	g3	0.34982984243754217
g4	g5	0.3463923870120026
g5	g4	0.3390733507277346
g5	g1	0.3197285043690998
g2	g1	0.29031576484045774
g6	g3	0.289507530041571
g6	g1	0.24010755836974845
g2	g3	0.19654782489741182
g1	g2	0.17819793727944438
g3	g2	0.1651233116208069
g1	g6	0.16297398245732908
g3	g6	0.1548808615259268
g3	g5	0.10650141450006305
g6	g4	0.09321470414339739
g5	g3	0.09236964170401198
g1	g4	0.09108653930961208
g2	g5	0.08707042546084613
g6	g5	0.08263727646808527
g2	g4	0.08172124248587943
g4	g1	0.08048914750662728
g1	g3	0.07174516091946302
g3	g1	0.06935902491406672
g4	g2	0.037786014783289114
g4	g6	0.03476029486408268
g5	g2	0.031051302959028273
g5	g6	0.025280855222604114
