Gene1	Gene2	EdgeWeight
g2	g6	0.6221040059300574
g6	g2	0.5878414333574314
g3	g4	0.3949041633333764
g1	g5	0.377398496559003
g4	g3	0.34982984243754217
g4	g5	0.3463923870120026
g5	g4	0.3390733507277346
g5	g1	0.3197285043690998
g2	g1	0.2903157648404577
g6	g3	0.28950753004157104
g6	g1	0.24010755836974845
g2	g3	0.19654782489741185
g1	g2	0.17819793727944438
g3	g2	0.1651233116208069
g1	g6	0.16297398245732908
g3	g6	0.1548808615259268
g3	g5	0.10650141450006304
g6	g4	0.0932147041433974
g5	g3	0.09236964170401198
g1	g4	0.09108653930961208
g2	g5	0.08707042546084612
g6	g5	0.08263727646808527
g2	g4	0.08172124248587942
g4	g1	0.08048914750662728
g1	g3	0.07174516091946302
g3	g1	0.06935902491406673
g4	g2	0.03778601478328912
g4	g6	0.034760294864082684
g5	g2	0.031051302959028276
g5	g6	0.025280855222604117
