Gene1	Gene2	EdgeWeight
g2	g6	358.95635834708037
g6	g2	281.16149290796926
g3	g4	197.2462514640427
g1	g5	158.48564372794326
g3	g6	149.53844332532984
g4	g5	148.5131552187357
g5	g4	148.37317872596438
g5	g1	146.76872975006492
g4	g3	142.526752896867
g1	g6	141.93053248230603
g2	g1	126.86436295356368
g6	g3	110.68509454534427
g1	g2	105.74615502315021
g2	g3	103.72061358091848
g6	g1	103.47369933374952
g3	g2	88.93621324646044
g3	g5	47.480535466656
g1	g4	37.18306034067479
g4	g6	35.855781676202824
g2	g5	33.10635909577645
g3	g1	32.655848253702466
g6	g4	32.36831372104137
g4	g1	32.237359708919456
g5	g3	32.144021907932036
g4	g2	28.53629993326935
g2	g4	27.82919574827679
g1	g3	26.923517068938178
g5	g6	26.71888416908108
g6	g5	22.41430649088865
g5	g2	18.619838889150753
