Parent	Type	Child	Weight	Probability	Score
g1	+	g1	0.854313	1.000000	1.000000
g10	+	g1	0.453309	1.000000	0.530612
g2	+	g1	0.507878	1.000000	0.594487
g3	+	g1	0.038005	0.049770	0.002214
g4	-	g1	-0.045362	0.073917	-0.003925
g5	-	g1	-0.036202	0.029594	-0.001254
g6	+	g1	0.099142	0.088817	0.010307
g7	+	g1	0.044019	0.115853	0.005969
g8	-	g1	-0.165345	0.746719	-0.144521
g9	-	g1	-0.292683	0.999707	-0.342493
g1	+	g10	0.104310	0.135095	0.016495
g10	+	g10	0.600894	1.000000	0.703365
g2	-	g10	-0.129880	0.796058	-0.121024
g3	-	g10	-0.028047	0.085644	-0.002812
g4	+	g10	0.143769	0.399971	0.067310
g5	-	g10	-0.034683	0.041588	-0.001688
g6	-	g10	-0.152205	0.701717	-0.125018
g7	+	g10	0.356290	0.914370	0.381336
g8	+	g10	0.234120	0.342334	0.093815
g9	+	g10	0.429985	1.000000	0.503311
g1	+	g2	0.657828	1.000000	0.770008
g10	+	g2	0.327364	0.999993	0.383186
g2	+	g2	0.509385	1.000000	0.596251
g3	+	g2	0.296903	0.974004	0.338499
g4	+	g2	0.059530	0.064717	0.004510
g5	+	g2	0.012304	0.015185	0.000219
g6	+	g2	0.053950	0.059536	0.003760
g7	+	g2	0.390100	0.810468	0.370079
g8	-	g2	-0.010206	0.051581	-0.000616
g9	-	g2	-0.095219	0.163652	-0.018240
g1	+	g3	0.137387	0.046143	0.007420
g10	+	g3	0.134864	0.161874	0.025554
g2	+	g3	0.314573	0.516235	0.190087
g3	+	g3	0.660914	1.000000	0.773621
g4	+	g3	0.347615	0.999228	0.406580
g5	+	g3	0.286390	0.903289	0.302808
g6	+	g3	0.124127	0.109668	0.015934
g7	+	g3	0.487692	0.957561	0.546632
g8	+	g3	0.202517	0.216333	0.051282
g9	+	g3	0.281518	0.949758	0.312970
g1	-	g4	-0.008646	0.046162	-0.000467
g10	-	g4	-0.045387	0.066011	-0.003507
g2	+	g4	0.118118	0.259656	0.035900
g3	+	g4	0.234217	0.995665	0.272970
g4	+	g4	0.500902	1.000000	0.586321
g5	+	g4	0.364492	0.999398	0.426392
g6	+	g4	0.344766	0.999996	0.403557
g7	+	g4	0.528126	0.986377	0.609766
g8	-	g4	-0.094698	0.170347	-0.018882
g9	+	g4	0.001713	0.053664	0.000108
g1	+	g5	0.061934	0.098798	0.007162
g10	+	g5	0.146471	0.609500	0.104498
g2	+	g5	0.042960	0.078052	0.003925
g3	+	g5	0.204407	0.997815	0.238742
g4	+	g5	0.070441	0.117862	0.009718
g5	+	g5	0.474133	1.000000	0.554987
g6	-	g5	-0.015398	0.049259	-0.000888
g7	-	g5	-0.150239	0.317393	-0.055816
g8	-	g5	-0.201062	0.999998	-0.235349
g9	-	g5	-0.020350	0.071257	-0.001697
g1	-	g6	-0.101836	0.427500	-0.050959
g10	-	g6	-0.302624	0.999570	-0.354079
g2	+	g6	0.211949	0.010010	0.002483
g3	+	g6	0.031491	0.044462	0.001639
g4	+	g6	0.456409	1.000000	0.534240
g5	-	g6	-0.211608	0.614366	-0.152174
g6	+	g6	0.543741	1.000000	0.636466
g7	+	g6	0.587006	0.998427	0.686028
g8	+	g6	0.358509	0.994570	0.417367
g9	+	g6	0.121152	0.103046	0.014613
g1	+	g7	0.008767	0.076265	0.000783
g10	+	g7	0.027960	0.216574	0.007088
g2	+	g7	0.028632	0.353159	0.011836
g3	-	g7	-0.012893	0.085697	-0.001293
g4	+	g7	0.048239	0.928371	0.052421
g5	+	g7	0.041661	0.402021	0.019605
g6	+	g7	0.011679	0.071220	0.000974
g7	+	g7	0.121437	0.989855	0.140704
g8	-	g7	-0.020012	0.122424	-0.002868
g9	+	g7	0.018727	0.115077	0.002523
g1	+	g8	0.005359	0.030387	0.000191
g10	+	g8	0.310200	0.998877	0.362691
g2	-	g8	-0.016059	0.052762	-0.000992
g3	+	g8	0.044220	0.053392	0.002764
g4	+	g8	0.272306	0.999331	0.318529
g5	-	g8	-0.243917	0.971996	-0.277517
g6	+	g8	0.306012	0.999982	0.358190
g7	-	g8	-0.080951	0.158329	-0.015003
g8	+	g8	0.556854	1.000000	0.651814
g9	+	g8	0.574016	1.000000	0.671903
g1	+	g9	0.079982	0.096190	0.009005
g10	+	g9	0.476401	1.000000	0.557642
g2	-	g9	-0.105052	0.380898	-0.046838
g3	+	g9	0.030248	0.049691	0.001759
g4	+	g9	0.036454	0.059711	0.002548
g5	+	g9	0.001383	0.013674	0.000022
g6	+	g9	0.115555	0.182803	0.024726
g7	+	g9	0.229235	0.441452	0.118453
g8	+	g9	0.416609	1.000000	0.487653
g9	+	g9	0.540892	1.000000	0.633130
