Gene1	Gene2	EdgeWeight
g1	g1	1.0
g3	g3	1.0
g3	g6	1.0
g1	g6	1.0
g6	g5	1.0
g5	g5	1.0
g2	g5	1.0
g1	g5	1.0
g5	g4	1.0
g4	g4	1.0
g2	g1	1.0
g6	g3	1.0
g4	g3	1.0
g6	g6	1.0
g2	g2	1.0
g6	g2	1.0
g6	g1	1.0
g5	g1	1.0
g4	g5	0.999999
g3	g4	0.9999889999999999
g3	g2	0.999975
g6	g4	0.99815
g5	g3	0.52633
g5	g2	0.5051140000000001
g1	g3	0.391904
g2	g4	0.383841
g4	g2	0.25077
g3	g1	0.15555
g2	g6	0.146785
g3	g5	0.125186
g4	g6	0.11801099999999999
g1	g4	0.062515
g4	g1	0.062483000000000004
g5	g6	0.049812
g2	g3	0.015318
g1	g2	0.0
