Gene1	Gene2	corVal	pValue
g1	g1	1	0
g2	g2	1	0
g3	g3	1	0
g4	g4	1	0
g5	g5	1	0
g6	g6	1	0
g4	g3	0.499862717735283	1.16906607577375e-126
g3	g4	0.499862717735283	1.16906607577375e-126
g5	g4	0.436958845634185	7.43330563931751e-94
g4	g5	0.436958845634185	7.43330563931751e-94
g6	g3	0.269407293632041	1.56087872164578e-34
g3	g6	0.269407293632041	1.5608787216458e-34
g1	g6	0.258570769012482	7.48102420339748e-32
g6	g1	0.258570769012482	7.48102420339759e-32
g3	g5	0.0549421563124051	0.0140905631657787
g5	g3	0.054942156312405	0.0140905631657789
g4	g6	0.023392726548226	0.296209682261976
g6	g4	0.023392726548226	0.296209682261976
g4	g2	0.0198316355351581	0.375864151937475
g2	g4	0.019831635535158	0.375864151937476
g5	g6	-0.00887130474251707	0.692031710447886
g6	g5	-0.00887130474251714	0.692031710447884
g2	g5	-0.0156655247784871	0.484247658102395
g5	g2	-0.0156655247784872	0.484247658102392
g4	g1	-0.0185550649180621	0.407370677519966
g1	g4	-0.0185550649180623	0.407370677519962
g1	g3	-0.0473372062978792	0.0344532339029631
g3	g1	-0.0473372062978793	0.034453233902963
g2	g3	-0.207204805072028	8.51216575375582e-21
g3	g2	-0.207204805072028	8.51216575375545e-21
g2	g1	-0.23827551906512	3.65389382679985e-27
g1	g2	-0.23827551906512	3.65389382679976e-27
g1	g5	-0.486626363954669	3.56135400508324e-119
g5	g1	-0.486626363954669	3.56135400508283e-119
g6	g2	-0.602784637508458	9.14080911489666e-198
g2	g6	-0.602784637508458	9.14080911489146e-198
