Gene1	Gene2	EdgeWeight
g1	g2	1.1247941615123
g1	g6	1.0
g5	g1	0.9238150158159458
g3	g4	0.7603007211868841
g4	g5	0.657034238842499
g3	g5	0.49140510059431797
g4	g1	0.338300566521734
g6	g3	0.296651819397096
g1	g1	0.27469911233084
g5	g5	0.17883191322193698
g2	g1	0.15514448874724
g2	g3	0.125153005924173
g5	g2	0.123702143410131
g6	g1	0.12153915660757199
g6	g4	0.0828095746296002
g1	g3	0.054610047405002
g5	g6	0.0
g4	g6	0.0
g4	g4	0.0
g3	g6	0.0
g2	g6	0.0
g6	g5	0.0
g2	g5	0.0
g1	g5	0.0
g5	g4	0.0
g3	g2	0.0
g2	g4	0.0
g1	g4	0.0
g5	g3	0.0
g4	g3	0.0
g3	g3	0.0
g6	g2	0.0
g4	g2	0.0
g2	g2	0.0
g3	g1	0.0
g6	g6	0.0
