TF	target	importance
g4	g3	0.46662562700363625
g5	g4	0.45765165976357436
g6	g7	0.39822859344809264
g6	g5	0.37868775651257425
g5	g6	0.35599637942370743
g4	g5	0.3425766101677446
g7	g6	0.3101859656242132
g3	g4	0.28505279636284625
g3	g2	0.24780911398904093
g2	g1	0.19028798065727118
g1	g2	0.1766519083475029
g5	g3	0.17497204559370963
g4	g1	0.17124622953406496
g3	g1	0.16252976065047514
g5	g1	0.1620458708181957
g7	g1	0.16040539625758354
g4	g2	0.1544199019065061
g6	g1	0.15348476208240946
g5	g7	0.1461473863232963
g5	g2	0.14585467263900173
g1	g7	0.14356981593285428
g6	g2	0.13861640296670655
g7	g2	0.13664800015124184
g2	g3	0.13206448547895358
g4	g6	0.11937988834485523
g4	g7	0.11150249808221672
g3	g5	0.10862294910992075
g6	g4	0.10590603275076899
g2	g7	0.10454643198799037
g3	g7	0.09600527422554983
g6	g3	0.08904857002187219
g3	g6	0.08138543508064258
g7	g5	0.07079584463371665
g1	g3	0.07018621258193182
g2	g6	0.06835653082247953
g7	g3	0.06710305931989644
g1	g6	0.06469580070410214
g2	g4	0.05549776340694843
g2	g5	0.052703617989771696
g7	g4	0.049380587955613155
g1	g5	0.04661322158627209
g1	g4	0.04651115976024892
