TF	target	importance
g4	g3	282.5495905860372
g5	g4	273.48957803879017
g6	g5	210.46460366605
g3	g4	185.12861597005215
g4	g5	177.22155642720188
g7	g6	170.3269761817544
g5	g6	158.44135259981337
g3	g2	136.9247277861631
g6	g7	119.23496174888692
g5	g3	85.59359541725036
g6	g4	82.28401526061701
g2	g3	58.97982738984456
g4	g6	55.81877355376183
g2	g1	50.44955231700945
g1	g2	44.18803118319278
g3	g5	43.58304579796629
g4	g2	33.92977618047069
g6	g3	32.24709935110647
g7	g5	27.331384609966683
g4	g1	25.18001275351349
g5	g7	23.88866021747115
g5	g2	21.484596413857915
g2	g4	19.745937972804782
g7	g1	18.77941795277875
g6	g2	18.66435224313358
g3	g6	17.75464741445948
g5	g1	17.37386010371724
g7	g2	16.808516193181948
g1	g7	16.673803384910688
g7	g4	15.30783874317706
g3	g1	14.546508756199957
g4	g7	11.901947801068022
g1	g3	11.12015166533369
g3	g7	10.616147181622383
g6	g1	9.670648116781098
g7	g3	9.509735590427798
g2	g5	8.969599507493681
g2	g6	8.516115560916605
g1	g4	8.044014014558888
g2	g7	7.684479666040862
g1	g6	6.142134689294318
g1	g5	4.429809991321508
